Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR17155297	2021-12-10 02:29:31	2021-12-07 10:20:49	11021913	837665388	0	76	313	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR017/17155/SRR17155297/SRR17155297.lite.1	SRX13339320	CACO_Blood	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP349609	PRJNA786243	NA	786243	SRS11244271	SAMN23614716	simple	33616	Gymnogyps californianus	CACO_Blood	NA	NA	NA	NA	pooled male and female	NA	no	NA	NA	NA	NA	SAN DIEGO ZOO WILDLIFE ALLIANCE	SRA1339930	NA	public	D83149B1AD43A50BC3541AAE87E5BE1F	76325C5FFB7F95FDFDD91EC4DABD6CE0
SRR17155302	2021-12-10 02:29:31	2021-12-07 10:17:14	1718152	130579552	0	76	49	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR017/17155/SRR17155302/SRR17155302.lite.1	SRX13339315	CACO_Brain	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP349609	PRJNA786243	NA	786243	SRS11244266	SAMN23637784	simple	33616	Gymnogyps californianus	CACO_Brain	NA	NA	NA	NA	missing	NA	no	NA	NA	NA	NA	SAN DIEGO ZOO WILDLIFE ALLIANCE	SRA1339930	NA	public	556CF953B66E0BAD6CA92928BFA1F406	55FE00889653004A634B66273A5855BE
SRR17155298	2021-12-10 02:29:31	2021-12-07 10:22:51	13847609	1052418284	0	76	394	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR017/17155/SRR17155298/SRR17155298.lite.1	SRX13339319	CACO_Fibroblast_cells	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP349609	PRJNA786243	NA	786243	SRS11244270	SAMN23614729	simple	33616	Gymnogyps californianus	CACO_Fibroblast_cells	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	SAN DIEGO ZOO WILDLIFE ALLIANCE	SRA1339930	NA	public	04DE44A7851B8073FFC841A8640E7D19	3B6C02F8D66F52AB0F7A01C3B9060A1F
SRR17155307	2021-12-10 02:29:31	2021-12-07 10:18:57	6362865	483577740	0	76	186	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR017/17155/SRR17155307/SRR17155307.lite.1	SRX13339310	CACO_Heart	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP349609	PRJNA786243	NA	786243	SRS11244261	SAMN23614714	simple	33616	Gymnogyps californianus	CACO_Heart	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	SAN DIEGO ZOO WILDLIFE ALLIANCE	SRA1339930	NA	public	A35ABC38FBF52FC087026BC8FF76F895	B2EB7D41BF30F2E2F8B593892BB53237
SRR17155303	2021-12-10 02:29:31	2021-12-07 10:21:56	13886431	1055368756	0	76	388	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR017/17155/SRR17155303/SRR17155303.lite.1	SRX13339314	CACO_Jejunum	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP349609	PRJNA786243	NA	786243	SRS11244265	SAMN23637785	simple	33616	Gymnogyps californianus	CACO_Jejunum	NA	NA	NA	NA	missing	NA	no	NA	NA	NA	NA	SAN DIEGO ZOO WILDLIFE ALLIANCE	SRA1339930	NA	public	FF0B92099D098BE237704D9637302CA8	D2F5B16D3252C9F44EA9198288ACE211
SRR17155306	2021-12-10 02:29:31	2021-12-07 10:20:08	9023295	685770420	0	76	258	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17155/SRR17155306/SRR17155306.lite.1	SRX13339311	CACO_Liver	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP349609	PRJNA786243	NA	786243	SRS11244262	SAMN23614712	simple	33616	Gymnogyps californianus	CACO_Liver	NA	NA	NA	NA	pooled male and female	NA	no	NA	NA	NA	NA	SAN DIEGO ZOO WILDLIFE ALLIANCE	SRA1339930	NA	public	59B1CD5F2D63AF9709815778D583EA6A	FE628CEC90851E266B808577DFD16B24
SRR17155301	2021-12-10 02:29:31	2021-12-07 10:18:11	4030489	306317164	0	76	116	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR017/17155/SRR17155301/SRR17155301.lite.1	SRX13339316	CACO_Lung	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP349609	PRJNA786243	NA	786243	SRS11244267	SAMN23637783	simple	33616	Gymnogyps californianus	CACO_Lung	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	SAN DIEGO ZOO WILDLIFE ALLIANCE	SRA1339930	NA	public	AAC81DC26CFFB118DC03225DBD5A6D99	BCEE1649913D1855A2666BCE8C1C0CCE
SRR17155305	2021-12-10 02:29:31	2021-12-07 10:18:45	7405188	562794288	0	76	210	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17155/SRR17155305/SRR17155305.lite.1	SRX13339312	CACO_Muscle	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP349609	PRJNA786243	NA	786243	SRS11244263	SAMN23614598	simple	33616	Gymnogyps californianus	CACO_Muscle	NA	NA	NA	NA	pooled male and female	NA	no	NA	NA	NA	NA	SAN DIEGO ZOO WILDLIFE ALLIANCE	SRA1339930	NA	public	8C65C2302DDEE3A9426D9441AEEE7BDC	89DFDA3574810EF1B070DA66D0790A04
SRR17155309	2021-12-10 02:29:31	2021-12-07 10:29:13	21924453	1666258428	0	76	619	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR017/17155/SRR17155309/SRR17155309.lite.1	SRX13339308	CACO_Ovary	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP349609	PRJNA786243	NA	786243	SRS11244259	SAMN23637788	simple	33616	Gymnogyps californianus	CACO_Ovary	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	SAN DIEGO ZOO WILDLIFE ALLIANCE	SRA1339930	NA	public	C49AE3E5F42A5FF0ACAB987B8882035A	40B33DDCB32047EE211972291854DDDE
SRR17155308	2021-12-10 02:29:31	2021-12-07 10:22:30	13211270	1004056520	0	76	374	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17155/SRR17155308/SRR17155308.lite.1	SRX13339309	CACO_Oviduct	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP349609	PRJNA786243	NA	786243	SRS11244260	SAMN23637787	simple	33616	Gymnogyps californianus	CACO_Oviduct	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	SAN DIEGO ZOO WILDLIFE ALLIANCE	SRA1339930	NA	public	CA21F5699C35EC4ABA5417CC2A23BE39	DA2F6717761D85501A40984DFAB589E3
