Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR12540381	2020-08-28 13:01:53	2020-08-28 13:00:09	4735745	713598137	4735745	150	263	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12540381/SRR12540381	SRX9030023	Hg1262_18C_L004	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP279215	PRJNA659672	NA	659672	SRS7281323	SAMN15923483	simple	1908286	Halichoerus grypus atlantica	Hg1262	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF MAINE	SRA1118005	NA	public	B42CBCFC0F72A4EB9E057E9DADADA708	BCCE0766A3EE94D5FD5299CA765E684A
SRR12540382	2020-08-28 13:03:54	2020-08-28 13:00:51	4819049	726134339	4819049	150	268	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12540382/SRR12540382	SRX9030022	Hg1262_18C_L003	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP279215	PRJNA659672	NA	659672	SRS7281323	SAMN15923483	simple	1908286	Halichoerus grypus atlantica	Hg1262	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF MAINE	SRA1118005	NA	public	00C2F022700342808FE00FF592F7B1C3	2F6CD7188ECDB341399EF4B22D56BC8B
SRR12540383	2020-08-28 13:03:54	2020-08-28 13:00:49	4641744	699439078	4641744	150	254	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12540383/SRR12540383	SRX9030021	Hg1262_18C_L002	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP279215	PRJNA659672	NA	659672	SRS7281323	SAMN15923483	simple	1908286	Halichoerus grypus atlantica	Hg1262	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF MAINE	SRA1118005	NA	public	DB974572EFF813277CBE989618BD52C0	7FC2E64E784DA219DFE654D4198FC161
SRR12540384	2020-08-28 13:03:54	2020-08-28 13:00:16	4665346	702962711	4665346	150	255	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12540384/SRR12540384	SRX9030020	Hg1262_18C_L001	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP279215	PRJNA659672	NA	659672	SRS7281323	SAMN15923483	simple	1908286	Halichoerus grypus atlantica	Hg1262	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF MAINE	SRA1118005	NA	public	4251C2AE20E25B3462118C4FEE64676B	1C6EA299A565D7BF12995FE97D9E8FCB
SRR12540377	2020-08-28 13:01:53	2020-08-28 13:00:11	3697214	557620905	3697214	150	206	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12540377/SRR12540377	SRX9030027	Hg1273_18C_L004	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP279215	PRJNA659672	NA	659672	SRS7281324	SAMN15923484	simple	1908286	Halichoerus grypus atlantica	Hg1273	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF MAINE	SRA1118005	NA	public	33A45088ED64412E9852F22A3811D639	FD9B94FF977AF73DC6D5B0F9D2C24C5E
SRR12540378	2020-08-28 13:03:54	2020-08-28 13:00:25	3777380	569706439	3777380	150	212	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12540378/SRR12540378	SRX9030026	Hg1273_18C_L003	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP279215	PRJNA659672	NA	659672	SRS7281324	SAMN15923484	simple	1908286	Halichoerus grypus atlantica	Hg1273	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF MAINE	SRA1118005	NA	public	9DF23D7CF8F3F5C98B9837D725772113	1A2E9A204FA700D222976598D3750CFE
SRR12540379	2020-08-28 13:03:54	2020-08-28 12:59:56	3639513	548915265	3639513	150	201	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12540379/SRR12540379	SRX9030025	Hg1273_18C_L002	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP279215	PRJNA659672	NA	659672	SRS7281324	SAMN15923484	simple	1908286	Halichoerus grypus atlantica	Hg1273	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF MAINE	SRA1118005	NA	public	A9C6639D5E366AEF054433077696F431	3C2B3DF9726D899F4F5065815FEA8F99
SRR12540380	2020-08-28 13:05:57	2020-08-28 12:59:54	3675145	554272363	3675145	150	202	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12540380/SRR12540380	SRX9030024	Hg1273_18C_L001	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP279215	PRJNA659672	NA	659672	SRS7281324	SAMN15923484	simple	1908286	Halichoerus grypus atlantica	Hg1273	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF MAINE	SRA1118005	NA	public	99B9C5BE2236C4AECB7E5E087E8CC515	FD94B74D778BF31997C8F6A5B5059A7A
SRR12540359	2020-08-28 13:01:53	2020-08-28 12:59:57	3878188	584566554	3878188	150	216	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12540359/SRR12540359	SRX9030045	Hg1282_18C_L004	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP279215	PRJNA659672	NA	659672	SRS7281328	SAMN15923481	simple	1908286	Halichoerus grypus atlantica	Hg1282	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF MAINE	SRA1118005	NA	public	73E9B490BED5021E487FBCF23B0767C5	0C7560699DFED8CE1B4F5C9CB65F6F5C
SRR12540360	2020-08-28 13:03:55	2020-08-28 13:00:23	3977233	599498307	3977233	150	222	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12540360/SRR12540360	SRX9030044	Hg1282_18C_L003	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP279215	PRJNA659672	NA	659672	SRS7281328	SAMN15923481	simple	1908286	Halichoerus grypus atlantica	Hg1282	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF MAINE	SRA1118005	NA	public	4C00415DEBBF5A885612E9B3E36428B7	7A0FBB137C91E465DA1472E9F7599658
