Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR6781533	2018-12-31 00:25:23	2018-02-26 01:56:53	19134662	5740398600	19134662	300	2296		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/781/SRR6781533.sralite.1	SRX3741497	161211_I136_FCHCNF2BBXX_L1_WHMUSqsnEAAURAAPEI-23	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP133455	PRJNA432133		432133	SRS2998124	SAMN08435503	simple	10181	Heterocephalus glaber	Oncogene-transformed NMR cell lines					missing		no					BGI SHENZHEN	SRA662091		public	C847C09D20136898F378F47692D87738	F42F9B5F5D61D4B211D1755C60E886CB
SRR6781535	2018-12-31 00:25:23	2018-02-26 01:53:21	15843589	4753076700	15843589	300	1908		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/781/SRR6781535.sralite.1	SRX3741495	161211_I136_FCHCNF2BBXX_L2_WHMUSqsnEAATRAAPEI-21	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP133455	PRJNA432133		432133	SRS2998124	SAMN08435503	simple	10181	Heterocephalus glaber	Oncogene-transformed NMR cell lines					missing		no					BGI SHENZHEN	SRA662091		public	B4BD054DF328AA31C480D83888FAED69	ED1A41CC7DF408BA08C08724CD05ABA0
SRR6781536	2018-12-31 00:25:23	2018-02-26 01:57:55	16358429	4907528700	16358429	300	1969		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/781/SRR6781536.sralite.1	SRX3741494	161211_I136_FCHCNF2BBXX_L1_WHMUSqsnEAASRAAPEI-20	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP133455	PRJNA432133		432133	SRS2998124	SAMN08435503	simple	10181	Heterocephalus glaber	Oncogene-transformed NMR cell lines					missing		no					BGI SHENZHEN	SRA662091		public	EC278109FC9C08413714E90164ADE68D	D97FBB0EDC9568E8AA991DDE04994D7E
SRR6781537	2018-12-31 00:25:23	2018-02-26 01:54:21	17499279	5249783700	17499279	300	2083		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/781/SRR6781537.sralite.1	SRX3741493	161211_I136_FCHCNF2BBXX_L2_WHMUSqsnEAAPRAAPEI-17	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP133455	PRJNA432133		432133	SRS2998124	SAMN08435503	simple	10181	Heterocephalus glaber	Oncogene-transformed NMR cell lines					missing		no					BGI SHENZHEN	SRA662091		public	C8218457288259B146416A87182D0919	7AB8C76893E48725D88C89ADB9014FF0
SRR6781538	2018-12-31 00:25:23	2018-02-26 01:55:38	17564357	5269307100	17564357	300	2077		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/781/SRR6781538.sralite.1	SRX3741492	161211_I136_FCHCNF2BBXX_L1_WHMUSqsnEAAORAAPEI-16	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP133455	PRJNA432133		432133	SRS2998124	SAMN08435503	simple	10181	Heterocephalus glaber	Oncogene-transformed NMR cell lines					missing		no					BGI SHENZHEN	SRA662091		public	C3BAE6F9F5289C831B8906D931D27A4C	541A2E197907A570CC56B5F6F3A50FC1
SRR6781539	2018-12-31 00:25:23	2018-02-26 01:55:14	16651521	4995456300	16651521	300	2020		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/781/SRR6781539.sralite.1	SRX3741491	161211_I136_FCHCNF2BBXX_L2_WHMUSqsnEAAQRAAPEI-18	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP133455	PRJNA432133		432133	SRS2998124	SAMN08435503	simple	10181	Heterocephalus glaber	Oncogene-transformed NMR cell lines					missing		no					BGI SHENZHEN	SRA662091		public	79F854307143D456C6ED67998BFDCC9E	A5ED51C33FD4F34C95E453154EF8CE0E
SRR6781540	2018-12-31 00:25:23	2018-02-26 01:53:44	17188023	5156406900	17188023	300	2017		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/781/SRR6781540.sralite.1	SRX3741490	161211_I136_FCHCNF2BBXX_L1_WHMUSqsnEAAPRAAPEI-17	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP133455	PRJNA432133		432133	SRS2998124	SAMN08435503	simple	10181	Heterocephalus glaber	Oncogene-transformed NMR cell lines					missing		no					BGI SHENZHEN	SRA662091		public	DE6C8AC74C0599C2084A7DB8D12B6A7A	B4B89338365F98F93E47141F125A2583
SRR6781541	2018-12-31 00:25:23	2018-02-26 01:55:01	15936068	4780820400	15936068	300	1902		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/781/SRR6781541.sralite.1	SRX3741489	161211_I136_FCHCNF2BBXX_L1_WHMUSqsnEAARRAAPEI-19	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP133455	PRJNA432133		432133	SRS2998124	SAMN08435503	simple	10181	Heterocephalus glaber	Oncogene-transformed NMR cell lines					missing		no					BGI SHENZHEN	SRA662091		public	B5C0E0C13F5EE6D466D605A010B2A3ED	3015DAADCDD388F3B167D96BC4E7A126
SRR6781542	2018-12-31 00:25:23	2018-02-26 01:57:39	16507505	4952251500	16507505	300	1983		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/781/SRR6781542.sralite.1	SRX3741488	161211_I136_FCHCNF2BBXX_L1_WHMUSqsnEAAQRAAPEI-18	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP133455	PRJNA432133		432133	SRS2998124	SAMN08435503	simple	10181	Heterocephalus glaber	Oncogene-transformed NMR cell lines					missing		no					BGI SHENZHEN	SRA662091		public	BB2AAC8BD6220489EB90F10F9274239C	F7E3ACA015112C0B98FDB8C35347BE9E
SRR6781543	2018-12-31 00:25:23	2018-02-26 01:54:24	16516362	4954908600	16516362	300	2004		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/781/SRR6781543.sralite.1	SRX3741487	161211_I136_FCHCNF2BBXX_L2_WHMUSqsnEAASRAAPEI-20	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP133455	PRJNA432133		432133	SRS2998124	SAMN08435503	simple	10181	Heterocephalus glaber	Oncogene-transformed NMR cell lines					missing		no					BGI SHENZHEN	SRA662091		public	E1815BC4BB09B49F689DA0F51D7AC609	B01F7B661AD7C9222BBF5362624AA592
