Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
ERR2598320	2019-02-19 08:08:24	2019-02-24 06:59:37	0	0	0	0	949		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2598320/ERR2598320	ERX2614601	5527sTS.Human.Cerebellum.19dpb.Female_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109002	PRJEB26969		523155	ERS2510426	SAMEA4690243	simple	9606	Homo sapiens	SAMEA4690243					female		no					Lausanne Genomics Technology Facility	ERA1500097		public	BF58341AD06143DFFBD3968CD08D27E2	8070C8C2EAE913825673042189A230AB
ERR2598321	2019-02-19 08:08:24	2019-02-24 07:01:38	0	0	0	0	1107		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR002/598/ERR2598321.sralite.1	ERX2614602	5842sTS.Human.Cerebellum.0dpb.Female_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109002	PRJEB26969		523155	ERS2510427	SAMEA4690244	simple	9606	Homo sapiens	SAMEA4690244					female		no					Lausanne Genomics Technology Facility	ERA1500097		public	64A1FBBAEEF14AC8731477CF2DBD56D9	ECB138972E2D0283B286F295D8F5970D
ERR2598322	2019-02-19 08:08:24	2019-02-24 07:00:45	0	0	0	0	432		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR002/598/ERR2598322.sralite.1	ERX2614603	5848sTS.Human.Cerebellum.0dpb.Female_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109002	PRJEB26969		523155	ERS2510428	SAMEA4690245	simple	9606	Homo sapiens	SAMEA4690245					female		no					Lausanne Genomics Technology Facility	ERA1500097		public	739F06E9942999509EF2D801BA509EF4	2357DED11F2317A4A58F3CA15631F37D
ERR2598323	2019-02-19 08:08:24	2019-02-24 07:02:20	0	0	0	0	1145		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2598323/ERR2598323	ERX2614604	5834sTS.Human.Kidney.34dpb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109002	PRJEB26969		523155	ERS2510429	SAMEA4690246	simple	9606	Homo sapiens	SAMEA4690246					male		no					Lausanne Genomics Technology Facility	ERA1500097		public	D26144DA0CD5B65623C3002BE07EEAA0	4449DB82CCC06F856D4A31BCE6BFC7EA
ERR2598324	2019-02-19 08:08:24	2021-10-24 07:34:37	29328200	2962148200	0	101	1046		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR002/2598/ERR2598324/ERR2598324.lite.2	ERX2614605	5844sTS.Human.Kidney.0dpb.Female_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109002	PRJEB26969		523155	ERS2510430	SAMEA4690247	simple	9606	Homo sapiens	SAMEA4690247					female		no					Lausanne Genomics Technology Facility	ERA1500097		public	07FDF18876229CA02ED97B9754819845	93449921D77D2F260F77F292B3240EB2
ERR2598325	2019-02-19 08:08:24	2021-10-24 07:36:57	37801770	3817978770	0	101	1382		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR002/2598/ERR2598325/ERR2598325.lite.2	ERX2614606	6098sTS.Human.Kidney.18dpb.Female_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109002	PRJEB26969		523155	ERS2510431	SAMEA4690248	simple	9606	Homo sapiens	SAMEA4690248					female		no					Lausanne Genomics Technology Facility	ERA1500097		public	81694F4F13974C0B0F48AFB0A2D01ABC	FE27BC48E861CB5D116435A3D642B926
ERR2598326	2019-02-19 08:08:24	2019-02-24 07:03:54	0	0	0	0	2215		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2598326/ERR2598326	ERX2614607	5544sTS.Human.Liver.15dpb.Female_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109002	PRJEB26969		523155	ERS2510432	SAMEA4690249	simple	9606	Homo sapiens	SAMEA4690249					female		no					Lausanne Genomics Technology Facility	ERA1500097		public	2F126A57E8FE22C60BC82C262DA57F9B	736CF5311CC09D2EAA3A92EC88D565DB
ERR2598327	2019-02-19 08:08:24	2019-02-24 07:02:34	0	0	0	0	862		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR002/598/ERR2598327.sralite.1	ERX2614608	5548sTS.Human.Liver.15dpb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109002	PRJEB26969		523155	ERS2510433	SAMEA4690250	simple	9606	Homo sapiens	SAMEA4690250					male		no					Lausanne Genomics Technology Facility	ERA1500097		public	D536A3EDCC7CBA2940A0CE580AC9EAA6	4BA5D9218C845463691831F0AC0A1698
ERR2598328	2019-02-19 08:08:24	2019-02-24 07:02:49	0	0	0	0	865		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR002/598/ERR2598328.sralite.1	ERX2614609	5537sTS.Human.Brain.8ypb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109002	PRJEB26969		523155	ERS2510434	SAMEA4690251	simple	9606	Homo sapiens	SAMEA4690251					male		no					Lausanne Genomics Technology Facility	ERA1500097		public	52DFE2852819EDE334F48DEED50A5F41	84069FBC5D9696E96A2EA3DA5E9AC6E2
ERR2598329	2019-02-19 08:08:24	2019-02-24 07:03:32	0	0	0	0	1625		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2598329/ERR2598329	ERX2614610	5569sTS.Human.Brain.7ypb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109002	PRJEB26969		523155	ERS2510435	SAMEA4690252	simple	9606	Homo sapiens	SAMEA4690252					male		no					Lausanne Genomics Technology Facility	ERA1500097		public	C6BFB07E512F981B0DA67A9F2DE2ABDC	732928B509837C6E3620FDC14882EB2A
