Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
DRR024544	2016-08-31 16:43:34	2016-08-31 16:54:02	14208410	2870098820	14208410	202	1500	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR024/544/DRR024544.sralite.1	DRX022199		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	227	0	ILLUMINA	Illumina HiSeq 2000	DRP003256	PRJDB4356	NA	341476	DRS033612	SAMD00022860	simple	35883	Ipomoea nil	DRS033612	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	NIBB	DRA002647	NA	public	C597AAE1D31968F37353EB7559FE7292	67F2B1CA30419D9CF0FAEEC74CBA8787
DRR024545	2016-08-31 16:43:34	2016-08-31 16:51:10	12835064	2592682928	12835064	202	1362	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR024/545/DRR024545.sralite.1	DRX022200		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	230	0	ILLUMINA	Illumina HiSeq 2000	DRP003256	PRJDB4356	NA	341476	DRS033613	SAMD00022861	simple	35883	Ipomoea nil	DRS033613	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	NIBB	DRA002647	NA	public	39BC040BC719456DB0BBC3EF45B728B0	513E2C0BBF1E82C0E0971239B2051051
DRR024546	2016-08-31 16:43:34	2016-08-31 16:52:51	15673639	3166075078	15673639	202	1740	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR024/546/DRR024546.sralite.1	DRX022201		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	284	0	ILLUMINA	Illumina HiSeq 2000	DRP003256	PRJDB4356	NA	341476	DRS033614	SAMD00022862	simple	35883	Ipomoea nil	DRS033614	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	NIBB	DRA002647	NA	public	E6501847893F0DD125439C722BD7532B	9C402B47CBA523AC4CB2BAEB55121101
DRR024547	2016-08-31 16:43:34	2016-08-31 16:54:02	12595826	2544356852	12595826	202	1331	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR024/547/DRR024547.sralite.1	DRX022202		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	211	0	ILLUMINA	Illumina HiSeq 2000	DRP003256	PRJDB4356	NA	341476	DRS033615	SAMD00022863	simple	35883	Ipomoea nil	DRS033615	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	NIBB	DRA002647	NA	public	B1855298F85184E9214E0E3EC45EA984	90630633159B788F660C3DDB5C951434
DRR024548	2016-08-31 16:43:34	2016-08-31 16:51:58	12523885	2529824770	12523885	202	1334	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR024/548/DRR024548.sralite.1	DRX022203		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	231	0	ILLUMINA	Illumina HiSeq 2000	DRP003256	PRJDB4356	NA	341476	DRS033616	SAMD00022864	simple	35883	Ipomoea nil	DRS033616	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	NIBB	DRA002647	NA	public	F1E897954116562A3415FDD1099B2D0E	F8BF45D2C655987E123032EC55466DA5
DRR024549	2016-08-31 16:43:34	2016-08-31 16:53:30	12356956	2496105112	12356956	202	1305	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR024/549/DRR024549.sralite.1	DRX022204		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	199	0	ILLUMINA	Illumina HiSeq 2000	DRP003256	PRJDB4356	NA	341476	DRS033617	SAMD00022865	simple	35883	Ipomoea nil	DRS033617	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	NIBB	DRA002647	NA	public	3EEC9E5AB7BA5829EA1D81C9E7B895EA	C6B5B5A5B2253B2F701DC7BCDF93BA45
SRR1772255	2015-10-23 11:09:05	2015-01-28 04:05:04	31939880	6451855760	31939880	202	4172	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/772/SRR1772255.sralite.1	SRX852522		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	200	50	ILLUMINA	Illumina HiSeq 2000	SRP052815	PRJNA273566	2	273566	SRS826742	SAMN03294335	simple	35883	Ipomoea nil	PNA	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	SICHUAN UNIVERSITY	SRA235115	NA	public	0EDC2FB340FCD7A768D57F819CF680B7	9209B41A9DD5FCEB90AE42D0C2AE5453
DRR219434	2021-04-28 12:43:41	2021-04-28 12:04:58	8403748	705914832	0	84	241	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR219434/DRR219434	DRX209747	MN425	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	DRP007224	PRJDB9607	NA	726055	DRS182693	SAMD00216759	simple	35883	Ipomoea nil	SAMD00216759	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	CHUBU	DRA009936	NA	public	6B3C76AF7BD6E3970A5FF2F5A41F7056	182C1CEF0074CB64F0FE55DC480B40A5
DRR219435	2021-04-28 12:48:11	2021-04-28 12:07:29	8670604	728330736	0	84	249	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR219435/DRR219435	DRX209748	MN429	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	DRP007224	PRJDB9607	NA	726055	DRS182694	SAMD00216760	simple	35883	Ipomoea nil	SAMD00216760	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	CHUBU	DRA009936	NA	public	CF92CE68B4FCDFD116B030EF2D7429F5	24AE7A697194023AA95225F952BD49C6
DRR219436	2021-04-28 12:48:11	2021-04-28 12:06:37	6509405	546790020	0	84	187	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR219436/DRR219436	DRX209749	MN432	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	DRP007224	PRJDB9607	NA	726055	DRS182695	SAMD00216761	simple	35883	Ipomoea nil	SAMD00216761	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	CHUBU	DRA009936	NA	public	3115729CEC0057ECE6E36F7572E141ED	9B1F231BCED8102B95CE3376EF29DEC8
DRR219437	2021-04-28 12:48:11	2021-04-28 12:06:19	5921926	497441784	0	84	172	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR219437/DRR219437	DRX209750	MN426	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	DRP007224	PRJDB9607	NA	726055	DRS182696	SAMD00216762	simple	35883	Ipomoea nil	SAMD00216762	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	CHUBU	DRA009936	NA	public	33FBD94CF1F4D21445A227AC7BEB9E67	97C543A4686B8C6ECFB21EFD83C8D721
DRR219438	2021-04-28 12:48:11	2021-04-28 12:06:19	5602481	470608404	0	84	164	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR219438/DRR219438	DRX209751	MN430	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	DRP007224	PRJDB9607	NA	726055	DRS182697	SAMD00216763	simple	35883	Ipomoea nil	SAMD00216763	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	CHUBU	DRA009936	NA	public	7BB5ABEA9EA3EA595B558D44B6CB3B12	E7922320A9D29A6FD1897590750B905B
DRR219439	2021-04-28 12:43:41	2021-04-28 12:05:01	8232028	691490352	0	84	255	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR219439/DRR219439	DRX209752	MN433	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	DRP007224	PRJDB9607	NA	726055	DRS182698	SAMD00216764	simple	35883	Ipomoea nil	SAMD00216764	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	CHUBU	DRA009936	NA	public	E9A9E71A6000840DCCE24A8B7C3643EF	A3E48ADDD1ADF4DA83BA01D09E2D4BBD
DRR219440	2021-04-28 12:48:11	2021-04-28 12:09:21	6551228	550303152	0	84	186	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR219440/DRR219440	DRX209753	MN428	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	DRP007224	PRJDB9607	NA	726055	DRS182699	SAMD00216765	simple	35883	Ipomoea nil	SAMD00216765	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	CHUBU	DRA009936	NA	public	65E9F46ADC7DC101E78208C14F82CD5E	73B80CEB931FCB1697AD9187C50614F1
DRR239119	2021-03-15 01:21:55	2021-03-15 03:36:46	30593405	2308398703	0	75	819	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR239119/DRR239119	DRX229001	corolla sample of Ipomoea nil strain Q532 rep1	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	DRP007040	PRJDB10288	NA	707155	DRS174358	SAMD00237638	simple	35883	Ipomoea nil	SAMD00237638	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	KYOTO_SU	DRA010590	NA	public	0C6159ECA1EB4E3DE77D58A579CE8BC1	F078A534F02E3034E9FB652100F7E9FA
DRR239120	2021-03-15 01:21:55	2021-03-15 03:37:38	22787396	1719600023	0	75	611	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR239120/DRR239120	DRX229002	corolla sample of Ipomoea nil strain Q532 rep2	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	DRP007040	PRJDB10288	NA	707155	DRS174359	SAMD00237639	simple	35883	Ipomoea nil	SAMD00237639	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	KYOTO_SU	DRA010590	NA	public	AFC4483600BFEB2357589AC4F33C0A71	2346A74214B6869DA1AC9DE3E1F3F9FC
DRR239121	2021-03-15 01:21:55	2021-03-15 03:36:27	21979798	1658829439	0	75	589	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR239121/DRR239121	DRX229003	corolla sample of Ipomoea nil strain Q532 rep3	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	DRP007040	PRJDB10288	NA	707155	DRS174360	SAMD00237640	simple	35883	Ipomoea nil	SAMD00237640	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	KYOTO_SU	DRA010590	NA	public	487E091D9405A33D7E64129E9EC577E6	7FF75729EAB67655DDA660545FB5BE8A
DRR239122	2021-03-15 01:21:55	2021-03-15 03:37:40	23148704	1747030945	0	75	622	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR239122/DRR239122	DRX229004	corolla sample of Ipomoea nil strain Q1065 (TKS) rep1	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	DRP007040	PRJDB10288	NA	707155	DRS174361	SAMD00237641	simple	35883	Ipomoea nil	SAMD00237641	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	KYOTO_SU	DRA010590	NA	public	52A8FC9ADB4022CAE490BFD7D4B25F95	142DF5F92FF1CFD9A95F24852875021A
DRR239123	2021-03-15 01:21:55	2021-03-15 03:37:13	23281310	1757277286	0	75	625	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR239123/DRR239123	DRX229005	corolla sample of Ipomoea nil strain Q1065 (TKS) rep2	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	DRP007040	PRJDB10288	NA	707155	DRS174362	SAMD00237642	simple	35883	Ipomoea nil	SAMD00237642	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	KYOTO_SU	DRA010590	NA	public	DE6C5E9EA47F1FBD34994F7E36C49EA2	92A727C7D60465F7965D6F9D2473527D
DRR239124	2021-03-15 01:21:55	2021-03-15 03:36:54	21407063	1615499808	0	75	575	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR239124/DRR239124	DRX229006	corolla sample of Ipomoea nil strain Q1065 (TKS) rep3	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	DRP007040	PRJDB10288	NA	707155	DRS174363	SAMD00237643	simple	35883	Ipomoea nil	SAMD00237643	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	KYOTO_SU	DRA010590	NA	public	67E362F82D6A13E5204C95C652AB9238	2CF461BB5DAD05367BFA973ED88D3A8B
DRR239125	2021-03-15 01:21:55	2021-03-15 03:37:04	31165634	2352382903	0	75	841	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR239125/DRR239125	DRX229007	leaf sample of Ipomoea nil strain Q513 rep1	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	DRP007040	PRJDB10288	NA	707155	DRS174364	SAMD00237644	simple	35883	Ipomoea nil	SAMD00237644	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	KYOTO_SU	DRA010590	NA	public	753BFB928123932C3549B514BB18928F	37016276811623B674BE2930E87B6173
