Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR22226820	2022-11-08 06:19:18	2022-11-08 05:25:57	58293370	5829337000	0	100	2990	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR022/22226/SRR22226820/SRR22226820.lite.1	SRX18204485	22905	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	BGISEQ	DNBSEQ-T7	SRP406801	PRJNA899331	NA	899331	SRS15701498	SAMN31652785	simple	197161	Ischnura elegans	22905	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	JAGIELLONIAN UNIVERSITY	SRA1536286	NA	public	8C669F60CE56E1FE6CCD9E5B073DC378	FB4ACB93C84B89DDAE9AA45E23D44A6F
SRR22226819	2022-11-08 06:19:18	2022-11-08 05:21:51	56562612	5656261200	0	100	2969	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR022/22226/SRR22226819/SRR22226819.lite.1	SRX18204486	22906	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	BGISEQ	DNBSEQ-T7	SRP406801	PRJNA899331	NA	899331	SRS15701499	SAMN31652780	simple	197161	Ischnura elegans	22906	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	JAGIELLONIAN UNIVERSITY	SRA1536286	NA	public	C72391465FED0ED78C28846F6A18C1B6	48709D8D4E65CB676C83CC616371F0AC
SRR22226818	2022-11-08 06:19:18	2022-11-08 05:29:52	60707424	6070742400	0	100	3180	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR022/22226/SRR22226818/SRR22226818.lite.1	SRX18204487	22908	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	BGISEQ	DNBSEQ-T7	SRP406801	PRJNA899331	NA	899331	SRS15701500	SAMN31652786	simple	197161	Ischnura elegans	22908	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	JAGIELLONIAN UNIVERSITY	SRA1536286	NA	public	A03CE2640F963D2C4D94EDB36C681959	D8757554F712255495BEA6314D157FD4
SRR22226817	2022-11-08 06:19:18	2022-11-08 05:23:01	59663536	5966353600	0	100	3214	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR022/22226/SRR22226817/SRR22226817.lite.1	SRX18204488	22873	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	BGISEQ	DNBSEQ-T7	SRP406801	PRJNA899331	NA	899331	SRS15701501	SAMN31652675	simple	197161	Ischnura elegans	22873	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	JAGIELLONIAN UNIVERSITY	SRA1536286	NA	public	72EDD5A557EE333E7907592120D58308	F3E4678D9E8DFD0DB63944C1C28F9E23
SRR22226816	2022-11-08 06:19:18	2022-11-08 05:22:53	54507370	5450737000	0	100	2857	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR022/22226/SRR22226816/SRR22226816.lite.1	SRX18204489	22909	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	BGISEQ	DNBSEQ-T7	SRP406801	PRJNA899331	NA	899331	SRS15701502	SAMN31652787	simple	197161	Ischnura elegans	22909	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	JAGIELLONIAN UNIVERSITY	SRA1536286	NA	public	D2BC848CB43C115AB97B9A5931AEA9EC	B72BF54673B733232E46167D01B5E42C
SRR22226814	2022-11-08 06:19:18	2022-11-08 05:25:55	48762880	4876288000	0	100	2569	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR022/22226/SRR22226814/SRR22226814.lite.1	SRX18204491	22912	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	BGISEQ	DNBSEQ-T7	SRP406801	PRJNA899331	NA	899331	SRS15701503	SAMN31652670	simple	197161	Ischnura elegans	22912	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	JAGIELLONIAN UNIVERSITY	SRA1536286	NA	public	A2E9D72E5C74277B776EA2F6C1EDE9B4	1F7C26810BB6F97534025FE2866690C2
SRR22226815	2022-11-08 06:19:18	2022-11-08 05:24:45	65201818	6520181800	0	100	3432	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR022/22226/SRR22226815/SRR22226815.lite.1	SRX18204490	22911	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	BGISEQ	DNBSEQ-T7	SRP406801	PRJNA899331	NA	899331	SRS15701504	SAMN31652685	simple	197161	Ischnura elegans	22911	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	JAGIELLONIAN UNIVERSITY	SRA1536286	NA	public	AFB6E2EC8CE4E13C7788F8B78D051FF1	33A0F86FF04782F622735471E112DF91
SRR22226813	2022-11-08 06:19:18	2022-11-08 05:25:14	52906428	5290642800	0	100	2792	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR022/22226/SRR22226813/SRR22226813.lite.1	SRX18204492	22917	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	BGISEQ	DNBSEQ-T7	SRP406801	PRJNA899331	NA	899331	SRS15701505	SAMN31652676	simple	197161	Ischnura elegans	22917	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	JAGIELLONIAN UNIVERSITY	SRA1536286	NA	public	9D3D9EBE46792B0283277E11B3D736F0	C2366BF3F471249684A97E34CE70DEBB
SRR22226812	2022-11-08 06:19:18	2022-11-08 05:21:00	53620986	5362098600	0	100	2817	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR022/22226/SRR22226812/SRR22226812.lite.1	SRX18204493	22918	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	BGISEQ	DNBSEQ-T7	SRP406801	PRJNA899331	NA	899331	SRS15701506	SAMN31652689	simple	197161	Ischnura elegans	22918	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	JAGIELLONIAN UNIVERSITY	SRA1536286	NA	public	A1FDFAA56932F2923C03DB0FBEEC97BC	AEA0428F80A6C73D87383BE33906316F
SRR22226811	2022-11-08 06:19:18	2022-11-08 05:24:06	59935348	5993534800	0	100	3156	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR022/22226/SRR22226811/SRR22226811.lite.1	SRX18204494	22919	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	BGISEQ	DNBSEQ-T7	SRP406801	PRJNA899331	NA	899331	SRS15701507	SAMN31652803	simple	197161	Ischnura elegans	22919	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	JAGIELLONIAN UNIVERSITY	SRA1536286	NA	public	A828417CC70059A12CD678BB5A252476	EBD80F169374EC3DDE58A470218AE212
