Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR13114329	2021-01-06 17:31:01	2020-11-23 14:59:04	32451498	9482999428	32451498	292	3489		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13114329/SRR13114329	SRX9556801		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP293796	PRJNA680307	2	680307	SRS7765198	SAMN16874062	simple	51240	Juglans regia	GSM4929657							no					GEO	SRA1162678		public	335F7001452CC828F1B85F8B2EB3ABAA	121E7CB9D4C04F23E3BCF266C29C430F
SRR13114330	2021-01-06 17:31:01	2020-11-23 14:37:38	28000182	8248082522	28000182	294	3065		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13114330/SRR13114330	SRX9556802		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP293796	PRJNA680307	2	680307	SRS7768569	SAMN16874061	simple	51240	Juglans regia	GSM4929658							no					GEO	SRA1162678		public	9BD1B193FAD6AC1A029483D74935AA83	7DDF565E2064F518473CE6C32F240859
SRR13347212	2021-01-04 07:45:42	2021-01-04 07:27:40	24219002	7243831034	24219002	299	2064		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13347212/SRR13347212	SRX9773360	Walnut_U841-01-T04	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP300149	PRJNA688391		688391	SRS7960896	SAMN17174329	simple	51240	Juglans regia	walnut green leaf-1_rep1							no					HENAN AGRICULTURAL UNIVERSITY	SRA1179799		public	0D24C0E7C5B4D4A7631C9269ACFA26F7	320FF827C99EA30BB80DB34AEE485D9E
SRR13347211	2021-01-04 07:45:42	2021-01-04 07:26:08	23754234	7099430692	23754234	298	2045		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13347211/SRR13347211	SRX9773361	Walnut_U841-01-T05	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP300149	PRJNA688391		688391	SRS7960897	SAMN17174330	simple	51240	Juglans regia	walnut green leaf-1_rep2							no					HENAN AGRICULTURAL UNIVERSITY	SRA1179799		public	D3ABF700BB89EA74188E67738EE7912E	A9D452B4C672642F958B5EF67A8A65F3
SRR13347210	2021-01-04 07:45:42	2021-01-04 07:27:07	25694029	7669811290	25694029	298	2197		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13347210/SRR13347210	SRX9773362	Walnut_U841-01-T06	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP300149	PRJNA688391		688391	SRS7960898	SAMN17174331	simple	51240	Juglans regia	walnut green leaf-1_rep3							no					HENAN AGRICULTURAL UNIVERSITY	SRA1179799		public	7B966E0F01D44273F01B865FA61C38BA	410272C5CDF5266334FC469C3E4F6F19
SRR13347206	2021-01-04 07:45:42	2021-01-04 07:29:02	28916585	8644827142	28916585	298	2486		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13347206/SRR13347206	SRX9773366	Walnut_U841-01-T10	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP300149	PRJNA688391		688391	SRS7960902	SAMN17174335	simple	51240	Juglans regia	walnut green leaf-2_rep1							no					HENAN AGRICULTURAL UNIVERSITY	SRA1179799		public	6C3BD9FA98DE86BD7B3F669042B95162	478747D5870865B78B9F5BA8E7806124
SRR13347221	2021-01-04 07:45:42	2021-01-04 07:38:32	23081294	6901057878	23081294	298	1989		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13347221/SRR13347221	SRX9773351	Walnut_U841-01-T11	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP300149	PRJNA688391		688391	SRS7960887	SAMN17174336	simple	51240	Juglans regia	walnut green leaf-2_rep2							no					HENAN AGRICULTURAL UNIVERSITY	SRA1179799		public	472BC36CBC57A4F40FBB90C92CEFF7D4	1E1D231348C1CD076D0CFB7B906DC494
SRR13347220	2021-01-04 07:49:41	2021-01-04 07:46:35	25013271	7480256338	25013271	299	2155		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13347220/SRR13347220	SRX9773352	Walnut_U841-01-T12	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP300149	PRJNA688391		688391	SRS7960888	SAMN17174337	simple	51240	Juglans regia	walnut green leaf-2_rep3							no					HENAN AGRICULTURAL UNIVERSITY	SRA1179799		public	96839B119FB44C88FF515DF6AB22713B	6E45B5DE658DCCE1FA0FE42D6036CE03
SRR13347216	2021-01-04 07:45:42	2021-01-04 07:32:51	22193238	6641257314	22193238	299	1922		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13347216/SRR13347216	SRX9773356	Walnut_U841-01-T16	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP300149	PRJNA688391		688391	SRS7960892	SAMN17174341	simple	51240	Juglans regia	walnut green leaf-3_rep1							no					HENAN AGRICULTURAL UNIVERSITY	SRA1179799		public	AB17F61CBD4B8A86E89948E79C355165	3278DEA9F6B7B129909AB4427F2ABA45
SRR13347215	2021-01-04 07:45:42	2021-01-04 07:34:06	22478172	6719010808	22478172	298	1943		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13347215/SRR13347215	SRX9773357	Walnut_U841-01-T17	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP300149	PRJNA688391		688391	SRS7960893	SAMN17174342	simple	51240	Juglans regia	walnut green leaf-3_rep2							no					HENAN AGRICULTURAL UNIVERSITY	SRA1179799		public	505218A8BA75F0B0EBB7A831A9047211	46261B656ED4810FA212B7AD496B508B
