Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR1524259	2015-07-24 00:00:38	2014-07-28 08:25:08	34448748	6889749600	34448748	200	4423		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/524/SRR1524259/SRR1524259.sralite.1	SRX661024	B_Lo_1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP044782	PRJNA255881	2	255881	SRS665998	SAMN02929482	simple	7918	Lepisosteus oculatus	B_Lo_1	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	INRA	SRA176466	NA	public	A7441FEA59F41654646D4B5E9EBB1036	CDBDDAEC6352CCF36458EC48BF59BD7E
SRR1524260	2015-07-24 00:00:38	2014-07-28 08:27:45	29904509	5980901800	29904509	200	3839		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/524/SRR1524260/SRR1524260.sralite.1	SRX661025	B_Lo_10	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP044782	PRJNA255881	2	255881	SRS666000	SAMN02929483	simple	7918	Lepisosteus oculatus	B_Lo_10	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	INRA	SRA176466	NA	public	CD591D83F7D59A625BF6CF4A2B9C9119	9D378569F00EA81468AE56AA1CBFD324
SRR1524258	2015-07-24 00:00:38	2014-07-28 07:25:41	25428770	5085754000	25428770	200	3229		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/524/SRR1524258/SRR1524258.sralite.1	SRX661023	B_Lo_11	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP044782	PRJNA255881	2	255881	SRS665999	SAMN02929481	simple	7918	Lepisosteus oculatus	B_Lo_11	NA	NA	NA	NA	unknown	NA	no	NA	NA	NA	NA	INRA	SRA176466	NA	public	A2C0A114B2021871567DC62C925E260C	49359A3D77D287F1BDA06C6EE5DAAD01
SRR1524250	2015-07-24 00:00:38	2014-07-28 05:50:30	97735077	19547015400	97735077	200	13069		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/524/SRR1524250/SRR1524250.sralite.1	SRX661015	B_Lo_2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP044782	PRJNA255881	2	255881	SRS665990	SAMN02929473	simple	7918	Lepisosteus oculatus	B_Lo_2	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	INRA	SRA176466	NA	public	42BFE632637E70F939744BEC82C3E0A3	041174016167E8FA1FDEC2C502986DB2
SRR1524251	2015-07-24 00:00:38	2014-07-28 06:20:32	26387621	5277524200	26387621	200	3225		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/524/SRR1524251/SRR1524251.sralite.1	SRX661016	B_Lo_3	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP044782	PRJNA255881	2	255881	SRS665991	SAMN02929474	simple	7918	Lepisosteus oculatus	B_Lo_3	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	INRA	SRA176466	NA	public	CF106DA440491B6A077301FED43C39EC	95ACC49E4AE9AB6DEF2F4EAA22D8B0D1
SRR1524252	2015-07-24 00:00:38	2014-07-28 06:30:19	44977672	8995534400	44977672	200	5466		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/524/SRR1524252/SRR1524252.sralite.1	SRX661017	B_Lo_4	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP044782	PRJNA255881	2	255881	SRS665992	SAMN02929475	simple	7918	Lepisosteus oculatus	B_Lo_4	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	INRA	SRA176466	NA	public	79CBC773C3738DF9570ABEC745F4B65F	FA7009B9887CED085C34CE33071E66A9
SRR1524253	2015-07-24 00:00:38	2014-07-28 06:25:52	29729999	5945999800	29729999	200	3831		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/524/SRR1524253/SRR1524253.sralite.1	SRX661018	B_Lo_5	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP044782	PRJNA255881	2	255881	SRS665993	SAMN02929476	simple	7918	Lepisosteus oculatus	B_Lo_5	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	INRA	SRA176466	NA	public	41FB2CDC21B75BFA6B237DEBF0B8E263	447A8FC114A74BB97BA6A956B8D9EA90
SRR1524254	2015-07-24 00:00:38	2014-07-28 06:25:36	27730531	5546106200	27730531	200	3534		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/524/SRR1524254/SRR1524254.sralite.1	SRX661019	B_Lo_6	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP044782	PRJNA255881	2	255881	SRS665995	SAMN02929477	simple	7918	Lepisosteus oculatus	B_Lo_6	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	INRA	SRA176466	NA	public	A18909B2B1C27C90C49B7AD9ED2A7AD6	142342152E34A31D692F88070ABB0873
SRR1524255	2015-07-24 00:00:38	2014-07-28 06:42:03	32122260	6424452000	32122260	200	4148		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/524/SRR1524255/SRR1524255.sralite.1	SRX661020	B_Lo_7	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP044782	PRJNA255881	2	255881	SRS665996	SAMN02929478	simple	7918	Lepisosteus oculatus	B_Lo_7	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	INRA	SRA176466	NA	public	EBC33C9E95202D09C2C1270EACDB9D88	A34415F02404BA906BC10B07E34104A1
SRR1524256	2015-07-24 00:00:38	2014-07-28 07:21:56	29608320	5921664000	29608320	200	3588		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/524/SRR1524256/SRR1524256.sralite.1	SRX661021	B_Lo_8	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP044782	PRJNA255881	2	255881	SRS665994	SAMN02929479	simple	7918	Lepisosteus oculatus	B_Lo_8	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	INRA	SRA176466	NA	public	91F308C1229D27FB0A9851F4FF15D17B	E95B0F46170B150E11A076EA3B173E49
