Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR5989327	2017-09-24 00:00:24	2017-09-06 12:10:40	46090252	2304512600	0	50	1908		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR5989327/SRR5989327	SRX3145064	20_PVY	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ABI_SOLID	AB SOLiD 4 System	SRP116557	PRJNA400633		400633	SRS2477337	SAMN07572225	simple	7539	Leptinotarsa decemlineata	20_PVY_INFECTED-CPB_feeding_induced_potato							no					NATIONAL INSTITUTE OF BIOLOGY	SRA603816		public	072DFDF68147A7C535DF518E19A6C551	85275E308D505CDEA91131A2FF1F0FB2
SRR5989325	2017-09-24 00:00:24	2017-09-06 12:19:48	95930453	4796522650	0	50	3901		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR5989325/SRR5989325	SRX3145066	21_HEALTHY	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ABI_SOLID	AB SOLiD 4 System	SRP116557	PRJNA400633		400633	SRS2477339	SAMN07572226	simple	7539	Leptinotarsa decemlineata	21_HEALTHY-CPB_feeding_induced_potato							no					NATIONAL INSTITUTE OF BIOLOGY	SRA603816		public	EE57C71AA1F768CBE37B05FC1337D358	5CF20C1839DC5E5CF44AA3EBFA5F64F8
SRR5989326	2017-09-24 00:00:24	2017-09-06 12:15:02	40677393	2033869650	0	50	1692		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR5989326/SRR5989326	SRX3145065	19_CONTROL	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ABI_SOLID	AB SOLiD 4 System	SRP116557	PRJNA400633		400633	SRS2477338	SAMN07572224	simple	7539	Leptinotarsa decemlineata	19_CONTROL-noninduced_potato							no					NATIONAL INSTITUTE OF BIOLOGY	SRA603816		public	D97B831FB355D17D1C04E5221351AD9E	630203A23A325FB604DDB1589AB50DD3
SRR7127664	2018-06-01 00:05:48	2018-05-07 17:44:59	20839998	5251679496	20839998	252	1720		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/127/SRR7127664.sralite.1	SRX4048656	CPB LIB 9	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP144770	PRJNA464380		464380	SRS3265773	SAMN09083342	simple	7539	Leptinotarsa decemlineata	Leptinotarsa decemlineata Boscalid exposure Rep1							no					UW-MADISON	SRA700282		public	1895D7D84BFBA1F17E1B6B2592929DD3	E2C80DCB13F06BAE32A3AC00C13A6B59
SRR7127663	2018-06-01 00:05:48	2018-05-07 17:45:25	26437857	6662339964	26437857	252	2069		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/127/SRR7127663.sralite.1	SRX4048657	CPB LIB 10	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP144770	PRJNA464380		464380	SRS3265774	SAMN09083343	simple	7539	Leptinotarsa decemlineata	Leptinotarsa decemlineata Boscalid exposure Rep2							no					UW-MADISON	SRA700282		public	AAA6CBCA0C937444A6CF2F3933044B0D	37BC677CD9FA81C107BAFD130F8E7740
SRR7127652	2018-06-01 00:05:48	2018-05-07 17:44:37	20824569	5247791388	20824569	252	1648		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/127/SRR7127652.sralite.1	SRX4048668	CPB LIB 11	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP144770	PRJNA464380		464380	SRS3265785	SAMN09083344	simple	7539	Leptinotarsa decemlineata	Leptinotarsa decemlineata Boscalid exposure Rep3							no					UW-MADISON	SRA700282		public	2986C8E1CF34AA3BBE42080B5C913EB5	52395667B376F273182719132DD396B8
SRR7127651	2018-06-01 00:05:48	2018-05-07 17:45:39	23473485	5915318220	23473485	252	1876		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/127/SRR7127651.sralite.1	SRX4048669	CPB LIB 12	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP144770	PRJNA464380		464380	SRS3265786	SAMN09083345	simple	7539	Leptinotarsa decemlineata	Leptinotarsa decemlineata Boscalid exposure Rep4							no					UW-MADISON	SRA700282		public	A5FF272A5A29BCBD235130DA4E5F129B	D1606132D21BB446122366A509BF9691
SRR7127658	2018-06-01 00:05:48	2018-05-07 17:47:22	21566086	5434653672	21566086	252	1676		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/127/SRR7127658.sralite.1	SRX4048662	CPB LIB 5	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP144770	PRJNA464380		464380	SRS3265779	SAMN09083338	simple	7539	Leptinotarsa decemlineata	Leptinotarsa decemlineata Chlorothalonil exposure Rep1							no					UW-MADISON	SRA700282		public	A81DFCE10A324F890BB45AE7470E66A3	9D076DD30110C759E5B933195812F44F
SRR7127657	2018-06-01 00:05:48	2018-05-07 17:46:43	20119374	5070082248	20119374	252	1570		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/127/SRR7127657.sralite.1	SRX4048663	CPB LIB 6	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP144770	PRJNA464380		464380	SRS3265780	SAMN09083339	simple	7539	Leptinotarsa decemlineata	Leptinotarsa decemlineata Chlorothalonil exposure Rep2							no					UW-MADISON	SRA700282		public	C06FC52B7E595561B80AE6E7CA6CDE19	F76E05EF68F161904CD39C16FB9A0A4C
SRR7127656	2018-06-01 00:05:48	2018-05-07 17:45:45	21371730	5385675960	21371730	252	1682		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/127/SRR7127656.sralite.1	SRX4048664	CPB LIB 7	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP144770	PRJNA464380		464380	SRS3265781	SAMN09083340	simple	7539	Leptinotarsa decemlineata	Leptinotarsa decemlineata Chlorothalonil exposure Rep3							no					UW-MADISON	SRA700282		public	044B675505CCDFA1E0564088A4E3943D	6214B0ACE2FE732C07B89C6EDD41FDBF
