Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR1948104	2015-04-02 13:32:49	2015-04-01 02:54:46	13828997	2765799400	13828997	200	1896		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR194/8104/SRR1948104.sralite.1	SRX970769		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiScanSQ	SRP056614	PRJNA279338		279338	SRS885890	SAMN03446164	simple	83485	Linepithema humile	R11							no					UNIVERSITY OF OULU	SRA248600		public	3AFF6FE1C437561D71E528932BDBB49A	423B89BD73A64A120205C79EA80565C2
SRR1948236	2015-04-02 13:32:49	2015-04-01 11:22:24	13137425	2627485000	13137425	200	1831		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/948/SRR1948236.sralite.1	SRX974625		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP056614	PRJNA279338		279338	SRS889833	SAMN03446165	simple	83485	Linepithema humile	R12							no					UNIVERSITY OF OULU	SRA248600		public	EA47EBCBE0B786B84392DCACD5DBB7C6	8A0698B3D4152A74BACFC39A0634B0D4
SRR1948272	2015-04-02 13:32:49	2015-04-01 09:33:58	13267146	2653429200	13267146	200	1926		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/948/SRR1948272.sralite.1	SRX974644		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP056614	PRJNA279338		279338	SRS889851	SAMN03446166	simple	83485	Linepithema humile	R15							no					UNIVERSITY OF OULU	SRA248600		public	0DD8A73CEC9C1EEFDD83DB2E1F7986F0	F8C3A9254148F963F3E12B25E7118800
SRR1948288	2015-04-02 13:32:49	2015-04-01 10:34:02	11199753	2239950600	11199753	200	1555		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR001/948/SRR1948288.sralite.1	SRX974659		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP056614	PRJNA279338		279338	SRS889862	SAMN03446167	simple	83485	Linepithema humile	R16							no					UNIVERSITY OF OULU	SRA248600		public	F2CD7C8736A88093398EF2E820A426C8	575B241123D8F4F0E214C2227C0C8576
SRR1947299	2015-04-02 13:32:49	2015-03-31 10:20:05	13467341	2693468200	13467341	200	1959		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR001/947/SRR1947299.sralite.1	SRX973893		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP056614	PRJNA279338		279338	SRS889135	SAMN03446168	simple	83485	Linepithema humile	R20							no					UNIVERSITY OF OULU	SRA248600		public	EA8E5683A54C3F6281E482D765FF65B7	361C5598B7AFD0E241A5DE00092A8334
SRR1948294	2015-04-02 13:32:49	2015-04-01 10:35:25	14581378	2916275600	14581378	200	2065		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR001/948/SRR1948294.sralite.1	SRX974660		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP056614	PRJNA279338		279338	SRS889863	SAMN03446169	simple	83485	Linepithema humile	R24							no					UNIVERSITY OF OULU	SRA248600		public	B4D9ABBAE2526A957DAAF23E16872352	9DCCEB3A3215990FA4D6BC9E61A11A02
SRR1945074	2015-04-02 13:32:49	2015-04-01 10:02:10	11008427	2201685400	11008427	200	1509		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/945/SRR1945074.sralite.1	SRX971830		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP056614	PRJNA279338		279338	SRS886844	SAMN03446170	simple	83485	Linepithema humile	R27							no					UNIVERSITY OF OULU	SRA248600		public	FECF50BD0424EEFDF2F98ACEA1E93121	4F568B2ADD55390A45E69C41C5560A31
SRR1948238	2015-04-02 13:32:49	2015-04-01 09:35:57	10197855	2039571000	10197855	200	1413		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/948/SRR1948238.sralite.1	SRX974626		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP056614	PRJNA279338		279338	SRS889834	SAMN03446171	simple	83485	Linepithema humile	R28							no					UNIVERSITY OF OULU	SRA248600		public	EF8AF45528CB50C62E222A4CF3B4275D	A71C56565CF70925A2A9B0D87ED9181F
SRR1945172	2015-04-02 13:32:49	2015-03-31 09:31:04	16546574	3309314800	16546574	200	2277		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/945/SRR1945172.sralite.1	SRX971915		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP056614	PRJNA279338		279338	SRS886928	SAMN03446172	simple	83485	Linepithema humile	R3							no					UNIVERSITY OF OULU	SRA248600		public	46FB5895A32048F1375CD1503E07AF90	43DCF31D659D9732C6F17FEFEB103521
SRR1948230	2015-04-02 13:32:49	2015-04-01 09:44:06	20272443	4054488600	20272443	200	2815		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/948/SRR1948230.sralite.1	SRX974620		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP056614	PRJNA279338		279338	SRS889828	SAMN03446173	simple	83485	Linepithema humile	R32							no					UNIVERSITY OF OULU	SRA248600		public	8BCA9814F1F327B12B5BB1D9A18237EB	E93DE8BD65AA0F78B9FCE5D59812A35D
SRR1945261	2015-04-02 13:32:49	2015-03-31 09:40:34	20382188	4076437600	20382188	200	2798		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR194/5261/SRR1945261.sralite.1	SRX971920		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP056614	PRJNA279338		279338	SRS886933	SAMN03446174	simple	83485	Linepithema humile	R35							no					UNIVERSITY OF OULU	SRA248600		public	73CBD62D57C5EA9CD19AFA4289E8A296	7920A106AB7765E43BCFCA2726870E54
SRR1948276	2015-04-02 13:32:49	2015-04-01 09:46:56	19107539	3821507800	19107539	200	2774		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/948/SRR1948276.sralite.1	SRX974649		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP056614	PRJNA279338		279338	SRS889855	SAMN03446175	simple	83485	Linepithema humile	R39							no					UNIVERSITY OF OULU	SRA248600		public	51AFFD1792F195F388DBDD5E918F480C	7802CD46B3629EF2CB379BD84A614E4E
SRR1947297	2015-04-02 13:32:49	2015-03-31 11:06:47	13145398	2629079600	13145398	200	1902		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/947/SRR1947297.sralite.1	SRX973892		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP056614	PRJNA279338		279338	SRS889132	SAMN03446176	simple	83485	Linepithema humile	R4							no					UNIVERSITY OF OULU	SRA248600		public	3F725A155EA1FE9D96EEB4A982695408	E08D18848CA54C1691089072B7B2697E
SRR1948348	2015-04-02 13:32:49	2015-04-01 10:35:06	14121341	2824268200	14121341	200	1963		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR001/948/SRR1948348.sralite.1	SRX974702		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP056614	PRJNA279338		279338	SRS889904	SAMN03446177	simple	83485	Linepithema humile	R40							no					UNIVERSITY OF OULU	SRA248600		public	9A46C40ED45D1A663EA4B8BE68AB6189	FE2210EB83FA352FEAFF701CBC505AB4
SRR1945090	2015-04-02 13:32:49	2015-04-01 10:02:19	17868790	3573758000	17868790	200	2455		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/945/SRR1945090.sralite.1	SRX971840		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP056614	PRJNA279338		279338	SRS886853	SAMN03446178	simple	83485	Linepithema humile	R43							no					UNIVERSITY OF OULU	SRA248600		public	21AF720A3C5C4D0241897C1565DA98B8	8CFF4FC82C1D32153CDFF8FD7C27EC6D
SRR1948182	2015-04-02 13:32:49	2015-04-01 06:38:21	22257913	4451582600	22257913	200	3052		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR194/8182/SRR1948182.sralite.1	SRX974604		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP056614	PRJNA279338		279338	SRS889813	SAMN03446179	simple	83485	Linepithema humile	R47							no					UNIVERSITY OF OULU	SRA248600		public	305DA704011A3FDACCB6123976D22DCE	7D8C6056CD1A0A85803C68034B2F38DB
