Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR5223630	2017-02-06 23:54:33	2017-02-01 23:40:20	119100401	28658887125	119100401	240	13935		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/223/SRR5223630.sralite.1	SRX2532811	lib27	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP098718	PRJNA369279	2	369279	SRS2831407	SAMN08347896	simple	299123	Lonchura striata domestica	RNA_cb_male_adult					male		no					HHMI/UCSF	SRA535125		public	BDBCF23014627B3530B3E8A120EFEB97	6406B55F4B3110A8F5512B3A974121D2
SRR5223634	2017-02-06 23:53:28	2017-02-01 23:40:56	105712727	25390645376	105712727	240	12371		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/223/SRR5223634.sralite.1	SRX2532815	lib23	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP098718	PRJNA369279	2	369279	SRS2831410	SAMN08347897	simple	299123	Lonchura striata domestica	RNA_fb_female_adult					female		no					HHMI/UCSF	SRA535125		public	05FFF837BF41C867C0D34D27E5A41CBD	60A5EAF952F1F1D717CC599DD30E1E73
SRR5223628	2017-02-07 01:23:37	2017-02-02 01:05:23	120351531	29015729702	120351531	241	13709		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/223/SRR5223628.sralite.1	SRX2532809	lib29	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP098718	PRJNA369279	2	369279	SRS2831413	SAMN08347899	simple	299123	Lonchura striata domestica	RNA_fb_female_juvenile					female		no					HHMI/UCSF	SRA535125		public	B8C462D7A3942E4C12401115F67D3A0E	F746DCF5872E7D296B09F2D942CEC24C
SRR5223633	2017-02-07 01:22:01	2017-02-02 01:07:53	97811214	23596155423	97811214	241	11588		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/223/SRR5223633.sralite.1	SRX2532814	lib24	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP098718	PRJNA369279	2	369279	SRS2831411	SAMN08347898	simple	299123	Lonchura striata domestica	RNA_fb_male_adult					male		no					HHMI/UCSF	SRA535125		public	F71636383DE7182E9AEA71A17F9D0A7D	D6D107D9EA920E5F1A3E1C03269102E7
SRR5223627	2017-02-06 23:53:32	2017-02-01 23:39:59	105675851	25497651541	105675851	241	12172		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/223/SRR5223627.sralite.1	SRX2532808	lib30	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP098718	PRJNA369279	2	369279	SRS2831414	SAMN08347900	simple	299123	Lonchura striata domestica	RNA_fb_male_juvenile					male		no					HHMI/UCSF	SRA535125		public	B1A226482E95F43A5BE5ED4F1D2EF14D	1138D517C73CAF22A0152D034F2E5E8A
SRR5223631	2017-02-07 00:53:59	2017-02-02 00:30:59	176974551	42853603263	176974551	242	20829		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/223/SRR5223631.sralite.1	SRX2532812	lib26	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP098718	PRJNA369279	2	369279	SRS2831415	SAMN08347901	simple	299123	Lonchura striata domestica	RNA_liver_female_adult					female		no					HHMI/UCSF	SRA535125		public	9A2953F140EE34133B94E31F8E55389C	ED7CFD19A7B72258011AF2F585465E7D
SRR5223629	2017-02-07 00:05:08	2017-02-01 23:50:31	127403653	30752548148	127403653	241	14796		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/223/SRR5223629.sralite.1	SRX2532810	lib28	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP098718	PRJNA369279	2	369279	SRS2831416	SAMN08347902	simple	299123	Lonchura striata domestica	RNA_mb-bs_male_adult					male		no					HHMI/UCSF	SRA535125		public	B1CFC4F633D4E7DA09B755098E4CC62D	48CE83006A5ABF8520CC2F03CDDE0785
SRR5223632	2017-02-06 23:44:48	2017-02-01 23:34:40	101633985	24464948695	101633985	240	11825		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/223/SRR5223632.sralite.1	SRX2532813	lib25	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP098718	PRJNA369279	2	369279	SRS2831417	SAMN08347903	simple	299123	Lonchura striata domestica	RNA_muscle_female_adult					female		no					HHMI/UCSF	SRA535125		public	E8F84D5A5B22007A66A75A503E70DF9B	4D66F8CCB9A7C303DB40D38899D7648B
SRR10853052	2020-08-13 04:08:11	2020-01-08 18:04:44	48390894	4839089400	48390894	100	3113		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10853/SRR10853052/SRR10853052.lite.1	SRX7523296	mpg_L4661-1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP240625	PRJNA599522		599522	SRS5962827	SAMN13755220	simple	40157	Lonchura striata	lonStr					missing		no					MAX PLANCK INSTITUTE FOR ORNITHOLOGY-SEEWIESEN	SRA1022448		public	0F340BFA67985219403F79F29F09A91A	2AA3C9A50DF5F8368B4E4B671466CBD4
SRR9295874	2019-10-04 10:23:15	2019-06-13 16:37:42	25211250	1680199726	0	66	898		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9295874/SRR9295874	SRX6065263	1	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP098718	PRJNA369279	2	369279	SRS4966412	SAMN12051285	simple	299123	Lonchura striata domestica	tutoring-pool1					male		no					BRAINARD LAB	SRA898887		public	33178840E1652FE19BA66806620A5D18	7D9A9D50A4E833D81B5998D580348CA5
SRR9295871	2019-10-04 10:23:15	2019-06-13 16:54:22	72992284	5680132846	0	77	3015		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/295/SRR9295871.sralite.1	SRX6065266	10	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP098718	PRJNA369279	2	369279	SRS4966415	SAMN12051294	simple	299123	Lonchura striata domestica	tutoring-pool10					male		no					BRAINARD LAB	SRA898887		public	3E58FEA31C401A13EB8922888CE41FC1	5796137AF38B92E35695C86258AA67D5
SRR9295876	2019-10-04 10:23:15	2019-06-13 16:47:29	62330201	5091751131	0	81	2741		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9295876/SRR9295876	SRX6065261	11	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP098718	PRJNA369279	2	369279	SRS4966410	SAMN12051295	simple	299123	Lonchura striata domestica	tutoring-pool11					male		no					BRAINARD LAB	SRA898887		public	07061285EDDAEE49589E8B249282B5B2	794A1EFB77A599EACB587B2573931790
SRR9295875	2019-10-04 10:23:15	2019-06-13 16:50:51	59546746	4919123632	0	82	2592		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/295/SRR9295875.sralite.1	SRX6065262	12	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP098718	PRJNA369279	2	369279	SRS4966411	SAMN12051296	simple	299123	Lonchura striata domestica	tutoring-pool12					male		no					BRAINARD LAB	SRA898887		public	84C92025A2A8198B404795F35E5159D1	E5E5B38D5844FEEB3AC7ECA131F89115
SRR9295878	2019-10-04 10:23:15	2019-06-13 16:42:42	49493154	3986997518	0	80	2089		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9295878/SRR9295878	SRX6065259	13	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP098718	PRJNA369279	2	369279	SRS4966408	SAMN12051297	simple	299123	Lonchura striata domestica	tutoring-pool13					male		no					BRAINARD LAB	SRA898887		public	4A36605EADA9F5E0CB05F80A2987DD69	7651E11E03DDCA411422742B794DFA9D
SRR9295877	2019-10-04 10:23:15	2019-06-13 16:52:06	64162982	5217730160	0	81	2719		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/295/SRR9295877.sralite.1	SRX6065260	14	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP098718	PRJNA369279	2	369279	SRS4966409	SAMN12051298	simple	299123	Lonchura striata domestica	tutoring-pool14					male		no					BRAINARD LAB	SRA898887		public	5CA9EEEA5CE4C18209B55A07CFBCC39F	47A72D399038FDD5F7B7A2A73C454C39
SRR9295880	2019-10-04 10:23:15	2019-06-13 16:43:52	48413345	3899874131	0	80	2042		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/295/SRR9295880.sralite.1	SRX6065257	15	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP098718	PRJNA369279	2	369279	SRS4966406	SAMN12051299	simple	299123	Lonchura striata domestica	tutoring-pool15					male		no					BRAINARD LAB	SRA898887		public	117246682E5B3415469449D81584BA26	682E0D1B3DA904DCDDEACC7FDC63F7F2
SRR9295879	2019-10-04 10:23:15	2019-06-13 16:53:23	73704755	5720901698	0	77	2921		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9295879/SRR9295879	SRX6065258	16	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP098718	PRJNA369279	2	369279	SRS4966407	SAMN12051300	simple	299123	Lonchura striata domestica	tutoring-pool16					male		no					BRAINARD LAB	SRA898887		public	C09DF86F812CD9345F8E461273B24292	E03D98224251435575BCAC35087CF8C9
SRR9295882	2019-10-04 10:23:14	2019-06-13 16:31:30	10807267	598759919	0	55	319		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9295882/SRR9295882	SRX6065255	17	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP098718	PRJNA369279	2	369279	SRS4966404	SAMN12051301	simple	299123	Lonchura striata domestica	tutoring-pool17					male		no					BRAINARD LAB	SRA898887		public	26E8C19ED7A0C6F097BB6F469C518303	E0D668631B70443F8013F17002DD5E8C
