Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
ERR2596949	2019-02-19 08:08:21	2019-02-24 03:54:09	0	0	0	0	1152		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2596949/ERR2596949	ERX2613234	6110sTS.Macaque.Brain.14ypb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP108988	PRJEB26956		523154	ERS2508654	SAMEA4688468	simple	9544	Macaca mulatta	SAMEA4688468					male		no					Lausanne Genomics Technology Facility 	ERA1499565		public	74CA19F004560EB94FE9A6EF457B5ACB	ADAA94E23D22BB9501DF1E3D2E9C2725
ERR2596950	2019-02-19 08:08:21	2019-02-24 03:54:49	0	0	0	0	1405		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2596950/ERR2596950	ERX2613235	6111sTS.Macaque.Brain.15ypb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP108988	PRJEB26956		523154	ERS2508655	SAMEA4688469	simple	9544	Macaca mulatta	SAMEA4688469					male		no					Lausanne Genomics Technology Facility 	ERA1499565		public	9437A647D23481E2B1A1FC4AAD76B588	A82697FC10A31A9E0F7D341E5B93314C
ERR2596951	2019-02-19 08:08:21	2019-02-24 03:55:23	0	0	0	0	1545		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2596951/ERR2596951	ERX2613236	5396sTS.Macaque.Heart.14ypb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP108988	PRJEB26956		523154	ERS2508656	SAMEA4688470	simple	9544	Macaca mulatta	SAMEA4688470					male		no					Lausanne Genomics Technology Facility 	ERA1499565		public	A3BF223D86297D8973A7BA11FE1F777C	0A4A2F10957EA48802E7F78AA9604C0C
ERR2596952	2019-02-19 08:08:21	2019-02-24 03:56:31	0	0	0	0	1483		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2596952/ERR2596952	ERX2613237	6120sTS.Macaque.Heart.15ypb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP108988	PRJEB26956		523154	ERS2508657	SAMEA4688471	simple	9544	Macaca mulatta	SAMEA4688471					male		no					Lausanne Genomics Technology Facility 	ERA1499565		public	B92A414ADDEDD9190ADB653C64823B48	43AD9AE33317C8FDFF330246F53434C5
ERR2596953	2019-02-19 08:08:21	2019-02-24 03:56:27	0	0	0	0	1353		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR002/596/ERR2596953.sralite.1	ERX2613238	5491sTS.Macaque.Cerebellum.15ypb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP108988	PRJEB26956		523154	ERS2508658	SAMEA4688472	simple	9544	Macaca mulatta	SAMEA4688472					male		no					Lausanne Genomics Technology Facility 	ERA1499565		public	F6B530BD83EC17B73C13ED0F1BBD3327	0C71460C2568E90FDE7D2FB51518373C
ERR2596954	2019-02-19 08:08:21	2021-10-24 06:53:18	38651105	3903761605	0	101	1418		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR002/2596/ERR2596954/ERR2596954.lite.2	ERX2613239	5376sTS.Macaque.Kidney.14ypb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP108988	PRJEB26956		523154	ERS2508659	SAMEA4688473	simple	9544	Macaca mulatta	SAMEA4688473					male		no					Lausanne Genomics Technology Facility 	ERA1499565		public	3B6F25FBAFFFC635B621806499C0590A	0BC5B9D3739DD70FF2D6C54EE6DA334C
ERR2596955	2019-02-19 08:08:21	2021-10-24 06:48:29	43348552	4378203752	0	101	1604		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR002/2596/ERR2596955/ERR2596955.lite.2	ERX2613240	5445sTS.Macaque.Kidney.15ypb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP108988	PRJEB26956		523154	ERS2508660	SAMEA4688474	simple	9544	Macaca mulatta	SAMEA4688474					male		no					Lausanne Genomics Technology Facility 	ERA1499565		public	BF6F134B1B9FE5BFB12CE6DB0897418C	125EE9FA363843DABA7F120216C0A2CD
ERR2596956	2019-02-19 08:08:21	2021-10-24 06:33:27	15714787	1587193487	0	101	566		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR002/596/ERR2596956.sralite.1	ERX2613241	5416sTS.Macaque.Liver.15ypb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP108988	PRJEB26956		523154	ERS2508661	SAMEA4688475	simple	9544	Macaca mulatta	SAMEA4688475					male		no					Lausanne Genomics Technology Facility 	ERA1499565		public	6A3B7E810120DA89AEB115F8AB658070	19D2DAB4745092168D0968ACCEA6133A
ERR2596957	2019-02-19 08:08:21	2021-10-24 06:47:47	37510214	3788531614	0	101	1281		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR002/2596/ERR2596957/ERR2596957.lite.2	ERX2613242	5482sTSm.Macaque.Liver.14ypb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP108988	PRJEB26956		523154	ERS2508662	SAMEA4688476	simple	9544	Macaca mulatta	SAMEA4688476					male		no					Lausanne Genomics Technology Facility 	ERA1499565		public	C817F22B5F1F9D40E1CD9FD3F2F62D89	24BB908E8E186D5D12F463A07AA1F932
ERR2596958	2019-02-19 08:08:21	2019-02-24 04:00:10	0	0	0	0	1690		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2596958/ERR2596958	ERX2613243	6114sTS.Macaque.Liver.14ypb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP108988	PRJEB26956		523154	ERS2508663	SAMEA4688477	simple	9544	Macaca mulatta	SAMEA4688477					male		no					Lausanne Genomics Technology Facility 	ERA1499565		public	FB5BFBE150E504BFFA6DE57E550DDBEC	2768EE201201F1DC8DB8A587876F87D1
