Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR5876271	2018-03-01 09:05:21	2017-07-27 13:47:40	16401115	820055750	0	50	471		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/876/SRR5876271.sralite.1	SRX3043794	M10_nc_A_2	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP113706	PRJNA395467	2	395467	SRS2391530	SAMN07419672	simple	282301	Macrostomum lignano	M10_nc					hermaphrodite		no					UNIVERSITY MEDICAL CENTER GRONINGEN	SRA593080		public	DC02E16D9C6651D6C2207DF4A7BA231B	049208FD554F999BF648D758E07C7CDA
SRR5876272	2018-03-01 09:05:21	2017-07-27 13:47:17	13398087	669904350	0	50	384		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/876/SRR5876272.sralite.1	SRX3043793	M10_nc_A_3	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP113706	PRJNA395467	2	395467	SRS2391530	SAMN07419672	simple	282301	Macrostomum lignano	M10_nc					hermaphrodite		no					UNIVERSITY MEDICAL CENTER GRONINGEN	SRA593080		public	4CECD7FC4A62D2C9E3A32C247B699940	7AD6A0636081A8BB013193526EE00EE4
SRR5876267	2018-03-01 09:05:21	2017-07-27 13:53:19	24951752	1372346360	0	55	564		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/876/SRR5876267.sralite.1	SRX3043798	M26_mc_H_3	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP113706	PRJNA395467	2	395467	SRS2391533	SAMN07419680	simple	282301	Macrostomum lignano	M26_mc					hermaphrodite		no					UNIVERSITY MEDICAL CENTER GRONINGEN	SRA593080		public	76C3195E4939C74677A9377BF3A3AEFC	CE2E8BB74A34568E93C50F821C40BCB9
SRR5876268	2018-03-01 09:05:21	2017-07-27 13:52:22	24815138	1364832590	0	55	559		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/876/SRR5876268.sralite.1	SRX3043797	M26_mc_H_2	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP113706	PRJNA395467	2	395467	SRS2391533	SAMN07419680	simple	282301	Macrostomum lignano	M26_mc					hermaphrodite		no					UNIVERSITY MEDICAL CENTER GRONINGEN	SRA593080		public	B1F885FF1FC25505D0818D19BE467705	CEDD8F57FA413F59F905254507B675F0
SRR5876269	2018-03-01 09:05:21	2017-07-27 13:52:08	24256285	1334095675	0	55	548		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/876/SRR5876269.sralite.1	SRX3043796	M26_mc_H_1	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP113706	PRJNA395467	2	395467	SRS2391533	SAMN07419680	simple	282301	Macrostomum lignano	M26_mc					hermaphrodite		no					UNIVERSITY MEDICAL CENTER GRONINGEN	SRA593080		public	A35806876249BF4AA224A9695F1420A2	C6764A5EC4932395996B473E0E95F793
SRR5876270	2018-03-01 09:05:21	2017-07-27 13:50:45	21043108	1157370940	0	55	475		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/876/SRR5876270.sralite.1	SRX3043795	M26_oc_H_3	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP113706	PRJNA395467	2	395467	SRS2391528	SAMN07419679	simple	282301	Macrostomum lignano	M26_oc					hermaphrodite		no					UNIVERSITY MEDICAL CENTER GRONINGEN	SRA593080		public	8D65E4CD914359A316B6AD3A9F3CA0EB	6F6AEEDC069B3BE818E98B64A3FA6BF0
SRR5876259	2018-03-01 09:05:21	2017-07-27 13:49:42	14322357	716117850	0	50	409		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/876/SRR5876259.sralite.1	SRX3043806	M2_nc_F_3	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP113706	PRJNA395467	2	395467	SRS2391524	SAMN07419666	simple	282301	Macrostomum lignano	M2_nc					hermaphrodite		no					UNIVERSITY MEDICAL CENTER GRONINGEN	SRA593080		public	2FF00776714D8AD44BCCCF0E06524FBC	5956DC433BC8E92713A2904B6EF41246
SRR5876260	2018-03-01 09:05:21	2017-07-27 13:47:52	16597555	829877750	0	50	477		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/876/SRR5876260.sralite.1	SRX3043805	M2_nc_F_2	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP113706	PRJNA395467	2	395467	SRS2391524	SAMN07419666	simple	282301	Macrostomum lignano	M2_nc					hermaphrodite		no					UNIVERSITY MEDICAL CENTER GRONINGEN	SRA593080		public	4C92AE34C23E55A6BCC5115AF7384B5B	D38A59F15488D99A2311A8062A346DF5
SRR5876257	2018-03-01 09:05:21	2017-07-27 13:52:12	28510655	1425532750	0	50	557		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/876/SRR5876257.sralite.1	SRX3043808	M4_nc_E_2	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP113706	PRJNA395467	2	395467	SRS2391534	SAMN07419667	simple	282301	Macrostomum lignano	M4_nc					hermaphrodite		no					UNIVERSITY MEDICAL CENTER GRONINGEN	SRA593080		public	FDFCB22398721EDE9FB8DCB4840CF5BF	53425AD62462EAA1F196A489DE695A27
SRR5876258	2018-03-01 09:05:21	2017-07-27 13:52:24	19533442	976672100	0	50	382		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/876/SRR5876258.sralite.1	SRX3043807	M4_nc_E_1	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP113706	PRJNA395467	2	395467	SRS2391534	SAMN07419667	simple	282301	Macrostomum lignano	M4_nc					hermaphrodite		no					UNIVERSITY MEDICAL CENTER GRONINGEN	SRA593080		public	A826B60D9FED4687C2D892F143E67DBC	E0B4EB084776BEA2E17A1FB87919E30B
