Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR9076752	2020-06-14 00:00:20	2019-05-17 02:30:44	22872044	6861613200	22872044	300	2009		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9076752/SRR9076752	SRX5852020	G1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP198698	PRJNA543379		543379	SRS4776012	SAMN11665307	simple	106549	Malus baccata	Malus baccata leaf_G1_1							no					SHENYANG AGRICULTURE UNIVERSITY	SRA887731		public	072CCBAA65BF26F4EEE3358D83EA53C3	FAF29BC2DB184BCCBA551E6A1D2B0EC1
SRR9076747	2020-06-14 00:00:20	2019-05-17 02:33:12	27645179	8293553700	27645179	300	2476		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/9076/SRR9076747/SRR9076747.lite.1	SRX5852025	G2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP198698	PRJNA543379		543379	SRS4776017	SAMN11665308	simple	106549	Malus baccata	Malus baccata leaf_G2_1							no					SHENYANG AGRICULTURE UNIVERSITY	SRA887731		public	CBF886D18D4F7DE6D4E6832D54A3EB5E	2ACB049DABAE5FF6C34564DF0CDD362F
SRR9076748	2020-06-14 00:00:20	2019-05-17 02:35:13	29994475	8998342500	29994475	300	2723		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9076748/SRR9076748	SRX5852024	G3	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP198698	PRJNA543379		543379	SRS4776016	SAMN11665309	simple	106549	Malus baccata	Malus baccata leaf_G3_1							no					SHENYANG AGRICULTURE UNIVERSITY	SRA887731		public	BC4CDCB4E5F5DAFDE28E9D9AE92B9849	8F17C1F849454E683EE6A55BB12D0AC6
SRR9076749	2020-06-14 00:00:20	2019-05-17 02:32:40	24015664	7204699200	24015664	300	2146		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9076749/SRR9076749	SRX5852023	Z1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP198698	PRJNA543379		543379	SRS4776015	SAMN11665304	simple	106549	Malus baccata	Malus baccata leaf_Z1_1							no					SHENYANG AGRICULTURE UNIVERSITY	SRA887731		public	1B5F7104229D17A05BE3043C8CFD842E	5B8507606988442734A669BEA8A7FF3A
SRR9076750	2020-06-14 00:00:20	2019-05-17 02:32:17	24561567	7368470100	24561567	300	2149		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9076750/SRR9076750	SRX5852022	Z2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP198698	PRJNA543379		543379	SRS4776014	SAMN11665305	simple	106549	Malus baccata	Malus baccata leaf_Z2_1							no					SHENYANG AGRICULTURE UNIVERSITY	SRA887731		public	A11C8E8B9C74A1A228A1F74618520297	F83C312DCB284911DFB76BF437C762CE
SRR9076751	2020-06-14 00:00:20	2019-05-17 02:34:59	30408546	9122563800	30408546	300	2718		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/9076/SRR9076751/SRR9076751.lite.1	SRX5852021	Z3	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP198698	PRJNA543379		543379	SRS4776013	SAMN11665306	simple	106549	Malus baccata	Malus baccata leaf_Z3_1							no					SHENYANG AGRICULTURE UNIVERSITY	SRA887731		public	47B0F24DFC7F9B16CAFD3080589F28D9	5C81D276616606D40ED1399C1B6C4830
SRR1153476	2015-07-22 17:10:39	2015-12-10 22:46:35	23306280	2353934280	0	101	567		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/153/SRR1153476.sralite.1	SRX457732		RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP036137	PRJNA215017		215017	SRS549987	SAMN02604458	simple	141206	Malus baccata var. xiaojinensis	Malus xiaojinesis root							no					CAU	SRA129697		public	DE0B578A55821B996F704154736E65C3	9854196CB7ACBB41B96CEA104266C4D8
SRR1153477	2015-07-22 17:10:39	2015-12-10 22:42:54	10903432	1107681292	0	101	289		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/153/SRR1153477.sralite.1	SRX457732		RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP036137	PRJNA215017		215017	SRS549987	SAMN02604458	simple	141206	Malus baccata var. xiaojinensis	Malus xiaojinesis root							no					CAU	SRA129697		public	03E504703B7ECD0F4FBB20AFD8A4F8F8	71108E3B856F42ADABFDC24DF2EDE6F0
SRR1153478	2015-07-22 17:10:39	2015-12-10 22:56:54	23798416	2403640016	0	101	577		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/153/SRR1153478.sralite.1	SRX457732		RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP036137	PRJNA215017		215017	SRS549987	SAMN02604458	simple	141206	Malus baccata var. xiaojinensis	Malus xiaojinesis root							no					CAU	SRA129697		public	E8DE38C0BC06CEDE7C5BB1DA3F577E6E	9DE6EE3706936B5D2FF77BE315434CB5
SRR1153479	2015-07-22 17:10:39	2015-12-10 22:55:21	10404174	1057753124	0	101	277		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/153/SRR1153479.sralite.1	SRX457732		RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP036137	PRJNA215017		215017	SRS549987	SAMN02604458	simple	141206	Malus baccata var. xiaojinensis	Malus xiaojinesis root							no					CAU	SRA129697		public	7779C377275A2B3517145C6016196352	7D4570EB84413AEC8ACC94E75A41BE33
