Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
ERR3169734	2019-02-26 08:49:23	2019-02-26 12:32:36	4317517	647627550	4317517	150	246	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR003/169/ERR3169734.sralite.1	ERX3197682	MJ_27	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	150	0	ILLUMINA	Illumina HiSeq 4000	ERP113912	PRJEB31360	NA	523782	ERS3171076	SAMEA5364441	simple	191418	Maniola jurtina	SAMEA5364441	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	LOHSELAB	ERA1743834	NA	public	ABDABC49E72336546CB132F81C347AB5	D34C532FA0A4F4336DDACC38FAD5BB4A
ERR3169735	2019-02-26 08:49:23	2019-02-26 15:14:02	4558919	683837850	4558919	150	260	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR003/169/ERR3169735.sralite.1	ERX3197683	MJ_27	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	150	0	ILLUMINA	Illumina HiSeq 4000	ERP113912	PRJEB31360	NA	523782	ERS3171076	SAMEA5364441	simple	191418	Maniola jurtina	SAMEA5364441	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	LOHSELAB	ERA1743834	NA	public	D406FC2BACAB96595144AB03157E16A7	B5990C26E916373C461695BC7ACC1576
ERR3169736	2019-02-26 08:49:23	2019-02-26 12:33:02	4708148	706222200	4708148	150	268	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR003/169/ERR3169736.sralite.1	ERX3197684	MJ_27	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	150	0	ILLUMINA	Illumina HiSeq 4000	ERP113912	PRJEB31360	NA	523782	ERS3171076	SAMEA5364441	simple	191418	Maniola jurtina	SAMEA5364441	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	LOHSELAB	ERA1743834	NA	public	5625C2AFF7F8354A188B17449FF5D44B	1F2943EF46FC002E0C5BF562A1735922
ERR3169737	2019-02-26 08:49:23	2019-02-26 15:14:23	4611516	691727400	4611516	150	265	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR003/169/ERR3169737.sralite.1	ERX3197685	MJ_27	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	150	0	ILLUMINA	Illumina HiSeq 4000	ERP113912	PRJEB31360	NA	523782	ERS3171076	SAMEA5364441	simple	191418	Maniola jurtina	SAMEA5364441	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	LOHSELAB	ERA1743834	NA	public	CFB75537377277523AFA7396C8906BC5	B228D8F6CC7F3ABA3DC4ECDE161F2204
ERR3169738	2019-02-26 08:49:23	2019-02-26 12:33:24	4564939	684740850	4564939	150	259	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR003/169/ERR3169738.sralite.1	ERX3197686	MJ_27	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	150	0	ILLUMINA	Illumina HiSeq 4000	ERP113912	PRJEB31360	NA	523782	ERS3171076	SAMEA5364441	simple	191418	Maniola jurtina	SAMEA5364441	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	LOHSELAB	ERA1743834	NA	public	7ACA4091BC7FAD2247A55FDDA71BB089	72E45CD3778690DE2D314BFE6133112A
ERR3169739	2019-02-26 08:49:23	2019-02-26 12:34:44	4578691	686803650	4578691	150	257	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR003/169/ERR3169739.sralite.1	ERX3197687	MJ_27	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	150	0	ILLUMINA	Illumina HiSeq 4000	ERP113912	PRJEB31360	NA	523782	ERS3171076	SAMEA5364441	simple	191418	Maniola jurtina	SAMEA5364441	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	LOHSELAB	ERA1743834	NA	public	AA59623FB15271DA19BA85DBD867EFA6	0F6A0970E3319AA581F1CBB4277C2083
ERR3169740	2019-02-26 08:49:23	2019-02-26 15:14:42	4726364	708954600	4726364	150	263	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR003/169/ERR3169740.sralite.1	ERX3197688	MJ_27	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	150	0	ILLUMINA	Illumina HiSeq 4000	ERP113912	PRJEB31360	NA	523782	ERS3171076	SAMEA5364441	simple	191418	Maniola jurtina	SAMEA5364441	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	LOHSELAB	ERA1743834	NA	public	D62A34D89A51324FF0B5C242B0EAEBFA	5C151F73B59174167DB358FD48D73258
ERR3169727	2019-02-26 08:49:23	2019-02-26 15:13:42	4515008	677251200	4515008	150	248	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR003/169/ERR3169727.sralite.1	ERX3197675	MJ_177	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	150	0	ILLUMINA	Illumina HiSeq 4000	ERP113912	PRJEB31360	NA	523782	ERS3171077	SAMEA5364442	simple	191418	Maniola jurtina	SAMEA5364442	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	LOHSELAB	ERA1743834	NA	public	6623777B339938ABC699A83A92E3A6B3	245C4A8AEB326E7C358F794D811A362B
ERR3169728	2019-02-26 08:49:23	2019-02-26 12:31:00	4773022	715953300	4773022	150	262	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR003/169/ERR3169728.sralite.1	ERX3197676	MJ_177	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	150	0	ILLUMINA	Illumina HiSeq 4000	ERP113912	PRJEB31360	NA	523782	ERS3171077	SAMEA5364442	simple	191418	Maniola jurtina	SAMEA5364442	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	LOHSELAB	ERA1743834	NA	public	6CED1392E4088A49815255655E9E7001	A8D1962F3E85E6D3B6739094178DDD6A
ERR3169729	2019-02-26 08:49:23	2019-02-26 12:31:12	4967068	745060200	4967068	150	273	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR003/169/ERR3169729.sralite.1	ERX3197677	MJ_177	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	150	0	ILLUMINA	Illumina HiSeq 4000	ERP113912	PRJEB31360	NA	523782	ERS3171077	SAMEA5364442	simple	191418	Maniola jurtina	SAMEA5364442	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	LOHSELAB	ERA1743834	NA	public	BC01CD5D1E716FC5C3B8D3DDC533CC2E	ECCE1D2C7422DE7CED829C84F45A8A8D
