Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR9678058	2020-03-01 01:59:30	2019-07-13 04:42:12	22226806	6712495412	22226806	302	2385		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9678058/SRR9678058	SRX6438356	Control_2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP214511	PRJNA554398		554398	SRS5093056	SAMN12264816	simple	3197	Marchantia polymorpha	Control_2							no					WAGENINGEN UNIVERSITY & RESEARCH	SRA920658		public	8BB57A3CAAAE5805C7496FDE7E123CCE	B77C2B9EAC99F81649A1D6197E4EBDBA
SRR9678061	2020-03-01 01:59:30	2019-07-13 04:39:10	22677887	6848721874	22677887	302	2440		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9678061/SRR9678061	SRX6438353	Control_3	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP214511	PRJNA554398		554398	SRS5093053	SAMN12264817	simple	3197	Marchantia polymorpha	Control_3							no					WAGENINGEN UNIVERSITY & RESEARCH	SRA920658		public	E9027AC3E0AC07C0000208F14E797E1D	C0E62EF5FB288B69E6353BE5349D88E8
SRR13728993	2021-04-03 00:00:46	2021-02-17 08:10:08	10840779	3252233700	10840779	300	982		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13728993/SRR13728993	SRX10117003	RNAseq_thallus_nmcp_line2_rep2	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP306798	PRJNA692743		692743	SRS8271805	SAMN17368693	simple	3197	Marchantia polymorpha	Marchantia thallus							no					HOHENHEIM UNIVERSITY	SRA1197019		public	6409A975A25CA3C9B71F49C26B9B631C	4B6E2E862219DA2AA214CCD92811CB12
SRR13728994	2021-04-03 00:00:46	2021-02-17 08:12:26	15388117	4616435100	15388117	300	1387		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13728994/SRR13728994	SRX10117002	RNAseq_thallus_nmcp_line2_rep1	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP306798	PRJNA692743		692743	SRS8271805	SAMN17368693	simple	3197	Marchantia polymorpha	Marchantia thallus							no					HOHENHEIM UNIVERSITY	SRA1197019		public	7AAAADF908643F17F26459BCBB6E9E90	705C9E32EDCC8C3025789FD608B7E311
SRR13728995	2021-04-03 00:00:46	2021-02-17 08:08:23	7885942	2365782600	7885942	300	720		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13728995/SRR13728995	SRX10117001	RNAseq_thallus_nmcp_line1_rep2	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP306798	PRJNA692743		692743	SRS8271805	SAMN17368693	simple	3197	Marchantia polymorpha	Marchantia thallus							no					HOHENHEIM UNIVERSITY	SRA1197019		public	DE2337D9AD5CC311511E31F1ACABC2E9	E646C89270AA1516860C37E0FFE24045
SRR13728996	2021-04-03 00:00:46	2021-02-17 08:07:42	9079451	2723835300	9079451	300	854		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13728996/SRR13728996	SRX10117000	RNAseq_thallus_nmcp_line1_rep1	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP306798	PRJNA692743		692743	SRS8271805	SAMN17368693	simple	3197	Marchantia polymorpha	Marchantia thallus							no					HOHENHEIM UNIVERSITY	SRA1197019		public	B30A5E654A902872D0388433B30BF5CA	95D5AA26680F1800C910ED5379AB4FC5
SRR13728997	2021-04-03 00:00:46	2021-02-17 08:08:11	9322988	2796896400	9322988	300	871		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13728997/SRR13728997	SRX10116999	RNAseq_thallus_TAK1_rep2	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP306798	PRJNA692743		692743	SRS8271805	SAMN17368693	simple	3197	Marchantia polymorpha	Marchantia thallus							no					HOHENHEIM UNIVERSITY	SRA1197019		public	1046D3FFBFF2BA869E22BD6AD3580129	FD1F9E544A34D6C0BB689CCE96F263B0
SRR13192243	2020-12-03 11:23:16	2020-12-03 11:22:12	8517797	638834775	0	75	238		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13192243/SRR13192243	SRX9626610	B-TEX_S25	RNA-Seq	Hybrid Selection	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP295662	PRJNA682380		682380	SRS7827778	SAMN16988446	simple	3197	Marchantia polymorpha	Marchantia_chloroplast_dRNA-seq							no					UNIVERSITY OF CAMBRIDGE	SRA1166538		public	DEB8673B7FD114EA19BD7229C0E7DD92	A1C7407A593E5BEBF26C7DAE66C43777
SRR13192244	2020-12-03 11:23:16	2020-12-03 11:22:06	9063993	679799475	0	75	247		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13192244/SRR13192244	SRX9626609	B_S27	RNA-Seq	Hybrid Selection	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP295662	PRJNA682380		682380	SRS7827778	SAMN16988446	simple	3197	Marchantia polymorpha	Marchantia_chloroplast_dRNA-seq							no					UNIVERSITY OF CAMBRIDGE	SRA1166538		public	68E9B86DC636115F58211D7FA8D70AEC	F8C7ADFF1894E6658E6C380277150F78
SRR13192245	2020-12-03 11:24:45	2020-12-03 11:22:40	10636145	797710875	0	75	301		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13192245/SRR13192245	SRX9626608	A-TEX_S24	RNA-Seq	Hybrid Selection	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP295662	PRJNA682380		682380	SRS7827778	SAMN16988446	simple	3197	Marchantia polymorpha	Marchantia_chloroplast_dRNA-seq							no					UNIVERSITY OF CAMBRIDGE	SRA1166538		public	F0AB7567D0AB7296B62EA77B42AE2DAF	5CBABE47D7B83BD768788D0B1830F8D4
