Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR7072905	2018-11-18 12:11:08	2018-04-27 08:35:59	27690677	2769067700	0	100	1699	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/072/SRR7072905.sralite.1	SRX4003355	NA	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP143443	PRJNA453906	NA	453906	SRS3225264	SAMN08993186	simple	93162	Marmota flaviventris	GSM3118693	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA696723	NA	public	A46B84A309A1BCC439D7F184E2DEFBE2	4A2BBC5C2DBC5B6FA57B43114EBE565D
SRR7072906	2018-11-18 12:11:08	2018-04-27 09:07:46	28178888	2817888800	0	100	1745	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/072/SRR7072906.sralite.1	SRX4003356	NA	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP143443	PRJNA453906	NA	453906	SRS3225265	SAMN08993185	simple	93162	Marmota flaviventris	GSM3118694	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA696723	NA	public	459C24C7B8A673D8C13617AA86424C98	F78F830A2729FE3BB7CFAC4EC49E1826
SRR7072907	2018-11-18 12:11:08	2018-04-27 08:35:22	23831218	2383121800	0	100	1463	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/072/SRR7072907.sralite.1	SRX4003357	NA	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP143443	PRJNA453906	NA	453906	SRS3225266	SAMN08993184	simple	93162	Marmota flaviventris	GSM3118695	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA696723	NA	public	5F972923DFC2881D9946B204EE3635B7	913D885D49759FB91A1269A80ECD1F4A
SRR7072908	2018-11-18 12:11:08	2018-04-27 08:35:50	24496201	2449620100	0	100	1505	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/072/SRR7072908.sralite.1	SRX4003358	NA	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP143443	PRJNA453906	NA	453906	SRS3225267	SAMN08993183	simple	93162	Marmota flaviventris	GSM3118696	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA696723	NA	public	D72F9AF4D328EF34EE5936B1549BA93D	88C3351557657FC6D9DB74857AEC9C61
SRR7072909	2018-11-18 12:11:08	2018-04-27 08:38:03	29501161	2950116100	0	100	1808	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/072/SRR7072909.sralite.1	SRX4003359	NA	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP143443	PRJNA453906	NA	453906	SRS3225269	SAMN08993182	simple	93162	Marmota flaviventris	GSM3118697	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA696723	NA	public	506B48070E1761E69D9E16DA3890D400	70FBA9205C5B3BD872205830DAD5CA60
SRR7072910	2018-11-18 12:11:08	2018-04-27 08:44:49	36936870	3730623870	0	101	1253	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/072/SRR7072910.sralite.1	SRX4003360	NA	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP143443	PRJNA453906	NA	453906	SRS3225268	SAMN08993181	simple	93162	Marmota flaviventris	GSM3118698	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA696723	NA	public	8AC0C884DB3D991F4243EB248E3EAE39	B406592CCD75A73F77B70C1A68A1C38C
SRR7072911	2018-11-18 12:11:08	2018-04-27 09:12:46	32126588	3244785388	0	101	1112	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/072/SRR7072911.sralite.1	SRX4003361	NA	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP143443	PRJNA453906	NA	453906	SRS3225270	SAMN08993180	simple	93162	Marmota flaviventris	GSM3118699	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA696723	NA	public	BC9DB912873B0559FFDD6EB09A574F95	F613FA8261E3594050275B467BDEE782
SRR7072912	2018-11-18 12:11:08	2018-04-27 09:05:14	20890368	2089036800	0	100	1298	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/072/SRR7072912.sralite.1	SRX4003362	NA	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP143443	PRJNA453906	NA	453906	SRS3225271	SAMN08993179	simple	93162	Marmota flaviventris	GSM3118700	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA696723	NA	public	581951EC30B6440960B744C8F62CE22F	258166D72990F5913BF79215B9679835
SRR7072913	2018-11-18 12:11:08	2018-04-27 08:44:26	39747965	4014544465	0	101	1368	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/072/SRR7072913.sralite.1	SRX4003363	NA	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP143443	PRJNA453906	NA	453906	SRS3225272	SAMN08993178	simple	93162	Marmota flaviventris	GSM3118701	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA696723	NA	public	DE2A4142E18467908B366CBA702D08D0	A532316B5F079903EC7258F1BCC6BEEA
SRR7072914	2018-11-18 12:11:08	2018-04-27 08:37:48	25796909	2579690900	0	100	1579	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/072/SRR7072914.sralite.1	SRX4003364	NA	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP143443	PRJNA453906	NA	453906	SRS3225273	SAMN08993177	simple	93162	Marmota flaviventris	GSM3118702	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA696723	NA	public	EA2C6E1A6F29F22FEFCB9D58FA9B4939	7750EDE4A2D697C6ED0A3B508245218C
