Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR13161416	2020-11-28 13:11:23	2020-11-28 13:07:27	21756064	4394724928	21756064	202	1411	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13161/SRR13161416/SRR13161416.lite.1	SRX9600375	OSH1_L8_001	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP294613	PRJNA662767	NA	662767	SRS7804575	SAMN16929709	simple	1979941	Medioppia subpectinata	OSH1	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIVERSITY OF LAUSANNE	SRA1164553	NA	public	427C6A98507802D5607AB71E35BF71DB	7A4828C3D7163ED0857CCCC6347091C8
SRR13161405	2020-11-28 13:06:49	2020-11-28 13:04:13	18105719	3657355238	18105719	202	1171	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13161/SRR13161405/SRR13161405.lite.1	SRX9600386	OSH2_L5_001	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP294613	PRJNA662767	NA	662767	SRS7804586	SAMN16929710	simple	1979941	Medioppia subpectinata	OSH2	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIVERSITY OF LAUSANNE	SRA1164553	NA	public	B28363E1CB4A09A495F353372155262F	4E609DC2CA0581D69E97A8B53BBC185A
SRR13161404	2020-11-28 13:06:49	2020-11-28 13:03:23	12584357	2542040114	12584357	202	805	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13161/SRR13161404/SRR13161404.lite.1	SRX9600387	OSH3_L6_001	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP294613	PRJNA662767	NA	662767	SRS7804587	SAMN16929711	simple	1979941	Medioppia subpectinata	OSH3	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIVERSITY OF LAUSANNE	SRA1164553	NA	public	CE28A9633E365923039EBF8D21B14294	EC69C2BBF43DB56DDFF664F02255876C
SRR13161403	2020-11-28 13:11:23	2020-11-28 13:08:02	26438129	5340502058	26438129	202	1694	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13161/SRR13161403/SRR13161403.lite.1	SRX9600388	OSKF1_L8_001	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP294613	PRJNA662767	NA	662767	SRS7804588	SAMN16929712	simple	1979941	Medioppia subpectinata	OSKF1	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIVERSITY OF LAUSANNE	SRA1164553	NA	public	946F85063A896C68E413B1A956B1DA42	23F5413C10DEAECF6D37AB85C0E40336
SRR13161402	2020-11-28 13:23:44	2020-11-28 13:20:17	36588456	7390868112	36588456	202	2422	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13161/SRR13161402/SRR13161402.lite.1	SRX9600389	OSKF2_L4_001	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP294613	PRJNA662767	NA	662767	SRS7804589	SAMN16929713	simple	1979941	Medioppia subpectinata	OSKF2	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIVERSITY OF LAUSANNE	SRA1164553	NA	public	FE67CCA99C1DDDCE7BF8624BF5AC4D8A	177505C288ACAAE6109C8A72425AFB68
SRR13161401	2020-11-28 13:13:51	2020-11-28 13:11:03	28975922	5853136244	28975922	202	1976	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13161/SRR13161401/SRR13161401.lite.1	SRX9600390	OSKF3_L5_001	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP294613	PRJNA662767	NA	662767	SRS7804590	SAMN16929714	simple	1979941	Medioppia subpectinata	OSKF3	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIVERSITY OF LAUSANNE	SRA1164553	NA	public	35A4A391785193AE08B6DECBEEA67204	01A2031673BE989AEB6A1D2B0E27DCE3
SRR13161400	2020-11-28 13:10:14	2020-11-28 13:07:16	21616073	4366446746	21616073	202	1367	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13161/SRR13161400/SRR13161400.lite.1	SRX9600391	OSSA1_L5_001	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP294613	PRJNA662767	NA	662767	SRS7804591	SAMN16929715	simple	1979941	Medioppia subpectinata	OSSA1	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIVERSITY OF LAUSANNE	SRA1164553	NA	public	BF8648CCA1CAA517C3D9DD6AC2EC0CE5	0AE1532E4137F0DF8A55A0D012E62B7A
SRR13161399	2020-11-28 13:05:13	2020-11-28 13:02:02	12186958	2461765516	12186958	202	774	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR013/13161/SRR13161399/SRR13161399.lite.1	SRX9600392	OSSA2_L7_001	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP294613	PRJNA662767	NA	662767	SRS7804592	SAMN16929716	simple	1979941	Medioppia subpectinata	OSSA2	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIVERSITY OF LAUSANNE	SRA1164553	NA	public	A620551FB80D5B504B79CF648F02C89D	1708B0830FBD7C1845ED39B60D9247C9
SRR13161398	2020-11-28 13:07:16	2020-11-28 13:05:12	15924247	3216697894	15924247	202	1101	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13161/SRR13161398/SRR13161398.lite.1	SRX9600393	OSSA3_L4_001	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP294613	PRJNA662767	NA	662767	SRS7804593	SAMN16929717	simple	1979941	Medioppia subpectinata	OSSA3	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIVERSITY OF LAUSANNE	SRA1164553	NA	public	589C4BA1C9E4A548DB40F8CBA0AF2729	13C59033BE97637B8188BEE319BD22CE
SRR13161417	2020-11-28 13:49:39	2020-11-28 13:44:07	86570401	17487221002	86570401	202	5876	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13161/SRR13161417/SRR13161417.lite.1	SRX9600374	OST	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP294613	PRJNA662767	NA	662767	SRS7804574	SAMN16929708	simple	1979941	Medioppia subpectinata	OST	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIVERSITY OF LAUSANNE	SRA1164553	NA	public	DB0363FF16507CC8783FC88FE2499050	7292405AF6DDC2E4BDF2DC778F6EF410
