Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR12808860	2021-02-25 16:24:19	2020-10-12 08:54:27	7018941	1066879032	7018941	152	383	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR012/12808/SRR12808860/SRR12808860.lite.1	SRX9277582		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP287067	PRJNA668692	3	668692	SRS7505732	SAMN16418503	simple	113334	Melitaea cinxia	GSM4827453	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA1141613	NA	public	7B3BEC84E845D56D3DF6C54722C3B11B	CC56D58A73965A656EB30647ABEF5E71
SRR12808861	2021-02-25 16:24:19	2020-10-12 08:54:24	6426500	976828000	6426500	152	353	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR012/12808/SRR12808861/SRR12808861.lite.1	SRX9277582		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP287067	PRJNA668692	3	668692	SRS7505732	SAMN16418503	simple	113334	Melitaea cinxia	GSM4827453	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA1141613	NA	public	A3C1DF979FD5E9E85FE8594DFF32FD2A	7B89E47747F4C12CC2D278D771590244
SRR12808862	2021-02-25 16:24:19	2020-10-12 08:55:19	6857965	1042410680	6857965	152	377	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR012/12808/SRR12808862/SRR12808862.lite.1	SRX9277582		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP287067	PRJNA668692	3	668692	SRS7505732	SAMN16418503	simple	113334	Melitaea cinxia	GSM4827453	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA1141613	NA	public	BF3BF0F8ADC3502AED9CC5F98C25DDE5	370409EBE1179DE63B44DADA0EE1D396
SRR12808863	2021-02-25 16:24:19	2020-10-12 08:55:13	7190661	1092980472	7190661	152	387	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR012/12808/SRR12808863/SRR12808863.lite.1	SRX9277583		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP287067	PRJNA668692	3	668692	SRS7505733	SAMN16418502	simple	113334	Melitaea cinxia	GSM4827454	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA1141613	NA	public	3DB11122486A81C1CB547989FF40421D	22954F5C0826210B0430A2495525E30C
SRR12808864	2021-02-25 16:24:19	2020-10-12 08:54:30	6608350	1004469200	6608350	152	358	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR012/12808/SRR12808864/SRR12808864.lite.1	SRX9277583		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP287067	PRJNA668692	3	668692	SRS7505733	SAMN16418502	simple	113334	Melitaea cinxia	GSM4827454	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA1141613	NA	public	6CF90C06E803555155CF84047C19C590	EED53A19F6FB3B22CAEEA00E8525A15B
SRR12808865	2021-02-25 16:24:19	2020-10-12 08:54:35	7053189	1072084728	7053189	152	382	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR012/12808/SRR12808865/SRR12808865.lite.1	SRX9277583		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP287067	PRJNA668692	3	668692	SRS7505733	SAMN16418502	simple	113334	Melitaea cinxia	GSM4827454	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA1141613	NA	public	DD88D7E1A68280599238AC4BC5D13944	463483CDB883ED5AEDD14B79AD021C0B
SRR12808866	2021-02-25 16:24:19	2020-10-12 08:53:50	6044109	918704568	6044109	152	327	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR012/12808/SRR12808866/SRR12808866.lite.1	SRX9277584		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP287067	PRJNA668692	3	668692	SRS7505734	SAMN16418501	simple	113334	Melitaea cinxia	GSM4827455	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA1141613	NA	public	2AB4E1AD4A681417A2514364652D4250	661374FFBBCD1C1CC39604307930C34A
SRR12808867	2021-02-25 16:24:19	2020-10-12 08:53:50	5559378	845025456	5559378	152	303	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR012/12808/SRR12808867/SRR12808867.lite.1	SRX9277584		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP287067	PRJNA668692	3	668692	SRS7505734	SAMN16418501	simple	113334	Melitaea cinxia	GSM4827455	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA1141613	NA	public	B31B739297190BCBE4132030174E2376	45D165981988BAB7530D3745935D5E56
SRR12808868	2021-02-25 16:24:19	2020-10-12 08:54:05	5939131	902747912	5939131	152	323	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR012/12808/SRR12808868/SRR12808868.lite.1	SRX9277584		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP287067	PRJNA668692	3	668692	SRS7505734	SAMN16418501	simple	113334	Melitaea cinxia	GSM4827455	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA1141613	NA	public	537F85901DB8EEDB585ECE02B90491B2	7CE86631E0178A36B9ED127AA7EC5157
SRR12808869	2021-02-25 16:24:19	2020-10-12 08:54:15	5973294	907940688	5973294	152	323	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR012/12808/SRR12808869/SRR12808869.lite.1	SRX9277585		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP287067	PRJNA668692	3	668692	SRS7505735	SAMN16418500	simple	113334	Melitaea cinxia	GSM4827456	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA1141613	NA	public	E70AB64B2AAA23DFD59280DABF4581B5	D588354469C63B44574CFF41C565D88A
