Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR393823	2012-06-02 21:17:26	2012-05-25 14:30:21	184781	51667872	0	279	35	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/393/SRR393823/SRR393823.lite.1	SRX147599	SongSparrow	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	LS454	454 GS FLX Titanium	SRP009646		NA	0	SRS281875	SAMN00762037	simple	44397	Melospiza melodia	JJW 189+JJW 220	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY OF GEORGIA	SRA048516	NA	public	865DAF7B88FF87A1E365050B6CEAE47F	875476D500D9D3CCCA505C75CDF479D1
SRR500996	2012-06-02 21:17:26	2012-05-25 14:37:13	135588	40582325	0	299	27	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/500/SRR500996/SRR500996.lite.1	SRX147600	SongSparrow	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	LS454	454 GS FLX Titanium	SRP009646		NA	0	SRS281876	SAMN00763678	simple	44397	Melospiza melodia	JJW 251 + JJW  351	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY OF GEORGIA	SRA048516	NA	public	173430A5C0666F849B7D22FFA21A92F3	1BBF923F1E688B67898B8382867A26CA
SRR393822	2012-06-02 21:17:26	2012-05-25 14:25:18	138439	38948833	0	281	26	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/393/SRR393822/SRR393822.lite.1	SRX110623	MID-13; SongSparrow	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	LS454	454 GS FLX Titanium	SRP009646		NA	0	SRS281874	SAMN00762036	simple	44397	Melospiza melodia	KSW5318+KSW5319	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY OF GEORGIA	SRA048516	NA	public	23AF0848AEC2E73B72C790C8CC0ECA43	4123782CF71BA4800DED017EFD2EEB22
SRR1198302	2014-06-06 10:58:22	2014-03-18 17:01:30	18663361	3732672200	18663361	200	2763	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/198/SRR1198302.sralite.1	SRX493875	SOSP001	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP040239	PRJNA241407	2	241407	SRS576564	SAMN02689719	simple	44397	Melospiza melodia	SOSP001	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	EAST CAROLINA UNIVERSITY	SRA146426	NA	public	DEDEF819048BC3E1263205E93D860CE2	F1692974AC288479773FBB7C385DF2CE
SRR1198303	2014-06-06 10:58:22	2014-03-18 17:03:31	21587131	4317426200	21587131	200	3192	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/198/SRR1198303.sralite.1	SRX493876	SOSP003	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP040239	PRJNA241407	2	241407	SRS576566	SAMN02689721	simple	44397	Melospiza melodia	SOSP003	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	EAST CAROLINA UNIVERSITY	SRA146426	NA	public	C82BCB50D94C1AB13CAB9F322FCD7268	9B91FD14CCF23887955CAE0A9585DA10
SRR1198305	2014-06-06 10:58:22	2014-03-18 17:06:15	19596714	3919342800	19596714	200	2898	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/198/SRR1198305.sralite.1	SRX493878	SOSP004	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP040239	PRJNA241407	2	241407	SRS576568	SAMN02689722	simple	44397	Melospiza melodia	SOSP004	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	EAST CAROLINA UNIVERSITY	SRA146426	NA	public	45857EEC399D3FA7D5F4117206FCF6F5	B9F143A57E4CA574DEBAA338CEDCE840
SRR1198306	2014-06-06 10:58:22	2014-03-18 17:04:46	14689686	2937937200	14689686	200	2174	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/198/SRR1198306.sralite.1	SRX493879	SOSP006	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP040239	PRJNA241407	2	241407	SRS576569	SAMN02689723	simple	44397	Melospiza melodia	SOSP006	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	EAST CAROLINA UNIVERSITY	SRA146426	NA	public	F4CBD365561ABCABBBA3751B740CA995	0CC3E43F384ECC034F0503D982E99093
SRR1198307	2014-06-06 10:58:22	2014-03-18 17:44:08	25110756	5022151200	25110756	200	3715	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/198/SRR1198307.sralite.1	SRX493880	SOSP007	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP040239	PRJNA241407	2	241407	SRS576570	SAMN02689725	simple	44397	Melospiza melodia	SOSP007	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	EAST CAROLINA UNIVERSITY	SRA146426	NA	public	753B3D45EC8202E889AD960BFE65B6AF	B693AEA52B0AC27F4849C929CD29EF22
SRR1198308	2014-06-06 10:58:22	2014-03-18 17:46:45	15582245	3116449000	15582245	200	2309	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/198/SRR1198308.sralite.1	SRX493881	SOSP008	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP040239	PRJNA241407	2	241407	SRS576571	SAMN02689724	simple	44397	Melospiza melodia	SOSP008	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	EAST CAROLINA UNIVERSITY	SRA146426	NA	public	E60030699C5846F7397E1352FCC258E4	72A298233E55BA323AF72F7C5A946B65
SRR1198320	2014-06-06 10:58:22	2014-03-19 17:16:40	20394882	4078976400	20394882	200	3013	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/198/SRR1198320.sralite.1	SRX493882	SOSP009	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP040239	PRJNA241407	2	241407	SRS576572	SAMN02689726	simple	44397	Melospiza melodia	SOSP009	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	EAST CAROLINA UNIVERSITY	SRA146426	NA	public	8D549429C2B9E852B172B3126FED7013	ED35BD43877B4197ECA6D1BDB2CA8B8B
