Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR12284190	2020-07-22 22:55:49	2020-07-22 11:10:23	594195	774785497	0	1303	636		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12284190/SRR12284190	SRX8787522	Mun_Liv	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	OXFORD_NANOPORE	MinION	SRP273015	PRJNA647657		647657	SRS7056121	SAMN15596300	simple	10047	Meriones unguiculatus	Munguiculatus_liver					male		no					UNIVERSITY OF OXFORD	SRA1102195		public	E7E4F69BE5837A9502F4064CD703099F	CA206220CE6E8C9F3A7CC75D7FD44049
SRR9066936	2019-05-28 00:34:58	2019-05-15 22:04:20	22415729	6724718700	22415729	300	4298		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9066936/SRR9066936	SRX5843027	RMONyjnTBAAARABPEI-22	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP198569	PRJNA543000		543000	SRS4768106	SAMN11651126	simple	10047	Meriones unguiculatus	RMONyjnTBAAARABPEI-22					not collected		no					BGI	SRA887264		public	371F3F45693EE03E36CF2C54A028BB7C	A76274BB8FE94965478F82A57BD3490E
SRR9066914	2019-05-28 00:34:58	2019-05-15 22:02:29	22623161	6786948300	22623161	300	4330		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9066914/SRR9066914	SRX5843049	RMONyjnTBAABRAAPEI-30	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP198569	PRJNA543000		543000	SRS4768121	SAMN11651133	simple	10047	Meriones unguiculatus	RMONyjnTBAABRAAPEI-30					not collected		no					BGI	SRA887264		public	C8D5AA735DEF85F4CE5B99BB59397D12	36452E8A6421A2DEAC19352FF15A364E
SRR9066917	2019-05-28 00:34:58	2019-05-15 22:00:04	19652152	5895645600	19652152	300	3764		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9066917/SRR9066917	SRX5843046	RMONyjnTBAACRAAPEI-33	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP198569	PRJNA543000		543000	SRS4768119	SAMN11651129	simple	10047	Meriones unguiculatus	RMONyjnTBAACRAAPEI-33					not collected		no					BGI	SRA887264		public	B8C5D8BC89D5DB65C9A9BDCD6D901D75	7E18EF0B62558546F850ABAA8313A0D2
SRR9066920	2019-05-28 00:34:58	2019-05-15 22:01:13	19401621	5820486300	19401621	300	3711		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9066920/SRR9066920	SRX5843043	RMONyjnTBAAERAAPEI-39	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP198569	PRJNA543000		543000	SRS4768116	SAMN11651124	simple	10047	Meriones unguiculatus	RMONyjnTBAAERAAPEI-39					not collected		no					BGI	SRA887264		public	5B4E2FF1D18B2B73EE6D3C123A881611	980F5DA9E804F1F97F1D0229CC53CA43
SRR9066930	2019-05-28 00:34:58	2019-05-15 21:59:48	17298951	5189685300	17298951	300	3321		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9066930/SRR9066930	SRX5843033	RMONyjnTBAAFRAAPEI-43	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP198569	PRJNA543000		543000	SRS4768111	SAMN11651134	simple	10047	Meriones unguiculatus	RMONyjnTBAAFRAAPEI-43					male		no					BGI	SRA887264		public	897B72F00F84A50D2E5B6045BEAF64B3	10FB9CF833B655AEB28206AB86B6F01B
SRR9066910	2019-05-28 00:34:58	2019-05-15 22:01:32	18699659	5609897700	18699659	300	3564		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9066910/SRR9066910	SRX5843053	RMONyjnTBAAGRAAPEI-44	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP198569	PRJNA543000		543000	SRS4768123	SAMN11651119	simple	10047	Meriones unguiculatus	RMONyjnTBAAGRAAPEI-44					male		no					BGI	SRA887264		public	5A646E2185384EEF2CE16D9C8CA6D592	7461474751936F451D888DE89C0587FE
SRR9066933	2019-05-28 00:34:58	2019-05-15 22:00:08	18587300	5576190000	18587300	300	3553		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9066933/SRR9066933	SRX5843030	RMONyjnTBAAHRAAPEI-45	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP198569	PRJNA543000		543000	SRS4768109	SAMN11651140	simple	10047	Meriones unguiculatus	RMONyjnTBAAHRAAPEI-45					female		no					BGI	SRA887264		public	ADE2E965DDA0A09A215B75E66B73A7B0	2F45C5443D71AC22C5F6CB4D390A5B0F
SRR9066935	2019-05-28 00:34:58	2019-05-15 22:01:43	20034235	6010270500	20034235	300	3844		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9066935/SRR9066935	SRX5843028	RMONyjnTBAAIRAAPEI-46	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP198569	PRJNA543000		543000	SRS4768107	SAMN11651130	simple	10047	Meriones unguiculatus	RMONyjnTBAAIRAAPEI-46					male		no					BGI	SRA887264		public	9F3ABA850F1B363925CBD42FE2DCB712	97B815B6152917304E2E4798B9A3D5EF
SRR9066922	2019-05-28 00:34:58	2019-05-15 22:05:25	28360900	8508270000	28360900	300	5428		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9066922/SRR9066922	SRX5843041	RMONyjnTBAAJRAAPEI-47	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP198569	PRJNA543000		543000	SRS4768114	SAMN11651144	simple	10047	Meriones unguiculatus	RMONyjnTBAAJRAAPEI-47					female		no					BGI	SRA887264		public	3362A2A7F2F9DE893D2FB946D82B3B53	A8F572EF8DED7869F9B6B879177B4D00
SRR9066942	2019-05-28 00:34:58	2019-05-15 22:01:34	20988805	6296641500	20988805	300	4032		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/066/SRR9066942.sralite.1	SRX5843021	RMONyjnTBAAKRAAPEI-53	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP198569	PRJNA543000		543000	SRS4768102	SAMN11651145	simple	10047	Meriones unguiculatus	RMONyjnTBAAKRAAPEI-53					male		no					BGI	SRA887264		public	AACFDC3A5F1038782E1A9F289F0DDE32	325FFF925801A2E96AA5E55F264B22C7
SRR9066928	2019-05-28 00:34:58	2019-05-15 22:03:35	24442473	7332741900	24442473	300	4695		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9066928/SRR9066928	SRX5843035	RMONyjnTBAALRAAPEI-56	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP198569	PRJNA543000		543000	SRS4768113	SAMN11651131	simple	10047	Meriones unguiculatus	RMONyjnTBAALRAAPEI-56					female		no					BGI	SRA887264		public	BA46A6E5A8FD043835875734D4FF819A	26C6ABA5D92DC090CE46E127A02B9B37
SRR9066918	2019-05-28 00:34:58	2019-05-15 21:59:35	18790614	5637184200	18790614	300	3631		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9066918/SRR9066918	SRX5843045	RMONyjnTDAAMRAAPEI-15	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP198569	PRJNA543000		543000	SRS4768118	SAMN11651128	simple	10047	Meriones unguiculatus	RMONyjnTDAAMRAAPEI-15					female		no					BGI	SRA887264		public	670B55A4B17250F61B1F334D0C7538E0	56F989864ABFB6FB9A5D229A96820345
SRR9066929	2019-05-28 00:34:58	2019-05-15 22:03:26	24007110	7202133000	24007110	300	4532		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/066/SRR9066929.sralite.1	SRX5843034	RMONyjnTDAANRAAPEI-77	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP198569	PRJNA543000		543000	SRS4768112	SAMN11651121	simple	10047	Meriones unguiculatus	RMONyjnTDAANRAAPEI-77					female		no					BGI	SRA887264		public	27E59FC4E2BAB754FA9832905A6FD806	77B94BA80B1D43DD482DDA4239A42E98
SRR9066939	2019-05-28 00:34:58	2019-05-15 22:02:18	22340797	6702239100	22340797	300	4213		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9066939/SRR9066939	SRX5843024	RMONyjnTDAAORAAPEI-91	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP198569	PRJNA543000		543000	SRS4768105	SAMN11651135	simple	10047	Meriones unguiculatus	RMONyjnTDAAORAAPEI-91					female		no					BGI	SRA887264		public	3ADB5412C60DCB7E4A979C9BF84A4781	4A1135F6E0AAEC93EB65C59732B09BBB
SRR9066931	2019-05-28 00:34:58	2019-05-15 22:00:22	20935417	6280625100	20935417	300	4021		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/066/SRR9066931.sralite.1	SRX5843032	RMONyjnTDAAPRAAPEI-95	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP198569	PRJNA543000		543000	SRS4768110	SAMN11651125	simple	10047	Meriones unguiculatus	RMONyjnTDAAPRAAPEI-95					female		no					BGI	SRA887264		public	B51B2BC3E2B88E64C68124D1484E717B	11BF2A7D09DE6260E78E2300D0B8CCB8
SRR9066941	2019-05-28 00:34:58	2019-05-15 22:02:30	20070414	6021124200	20070414	300	3866		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9066941/SRR9066941	SRX5843022	RMONyjnTDAAQRAAPEI-109	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP198569	PRJNA543000		543000	SRS4768103	SAMN11651143	simple	10047	Meriones unguiculatus	RMONyjnTDAAQRAAPEI-109					female		no					BGI	SRA887264		public	978F927AEBDDB067A27AC6B7D2CDE515	446E51C76BE88B59B8A5819E1EF48D7C
SRR9066934	2019-05-28 00:34:58	2019-05-15 22:02:27	21375781	6412734300	21375781	300	4108		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9066934/SRR9066934	SRX5843029	RMONyjnTDAARRAAPEI-112	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP198569	PRJNA543000		543000	SRS4768108	SAMN11651122	simple	10047	Meriones unguiculatus	RMONyjnTDAARRAAPEI-112					female		no					BGI	SRA887264		public	36EE2D1CC9C4DD67D49EF5AAFDF1CDED	58B5C92CE29EA5118314FD6039E36FD2
SRR9066911	2019-05-28 00:34:58	2019-05-15 22:01:24	20772443	6231732900	20772443	300	4025		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9066911/SRR9066911	SRX5843052	RMONyjnTDAASRAAPEI-115	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP198569	PRJNA543000		543000	SRS4768122	SAMN11651142	simple	10047	Meriones unguiculatus	RMONyjnTDAASRAAPEI-115					female		no					BGI	SRA887264		public	DECD29AE6EB9F0B8387E3900C2F0BDF8	4F0457ACAC9691F80C9412EFE9A21C01
SRR9066940	2019-05-28 00:34:58	2019-05-15 22:02:46	24893285	7467985500	24893285	300	4822		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9066940/SRR9066940	SRX5843023	RMONyjnTDAATRAAPEI-121	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP198569	PRJNA543000		543000	SRS4768104	SAMN11651146	simple	10047	Meriones unguiculatus	RMONyjnTDAATRAAPEI-121					male		no					BGI	SRA887264		public	E6D775FD52C94BF9F2B588E0F74E55A7	D6009796EA68E71076844DA6EECFFA52
SRR9066921	2019-05-28 00:34:58	2019-05-15 22:06:11	30171720	9051516000	30171720	300	5735		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9066921/SRR9066921	SRX5843042	RMONyjnTDAAURAAPEI-123	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP198569	PRJNA543000		543000	SRS4768115	SAMN11651132	simple	10047	Meriones unguiculatus	RMONyjnTDAAURAAPEI-123					male		no					BGI	SRA887264		public	48771484234325B45D647FF4CA4F9C1C	6D0090E6B16083116EFE7653D3594BAE
SRR9066943	2019-05-28 00:34:57	2019-05-15 22:04:49	21157527	6347258100	21157527	300	4100		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/066/SRR9066943.sralite.1	SRX5843020	RMONyjnTDAAWRAAPEI-139	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP198569	PRJNA543000		543000	SRS4768101	SAMN11651127	simple	10047	Meriones unguiculatus	RMONyjnTDAAWRAAPEI-139					female		no					BGI	SRA887264		public	C0F2C501AFE43CC6BA2C2ACF3F0CC879	89F0276D6EA3B9B2468451655D3B378A
