Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
ERR1331694	2017-10-13 07:46:25	2021-10-19 13:01:48	52728565	7909284750	52728565	150	5187	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR001/1331/ERR1331694/ERR1331694.lite.2	ERX1403314	Sample 4	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	275	25	ILLUMINA	Illumina HiSeq 2000	ERP014610	PRJEB13074	NA	414199	ERS1090488	SAMEA3903354	simple	30608	Microcebus murinus	SAMEA3903354	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	Cambridge Institute	ERA582952	NA	public	E22105FA91A73CF45979FE44292A3D39	F364EDA3EAD9F7F775AD401C91B09C97
SRR832934	2013-04-24 00:00:00	2013-04-22 22:32:09	204494231	41307834662	204494231	202	18309	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/832/SRR832934/SRR832934.sralite.1	SRX270645		RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	150	0	ILLUMINA	Illumina HiSeq 2000	SRP021223	PRJNA197258	2	197258	SRS415136	SAMN02045713	simple	30608	Microcebus murinus	HCT21552	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	WEILL CORNELL MEDICAL COLLEGE	SRA073404	NA	public	8312C774154546DE7DF4268EEE9AEA39	70720F5BEC3DEB6E1E1949F73A17A0DC
SRR1758989	2015-01-30 15:02:03	2015-01-30 14:56:15	40282218	8137008036	40282218	202	5397	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/758/SRR1758989/SRR1758989.sralite.1	SRX843220	mlm_172_1	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051959	PRJNA271912	2	271912	SRS819388	SAMN03282372	simple	30608	Microcebus murinus	MouseLemur_BrainCerebellum_172	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	NREMC	SRA230853	NA	public	128E3892E00EA0C3622319B5224E32FB	D8B56B75EDC3282D495E9E385671177F
SRR1758990	2015-01-30 15:10:32	2015-01-30 15:01:43	33701327	6807668054	33701327	202	4822	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/758/SRR1758990/SRR1758990.sralite.1	SRX843221	mlm_172_2	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051959	PRJNA271912	2	271912	SRS819388	SAMN03282372	simple	30608	Microcebus murinus	MouseLemur_BrainCerebellum_172	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	NREMC	SRA230853	NA	public	BAB6FC33EC2204D69B99411E330FC12B	D22A611D7F482B0273E62F76B4EA3658
SRR1758991	2015-01-30 15:34:00	2015-01-30 15:30:44	22282358	4501036316	22282358	202	3005	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/758/SRR1758991/SRR1758991.sralite.1	SRX843222	mlm_173_1	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051959	PRJNA271912	2	271912	SRS819389	SAMN03282373	simple	30608	Microcebus murinus	MouseLemur_BrainFrontalCortex_173	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	NREMC	SRA230853	NA	public	357A81832245693383CF68D6DD821DDB	A680F41FBC96702C9C5583A8BE0B45CD
SRR1758992	2015-01-30 16:05:37	2015-01-30 15:56:39	42671438	8619630476	42671438	202	5015	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/758/SRR1758992/SRR1758992.sralite.1	SRX843223	mlm_173_2	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051959	PRJNA271912	2	271912	SRS819389	SAMN03282373	simple	30608	Microcebus murinus	MouseLemur_BrainFrontalCortex_173	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	NREMC	SRA230853	NA	public	D7CFA6AA8FD6F50B53DA9F684429C050	C1DA4AEE9D55FA09A5BD06908A2B17D3
SRR1758993	2015-01-30 19:14:27	2015-01-30 19:04:32	97678744	19731106288	97678744	202	12095	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/758/SRR1758993/SRR1758993.sralite.1	SRX843224	mlm_176_1	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051959	PRJNA271912	2	271912	SRS819390	SAMN03282374	simple	30608	Microcebus murinus	MouseLemur_BrainTemporallobe_176	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	NREMC	SRA230853	NA	public	4F850C63FC0F06990A1E2CA4AF5052D9	536679C83DBE5DF0442436FA725D9F3A
SRR1758994	2015-01-30 23:20:15	2015-01-30 23:07:32	94987670	19187509340	94987670	202	12027	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/758/SRR1758994/SRR1758994.sralite.1	SRX843225	mlm_177_1	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051959	PRJNA271912	2	271912	SRS819392	SAMN03282375	simple	30608	Microcebus murinus	MouseLemur_Colon_177	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	NREMC	SRA230853	NA	public	6058FAE14B20E69F8F5C6D6A60354595	3E0947389E7AD5D8658F9177AA2422D3
SRR1758995	2015-01-30 20:52:49	2015-01-30 20:44:38	20357117	4112137634	20357117	202	2758	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/758/SRR1758995/SRR1758995.sralite.1	SRX843226	mlm_180_1	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051959	PRJNA271912	2	271912	SRS819391	SAMN03282376	simple	30608	Microcebus murinus	MouseLemur_Kidney_180	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	NREMC	SRA230853	NA	public	ABA9B81D13730E4F6CB901A37D284219	BDE2CC6C133542DC4A5F1C94CB8A8A03
SRR1758996	2015-01-30 22:06:10	2015-01-30 22:00:18	39391366	7957055932	39391366	202	4629	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/758/SRR1758996/SRR1758996.sralite.1	SRX843227	mlm_180_2	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051959	PRJNA271912	2	271912	SRS819391	SAMN03282376	simple	30608	Microcebus murinus	MouseLemur_Kidney_180	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	NREMC	SRA230853	NA	public	24E337A71F962A0D6DAB841C2C2D86DE	C1173CDFF102F2E9785C69360840ECDF
