Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR1719013	2015-12-16 00:00:00	2014-12-16 19:46:17	36452583	7290516600	36452583	200	4606	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/719/SRR1719013.sralite.1	SRX815544	FLMN12_13	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051253	PRJNA270639	2	270639	SRS795882	SAMN03267910	simple	291302	Miniopterus natalensis	FLMN12_13	NA	NA	NA	NA	na	NA	no	NA	NA	NA	NA	UCSF	SRA217868	NA	public	F89104237BBDBCF164DC9C2B359B3E45	98049645F14E0964D6B7990B0C02CC8B
SRR1719014	2015-12-16 00:00:00	2014-12-16 19:50:52	41688072	8337614400	41688072	200	5298	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/719/SRR1719014.sralite.1	SRX815545	FLMN12_16	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051253	PRJNA270639	2	270639	SRS795883	SAMN03267911	simple	291302	Miniopterus natalensis	FLMN12_16	NA	NA	NA	NA	na	NA	no	NA	NA	NA	NA	UCSF	SRA217868	NA	public	5383A006E9E730FEF6A6007A6F5ADA44	C745F58F0E8CEAF942A711D32A4B3D74
SRR1719204	2015-12-16 00:00:00	2014-12-16 21:08:51	64063779	12684628242	64063779	198	8100	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/719/SRR1719204.sralite.1	SRX815554	FLMN12_21	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051253	PRJNA270639	2	270639	SRS795892	SAMN03267916	simple	291302	Miniopterus natalensis	FLMN12_21	NA	NA	NA	NA	na	NA	no	NA	NA	NA	NA	UCSF	SRA217868	NA	public	B8BACF108ECD596C68AEB58ECDB13AA7	C90542A7D3E85088E6198BCD9832981E
SRR1719208	2015-12-16 00:00:00	2014-12-16 21:52:09	39834844	7966968800	39834844	200	5102	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/719/SRR1719208.sralite.1	SRX815777	FLMN12_33	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051253	PRJNA270639	2	270639	SRS796061	SAMN03267922	simple	291302	Miniopterus natalensis	FLMN12_33	NA	NA	NA	NA	na	NA	no	NA	NA	NA	NA	UCSF	SRA217868	NA	public	2BE11B68F807982CAA9FABCD1FB482A5	43E5A7DD5E272353E42C0CB8068F5B39
SRR1719209	2015-12-16 00:00:00	2014-12-16 22:01:47	35228973	7045794600	35228973	200	4481	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/719/SRR1719209.sralite.1	SRX815782	FLMN12_42	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051253	PRJNA270639	2	270639	SRS796065	SAMN03267923	simple	291302	Miniopterus natalensis	FLMN12_42	NA	NA	NA	NA	na	NA	no	NA	NA	NA	NA	UCSF	SRA217868	NA	public	033F2A25B62009629628EE074F9BD520	A9BEA4A8794F6D6FCF26758F63F6E93E
SRR1719206	2015-12-16 00:00:00	2014-12-16 22:14:38	82763291	16552658200	82763291	200	10583	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/719/SRR1719206.sralite.1	SRX815555	FLMN12_43	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051253	PRJNA270639	2	270639	SRS795893	SAMN03267917	simple	291302	Miniopterus natalensis	FLMN12_43	NA	NA	NA	NA	na	NA	no	NA	NA	NA	NA	UCSF	SRA217868	NA	public	D2D3DFC98B68F482104339257DC4C484	3975F350D1070BD923E713C93B44EE43
SRR1719211	2015-12-16 00:00:00	2014-12-16 22:25:05	52756464	10551292800	52756464	200	6685	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/719/SRR1719211.sralite.1	SRX815783	FLMN12_45	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051253	PRJNA270639	2	270639	SRS796066	SAMN03267924	simple	291302	Miniopterus natalensis	FLMN12_45	NA	NA	NA	NA	na	NA	no	NA	NA	NA	NA	UCSF	SRA217868	NA	public	CE7069E10B9BBA85E877BE6AFDA69B89	472E989F473B24A9BF4B0358949EF68E
SRR1719207	2015-12-16 00:00:00	2014-12-16 20:54:23	45905240	9181048000	45905240	200	5806	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR171/9207/SRR1719207.sralite.1	SRX815756	FLMN12_49	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051253	PRJNA270639	2	270639	SRS796039	SAMN03267918	simple	291302	Miniopterus natalensis	FLMN12_49	NA	NA	NA	NA	na	NA	no	NA	NA	NA	NA	UCSF	SRA217868	NA	public	4D0E56ADA9229C4725CA777DC7479617	ED051D110BB709D4C03B129DC7851216
SRR1719015	2015-12-16 00:00:00	2014-12-16 19:49:17	43018532	8603706400	43018532	200	5443	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/719/SRR1719015.sralite.1	SRX815546	FLMN12_58	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051253	PRJNA270639	2	270639	SRS795884	SAMN03267912	simple	291302	Miniopterus natalensis	FLMN12_58	NA	NA	NA	NA	na	NA	no	NA	NA	NA	NA	UCSF	SRA217868	NA	public	DDF2BE6EF0CEAE53D10C7A7EC9AE8D5D	0DEC0195E4E4D3D911E628E635138AA0
SRR1719016	2015-12-16 00:00:00	2014-12-16 20:06:16	43501627	8700325400	43501627	200	5554	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/719/SRR1719016.sralite.1	SRX815547	HLMN12_13	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP051253	PRJNA270639	2	270639	SRS795885	SAMN03267913	simple	291302	Miniopterus natalensis	HLMN12_13	NA	NA	NA	NA	na	NA	no	NA	NA	NA	NA	UCSF	SRA217868	NA	public	68ED2CB2EAA08D0256A4EE8C6BF50547	56612A029EB9C245F208DC385DCDA34E
