Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR1553317	2015-02-24 13:16:00	2014-08-26 17:28:43	14711942	2942388400	14711942	200	1697	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/553/SRR1553317/SRR1553317.sralite.1	SRX682029		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP045540	PRJNA258305	NA	258305	SRS685571	SAMN02991557	simple	9716	Mirounga angustirostris	G9654_0hr	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	SONOMA STATE UNIVERSITY	SRA179402	NA	public	04D6CC0C5DA1858BA3D70759889855D3	ED5E36CC8A568BA2C624219CB8D8818C
SRR1553318	2015-02-24 13:15:54	2014-08-19 03:02:15	12316946	2463389200	12316946	200	1405	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/553/SRR1553318/SRR1553318.sralite.1	SRX682832		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	100	0	ILLUMINA	Illumina HiSeq 2500	SRP045540	PRJNA258305	NA	258305	SRS686323	SAMN02991558	simple	9716	Mirounga angustirostris	G9654_2hr	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	SONOMA STATE UNIVERSITY	SRA179535	NA	public	C013C72EF346FA8AAD1E3528DF0E77BB	AD59C0A1034EB423503D6D7DE3E73556
SRR1553319	2015-02-24 13:12:13	2014-08-19 08:06:13	11636726	2327345200	11636726	200	1313	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/553/SRR1553319/SRR1553319.sralite.1	SRX682833		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	100	0	ILLUMINA	Illumina HiSeq 2500	SRP045540	PRJNA258305	NA	258305	SRS686324	SAMN02991559	simple	9716	Mirounga angustirostris	G9654_24hr	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	SONOMA STATE UNIVERSITY	SRA179536	NA	public	CC8D7587DB358126C60E40DFB373F7B7	B4E5CA7C5B6DC4BBAEE16941254C29F1
SRR1553989	2015-02-24 13:15:50	2014-08-21 16:07:24	15884387	3176877400	15884387	200	1815	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/553/SRR1553989/SRR1553989.sralite.1	SRX683252		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP045540	PRJNA258305	NA	258305	SRS686634	SAMN02991560	simple	9716	Mirounga angustirostris	G9653_0hr	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	SONOMA STATE UNIVERSITY	SRA179762	NA	public	16A9065289DAF59366EB8B696548B444	34BECEDC82FFC0814CC098B7CD1BBD58
SRR1554278	2015-02-24 13:15:44	2014-08-20 14:44:02	14511555	2902311000	14511555	200	1625	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/554/SRR1554278/SRR1554278.sralite.1	SRX683566		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP045540	PRJNA258305	NA	258305	SRS686760	SAMN02991563	simple	9716	Mirounga angustirostris	G9652_0hr	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	SONOMA STATE UNIVERSITY	SRA179793	NA	public	E73A8494456FF73D315D67347F86E8B5	C540C7C4F474DCCA7177DA4E6F2FD70A
SRR1554279	2015-02-24 13:15:34	2014-08-20 13:39:07	14657234	2931446800	14657234	200	1683	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/554/SRR1554279/SRR1554279.sralite.1	SRX683568		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP045540	PRJNA258305	NA	258305	SRS686762	SAMN02991561	simple	9716	Mirounga angustirostris	G9653_2hr	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	SONOMA STATE UNIVERSITY	SRA179795	NA	public	3E4E6F389092DFCE92F2E7D671DEBCD0	7FC62CACDB244F1E573B4B41EFEA4B57
SRR1554281	2015-02-24 13:15:30	2014-08-20 14:40:26	15046602	3009320400	15046602	200	1726	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/554/SRR1554281/SRR1554281.sralite.1	SRX683570		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP045540	PRJNA258305	NA	258305	SRS686764	SAMN02991562	simple	9716	Mirounga angustirostris	G9653_24hr	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	SONOMA STATE UNIVERSITY	SRA179797	NA	public	DDB54272F80ED972F39F9A30A63E0C4F	712C282784DB5766E277DBAD0976B089
SRR1554282	2015-02-24 13:15:25	2014-08-20 14:43:30	14101225	2820245000	14101225	200	1597	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/554/SRR1554282/SRR1554282.sralite.1	SRX683571		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP045540	PRJNA258305	NA	258305	SRS686765	SAMN02991564	simple	9716	Mirounga angustirostris	G9652_2hr	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	SONOMA STATE UNIVERSITY	SRA179798	NA	public	FD3C44BF8299FF0BB6DCE73863C03248	28570E09BFA134D97B9A402217B95F31
SRR1554284	2015-02-24 13:15:20	2014-08-20 15:45:30	15328202	3065640400	15328202	200	1750	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/554/SRR1554284/SRR1554284.sralite.1	SRX683572		RNA-Seq	MSLL	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP045540	PRJNA258305	NA	258305	SRS686766	SAMN02991565	simple	9716	Mirounga angustirostris	G9652_24hr	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	SONOMA STATE UNIVERSITY	SRA179799	NA	public	54951ED9BC3F74D24DD007467757EC07	15C5A2A5B8BF4A91251DDBF2670FA251
SRR3402464	2017-01-01 00:00:00	2016-04-19 13:56:18	16711658	3342331600	16711658	200	1854	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/402/SRR3402464/SRR3402464.sralite.1	SRX1713236	SB6-T2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP045540	PRJNA258305	NA	258305	SRS1402536	SAMN04595367	simple	9716	Mirounga angustirostris	GA236_acute	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	SONOMA STATE UNIVERSITY	SRA416255	NA	public	A101351FD8897D01FF058F6C6DB85CC0	BB4F4910CB2D455C5135F43CF2DD82EA
