Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR8836593	2019-08-01 00:31:35	2019-04-02 12:53:38	34179546	10322222892	34179546	302	3988		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8836593/SRR8836593	SRX5624786	TMLL0_1	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP190160	PRJNA530538		530538	SRS4569801	SAMN11317933	simple	422564	Miscanthus lutarioriparius	TMLL0_1							no					WUHAN UNIVERSITY	SRA868468		public	F898BCB3D5544ED689B94DA073BA26C6	3D77C8D54601FEC7A0CAAFECD5F61D1F
SRR8836594	2019-08-01 00:31:35	2019-04-02 12:50:23	24218430	7313965860	24218430	302	2846		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8836594/SRR8836594	SRX5624785	TMLL0_2	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP190160	PRJNA530538		530538	SRS4569800	SAMN11317934	simple	422564	Miscanthus lutarioriparius	TMLL0_2							no					WUHAN UNIVERSITY	SRA868468		public	F005759CFA08B6FE072537E8E82877E9	5B5C8F6E3FCBAA1FCDCF4350F65E8334
SRR8836591	2019-08-01 00:31:35	2019-04-02 12:51:44	27263491	8233574282	27263491	302	3226		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8836591/SRR8836591	SRX5624788	TMLL0_3	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP190160	PRJNA530538		530538	SRS4569803	SAMN11317935	simple	422564	Miscanthus lutarioriparius	TMLL0_3							no					WUHAN UNIVERSITY	SRA868468		public	D81E5AB4A4DD861695ABFD39C6FA0491	7EFBC94542BFEEFF628B7BC0464AEAA3
SRR8836592	2019-08-01 00:31:35	2019-04-02 12:50:20	26986381	8149887062	26986381	302	3181		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8836592/SRR8836592	SRX5624787	TMLL2_1	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP190160	PRJNA530538		530538	SRS4569802	SAMN11317936	simple	422564	Miscanthus lutarioriparius	TMLL2_1							no					WUHAN UNIVERSITY	SRA868468		public	5CDB57D68C441286628ED9FA1ED46F92	A52DAB5C58F6D76EC5054E4F786B90AD
SRR8836589	2019-08-01 00:31:35	2019-04-02 12:49:01	27356465	8261652430	27356465	302	3162		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8836589/SRR8836589	SRX5624790	TMLL2_2	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP190160	PRJNA530538		530538	SRS4569805	SAMN11317937	simple	422564	Miscanthus lutarioriparius	TMLL2_2							no					WUHAN UNIVERSITY	SRA868468		public	78097AECB638E0E405EF41C9E0E7DB7C	33E9C48256A4265A9BCF3DE28CDE7B42
SRR8836590	2019-08-01 00:31:35	2019-04-02 12:50:47	30790954	9298868108	30790954	302	3605		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8836590/SRR8836590	SRX5624789	TMLL2_3	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP190160	PRJNA530538		530538	SRS4569804	SAMN11317938	simple	422564	Miscanthus lutarioriparius	TMLL2_3							no					WUHAN UNIVERSITY	SRA868468		public	19FBB0B16835365B89ABBD2902ED2959	F371661784FC8FB03B5F152AEB9DC65D
SRR8836587	2019-08-01 00:31:35	2019-04-02 12:53:46	34067829	10288484358	34067829	302	3990		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8836587/SRR8836587	SRX5624792	TMLL4_1	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP190160	PRJNA530538		530538	SRS4569807	SAMN11317939	simple	422564	Miscanthus lutarioriparius	TMLL4_1							no					WUHAN UNIVERSITY	SRA868468		public	2A5153AA404CC1047CF4C6BB366A2AD5	2E13AFDA5E0EDD40A59C1E5914C988CC
SRR8836588	2019-08-01 00:31:35	2019-04-02 12:52:10	29349779	8863633258	29349779	302	3454		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8836588/SRR8836588	SRX5624791	TMLL4_2	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP190160	PRJNA530538		530538	SRS4569806	SAMN11317940	simple	422564	Miscanthus lutarioriparius	TMLL4_2							no					WUHAN UNIVERSITY	SRA868468		public	9065342C5B4F0101D2E0266CB2F2452C	E230923B402B6AC8DB14192F8C6525BD
SRR8836586	2019-08-01 00:31:35	2019-04-02 12:46:44	22263359	6723534418	22263359	302	2666		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/836/SRR8836586.sralite.1	SRX5624793	TMLL6_1	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP190160	PRJNA530538		530538	SRS4569808	SAMN11317942	simple	422564	Miscanthus lutarioriparius	TMLL6_1							no					WUHAN UNIVERSITY	SRA868468		public	841816B5B9C8F187C3535ACCB2AB07EC	50D72DEB901DF3A72C421D755A7EC6AB
SRR8836595	2019-08-01 00:31:35	2019-04-02 12:50:07	23917080	7222958160	23917080	302	2898		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/836/SRR8836595.sralite.1	SRX5624784	TMLSU0_3	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP190160	PRJNA530538		530538	SRS4569799	SAMN11317971	simple	422564	Miscanthus lutarioriparius	TMLSU0_3							no					WUHAN UNIVERSITY	SRA868468		public	E9B19FAD35F4571810E46F5842FB4484	7622BDDF142B03A1872B8F77FA33CAE6
