Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR8654763	2019-03-02 03:31:55	2019-03-02 01:28:31	15509061	3877265250	15509061	250	1861	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8654763/SRR8654763	SRX5452462	BHCO_10H	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP187280	PRJNA523990	3	523990	SRS4428511	SAMN10994851	simple	84834	Molothrus ater	BHCO_10H	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	EAST CAROLINA UNIVERSITY	SRA853787	NA	public	AD5EF689BF6A3E2E48182C442680E58A	A7BE103C0980FFAC603A3F30C4BE8021
SRR8654760	2019-03-02 03:31:55	2019-03-02 01:24:41	2872566	718141500	2872566	250	331	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/654/SRR8654760.sralite.1	SRX5452465	BHCO_11H	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP187280	PRJNA523990	3	523990	SRS4428514	SAMN10994852	simple	84834	Molothrus ater	BHCO_11H	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	EAST CAROLINA UNIVERSITY	SRA853787	NA	public	C33E3901EB108FF941D0EFA33BF9F6F6	F1BA9330B9580236F5122F1F6A2A83D5
SRR8654761	2019-03-02 03:31:55	2019-03-02 01:26:42	10025622	2506405500	10025622	250	1214	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/654/SRR8654761.sralite.1	SRX5452464	BHCO_12H	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP187280	PRJNA523990	3	523990	SRS4428513	SAMN10994853	simple	84834	Molothrus ater	BHCO_12H	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	EAST CAROLINA UNIVERSITY	SRA853787	NA	public	006BEFA66FB72FD75B854E9548C1612C	CF653CA1412214AF7B128A2F2840F117
SRR8654759	2019-03-02 03:31:55	2019-03-02 01:29:48	14571232	3642808000	14571232	250	1818	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/654/SRR8654759.sralite.1	SRX5452466	BHCO_13H	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP187280	PRJNA523990	3	523990	SRS4428515	SAMN10994854	simple	84834	Molothrus ater	BHCO_13H	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	EAST CAROLINA UNIVERSITY	SRA853787	NA	public	81A37DA53F45D67B496B95DEB8CE9DE0	B7813B98C6DA4FE78AFBBD06EB155A62
SRR8654751	2019-03-02 03:31:56	2019-03-02 01:27:10	13434168	3358542000	13434168	250	1564	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/654/SRR8654751.sralite.1	SRX5452474	BHCO_2H	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP187280	PRJNA523990	3	523990	SRS4428523	SAMN10994843	simple	84834	Molothrus ater	BHCO_2H	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	EAST CAROLINA UNIVERSITY	SRA853787	NA	public	94C6DDAAB7B73A5B50D24420279C8CA8	D47DBD3784458F42E96C6DAD7145A3DE
SRR8654752	2019-03-02 03:31:56	2019-03-02 01:25:15	6107900	1526975000	6107900	250	733	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/654/SRR8654752.sralite.1	SRX5452473	BHCO_3H	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP187280	PRJNA523990	3	523990	SRS4428522	SAMN10994844	simple	84834	Molothrus ater	BHCO_3H	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	EAST CAROLINA UNIVERSITY	SRA853787	NA	public	EA50D488FABC9737D405BE3E757A4114	1B100D02A8F152CDFD4AB4801C3347B0
SRR8654749	2019-03-02 03:31:56	2019-03-02 01:24:39	4012444	1003111000	4012444	250	469	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/654/SRR8654749.sralite.1	SRX5452476	BHCO_4H	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP187280	PRJNA523990	3	523990	SRS4428525	SAMN10994845	simple	84834	Molothrus ater	BHCO_4H	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	EAST CAROLINA UNIVERSITY	SRA853787	NA	public	2C85979BC82CE3CC186A6362AE299D7D	2AFB27E53D6DB38A752EBE691AD5400B
SRR8654750	2019-03-02 03:31:56	2019-03-02 01:25:08	5440818	1360204500	5440818	250	676	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8654750/SRR8654750	SRX5452475	BHCO_5H	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP187280	PRJNA523990	3	523990	SRS4428524	SAMN10994846	simple	84834	Molothrus ater	BHCO_5H	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	EAST CAROLINA UNIVERSITY	SRA853787	NA	public	9717A5360741E1663B19B420808C04AE	978902958E7DD99F67FF1404372300A1
SRR8654757	2019-03-02 03:31:55	2019-03-02 01:26:35	9893547	2473386750	9893547	250	1201	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/654/SRR8654757.sralite.1	SRX5452468	BHCO_6H	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP187280	PRJNA523990	3	523990	SRS4428517	SAMN10994847	simple	84834	Molothrus ater	BHCO_6H	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	EAST CAROLINA UNIVERSITY	SRA853787	NA	public	196A1BF5879B29BF70881AC98452A6FF	0C643F23102C3272D2590933035E1744
SRR8654758	2019-03-02 03:31:55	2019-03-02 01:26:27	10368203	2592050750	10368203	250	1191	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8654758/SRR8654758	SRX5452467	BHCO_7H	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP187280	PRJNA523990	3	523990	SRS4428516	SAMN10994848	simple	84834	Molothrus ater	BHCO_7H	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	EAST CAROLINA UNIVERSITY	SRA853787	NA	public	9ECAF760BB0B1534DBD88394A203763A	73699714B02BBAF31E7C0DC71E91BEDF
SRR8654762	2019-03-02 03:31:55	2019-03-02 01:26:23	8127504	2031876000	8127504	250	939	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8654762/SRR8654762	SRX5452463	BHCO_9H	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP187280	PRJNA523990	3	523990	SRS4428512	SAMN10994850	simple	84834	Molothrus ater	BHCO_9H	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	EAST CAROLINA UNIVERSITY	SRA853787	NA	public	77E9B010869D89EED97CB92893336E88	8361AA23467102A2E1655F36303E937E
SRR8654755	2019-03-02 03:31:55	2019-03-02 01:27:33	11351359	2837839750	11351359	250	1331	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/654/SRR8654755.sralite.1	SRX5452470	BHCO_P1	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP187280	PRJNA523990	3	523990	SRS4428519	SAMN10994827	simple	84834	Molothrus ater	BHCO_P1	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	EAST CAROLINA UNIVERSITY	SRA853787	NA	public	DBC455D9FF581B2A7735E067D06CB743	AF55E9B0F05B4E300B4EC8B4D56A4C7A
SRR8654754	2019-03-02 03:31:55	2019-03-02 01:26:22	7958236	1989559000	7958236	250	948	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8654754/SRR8654754	SRX5452471	BHCO_P100	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP187280	PRJNA523990	3	523990	SRS4428520	SAMN10994831	simple	84834	Molothrus ater	BHCO_P100	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	EAST CAROLINA UNIVERSITY	SRA853787	NA	public	DDFB12E6575445C1DFD4FBA194CBE348	7B38F71FC6DAC1AFCC811669F81B94E6
SRR8654756	2019-03-02 03:31:55	2019-03-02 01:27:48	14091460	3522865000	14091460	250	1657	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/654/SRR8654756.sralite.1	SRX5452469	BHCO_P2	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP187280	PRJNA523990	3	523990	SRS4428518	SAMN10994828	simple	84834	Molothrus ater	BHCO_P2	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	EAST CAROLINA UNIVERSITY	SRA853787	NA	public	ADBEEBD0B7EFF3162E5489D5125F7F93	8F4C0E72809FD758634A04B55E09ED30
SRR8654753	2019-03-02 03:31:55	2019-03-02 01:24:23	2353162	588290500	2353162	250	280	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8654753/SRR8654753	SRX5452472	BHCO_P3	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP187280	PRJNA523990	3	523990	SRS4428521	SAMN10994829	simple	84834	Molothrus ater	BHCO_P3	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	EAST CAROLINA UNIVERSITY	SRA853787	NA	public	4CAE79E832EE37685AE2C1D67E344260	A5AA2FE0BDDDE5FC739B71C92C9BFF80
SRR10119846	2019-11-14 17:20:08	2019-09-14 05:22:19	29505421	2922364025	0	99	1057	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/119/SRR10119846.sralite.1	SRX6849348	DD	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP221628	PRJNA565489	NA	565489	SRS5387828	SAMN12748649	simple	84834	Molothrus ater	DD	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF ILLINOIS	SRA962126	NA	public	1330D6EB595C4045BA59C104C4ED03DC	8C3C6EFE9C863AAF9D16EBDBE5D9CE03
SRR10119840	2019-11-14 17:20:08	2019-09-14 05:20:33	25314614	2515760997	0	99	902	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10119840/SRR10119840	SRX6849354	D_O_6A	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP221628	PRJNA565489	NA	565489	SRS5387834	SAMN12748642	simple	84834	Molothrus ater	D_O_6A	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	UNIVERSITY OF ILLINOIS	SRA962126	NA	public	0BA55DFDA9E45F4EA562559665FD2B77	D3DC15AEB70035133E43D23A22FDC163
SRR10119837	2019-11-14 17:20:08	2019-09-14 05:22:58	32926661	3270220084	0	99	1185	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/119/SRR10119837.sralite.1	SRX6849357	GG_8	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP221628	PRJNA565489	NA	565489	SRS5387837	SAMN12748645	simple	84834	Molothrus ater	GG_8	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF ILLINOIS	SRA962126	NA	public	1D8482A205FB7F960A51E7A6FC5F35EF	1AF3382A2D8DE0CA22C835C619A9F338
SRR10119845	2019-11-14 17:20:08	2019-09-14 05:20:15	32433826	3218725924	0	99	1175	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/119/SRR10119845.sralite.1	SRX6849349	G_2	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP221628	PRJNA565489	NA	565489	SRS5387829	SAMN12748650	simple	84834	Molothrus ater	G_2	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF ILLINOIS	SRA962126	NA	public	EBF2D24763A03D350D24C84B1A76569B	90323931C06F2473FB1114437170BDF0
SRR10119844	2019-11-14 17:20:08	2019-09-14 05:22:32	31798129	3151920831	0	99	1136	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/119/SRR10119844.sralite.1	SRX6849350	G_L	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP221628	PRJNA565489	NA	565489	SRS5387830	SAMN12748651	simple	84834	Molothrus ater	G_L	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF ILLINOIS	SRA962126	NA	public	7FACB4361EE8B3E16220CB77CC50D648	C2C51BFD91AE1C50FFEA4ED6E543C969
SRR10119849	2019-11-14 17:20:08	2019-09-14 05:19:12	27968955	2778244538	0	99	995	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10119849/SRR10119849	SRX6849345	G_O_7A	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP221628	PRJNA565489	NA	565489	SRS5387825	SAMN12748638	simple	84834	Molothrus ater	G_O_7A	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	UNIVERSITY OF ILLINOIS	SRA962126	NA	public	45A81D65EDF24C91C418079C1F441895	6C9EF72B5DE831ACD41156C28A028C8C
SRR10119836	2019-11-14 17:20:08	2019-09-14 05:22:10	30698618	3045564918	0	99	1105	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10119836/SRR10119836	SRX6849358	K_7	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP221628	PRJNA565489	NA	565489	SRS5387838	SAMN12748646	simple	84834	Molothrus ater	K_7	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF ILLINOIS	SRA962126	NA	public	1C6D8A129DC89D7D736D564724B6AB99	23BE3A06ECB87F54AB2711948FB6DF31
SRR10119843	2019-11-14 17:20:08	2019-09-14 05:22:15	29236102	2901108826	0	99	1058	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10119843/SRR10119843	SRX6849351	LD_1	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP221628	PRJNA565489	NA	565489	SRS5387831	SAMN12748652	simple	84834	Molothrus ater	LD_1	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF ILLINOIS	SRA962126	NA	public	6783084D3777C70540CE650DFDAE70D6	C3C8E0491D4A47CB93AFB7734A175A34
SRR10119848	2019-11-14 17:20:08	2019-09-14 05:20:38	25558271	2539699780	0	99	910	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/119/SRR10119848.sralite.1	SRX6849346	LL_5A	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP221628	PRJNA565489	NA	565489	SRS5387826	SAMN12748639	simple	84834	Molothrus ater	LL_5A	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	UNIVERSITY OF ILLINOIS	SRA962126	NA	public	CC913D33DC054B0A3CB91C2B75EA70B2	E869BE0BB7CA7BC8CD8DB11C1FA62C16
SRR10119835	2019-11-14 17:20:08	2019-09-14 05:20:31	33924205	3362873995	0	99	1211	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10119835/SRR10119835	SRX6849359	O_3	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP221628	PRJNA565489	NA	565489	SRS5387839	SAMN12748647	simple	84834	Molothrus ater	O_3	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF ILLINOIS	SRA962126	NA	public	CD838AB02EA7F975B44553E3C775A3A2	4089597E6AAE0F98F3BC40772632FE4E
