Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
ERR2603854	2019-02-19 08:13:02	2021-10-24 07:34:27	29439788	2973418588	0	101	1098		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR002/2603/ERR2603854/ERR2603854.lite.2	ERX2620510	5167sTS.Opossum.Brain.6dpb.Female_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109071	PRJEB27035		523156	ERS2519730	SAMEA4699559	simple	13616	Monodelphis domestica	SAMEA4699559					female		no					Lausanne Genomics Technology Facility	ERA1502210		public	E77E99FEB92046E93E61C49DD255A986	0032EA11F89F9B9EEC467CF6907B65D0
ERR2603855	2019-02-19 08:13:02	2021-10-24 07:32:26	18755642	1894319842	0	101	682		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR002/603/ERR2603855.sralite.1	ERX2620511	5169sTS.Opossum.Brain.6dpb.Female_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109071	PRJEB27035		523156	ERS2519731	SAMEA4699560	simple	13616	Monodelphis domestica	SAMEA4699560					female		no					Lausanne Genomics Technology Facility	ERA1502210		public	74B880C83FBFF0ACBFA3CB2682AD482A	37CEF326F66AE704E21638CA3F55A37D
ERR2603856	2019-02-19 08:13:02	2019-02-24 09:05:21	0	0	0	0	1457		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR002/603/ERR2603856.sralite.1	ERX2620512	5171sTS.Opossum.Brain.6dpb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109071	PRJEB27035		523156	ERS2519732	SAMEA4699561	simple	13616	Monodelphis domestica	SAMEA4699561					male		no					Lausanne Genomics Technology Facility	ERA1502210		public	C8EFBF8EE614B7A015B43010F6699A52	70A4CCEF61D3C5F0D41526B46D6AEC30
ERR2603857	2019-02-19 08:13:02	2019-02-24 09:06:14	0	0	0	0	532		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2603857/ERR2603857	ERX2620513	5285sTS.Opossum.Brain.6dpb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109071	PRJEB27035		523156	ERS2519733	SAMEA4699562	simple	13616	Monodelphis domestica	SAMEA4699562					male		no					Lausanne Genomics Technology Facility	ERA1502210		public	C3C3A3823BD4F7F1821B77C51B24D98A	CCCDE94C5FA7865AE51EE673DEE2D42B
ERR2603858	2019-02-19 08:13:02	2019-02-24 09:07:30	0	0	0	0	1681		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2603858/ERR2603858	ERX2620514	5134sTS.Opossum.Heart.6dpb.Female_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109071	PRJEB27035		523156	ERS2519734	SAMEA4699563	simple	13616	Monodelphis domestica	SAMEA4699563					female		no					Lausanne Genomics Technology Facility	ERA1502210		public	CA8F14A811D0E0B20F2C631B1FAE3F70	0AA928B4EC766686F6A6975EDB8D8BDE
ERR2603859	2019-02-19 08:13:02	2021-10-24 07:41:20	37350957	3772446657	0	101	1383		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR002/2603/ERR2603859/ERR2603859.lite.2	ERX2620515	5137sTS.Opossum.Heart.6dpb.Female_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109071	PRJEB27035		523156	ERS2519735	SAMEA4699564	simple	13616	Monodelphis domestica	SAMEA4699564					female		no					Lausanne Genomics Technology Facility	ERA1502210		public	88CA5BAA9C1E7A5C8E625A73C1D9F89D	EC8AE645EE325A193B8C50EC1F511BDD
ERR2603860	2019-02-19 08:13:02	2019-02-24 09:07:59	0	0	0	0	1328		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2603860/ERR2603860	ERX2620516	5142sTS.Opossum.Heart.6dpb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109071	PRJEB27035		523156	ERS2519736	SAMEA4699565	simple	13616	Monodelphis domestica	SAMEA4699565					male		no					Lausanne Genomics Technology Facility	ERA1502210		public	F99F49903FD6737FDB2192CC47E729AD	5C14CEC759D58E4A9CC9C95E53B3EE36
ERR2603861	2019-02-19 08:13:02	2019-02-24 09:09:35	0	0	0	0	1501		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2603861/ERR2603861	ERX2620517	5206sTS.Opossum.Heart.6dpb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109071	PRJEB27035		523156	ERS2519737	SAMEA4699566	simple	13616	Monodelphis domestica	SAMEA4699566					male		no					Lausanne Genomics Technology Facility	ERA1502210		public	00FDB22629086672D0BB26B62C451F42	811DB81E46D7225400746F78C55CB25B
ERR2603862	2019-02-19 08:13:02	2019-02-24 09:07:33	0	0	0	0	1766		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2603862/ERR2603862	ERX2620518	5168sTS.Opossum.Cerebellum.6dpb.Female_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109071	PRJEB27035		523156	ERS2519738	SAMEA4699567	simple	13616	Monodelphis domestica	SAMEA4699567					female		no					Lausanne Genomics Technology Facility	ERA1502210		public	E6C002C4A9AC0B7082588F8843187FCE	85F50070CAE1E974D97A3997CB8EFA7C
ERR2603863	2019-02-19 08:13:02	2019-02-24 09:10:18	0	0	0	0	913		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2603863/ERR2603863	ERX2620519	5170sTS.Opossum.Cerebellum.6dpb.Female_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP109071	PRJEB27035		523156	ERS2519739	SAMEA4699568	simple	13616	Monodelphis domestica	SAMEA4699568					female		no					Lausanne Genomics Technology Facility	ERA1502210		public	7D9A7C783727F625038D43C57AE0394C	3EA2D9077A336B850217234277776996
