Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
ERR264169	2013-05-07 06:53:05	2013-06-16 20:06:45	7744064	1099657088	7744064	142	562	GCF_000001635.20	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR000/264/ERR264169.sralite.1	ERX238687	6273211	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 2000	ERP001989	PRJEB672	NA	205660	ERS195489	SAMEA1877379	simple	10093	Mus pahari	SAMEA1877379	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	SC	ERA207947	NA	public	4928A4EBF83EBFE6CDDF9C065774736C	EFBBE986F1EFE82BE6F0D5AB7C310EB5
ERR264190	2013-05-07 06:53:05	2013-06-16 20:36:11	7682929	1090975918	7682929	142	551	GCF_000001635.20	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR000/264/ERR264190.sralite.1	ERX238708	6273211	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 2000	ERP001989	PRJEB672	NA	205660	ERS195489	SAMEA1877379	simple	10093	Mus pahari	SAMEA1877379	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	SC	ERA207947	NA	public	2262C979071D00A175595BE3BCAE3C53	4CE708E306629E533B0B4CD80F31E7B5
ERR264211	2013-05-07 06:53:05	2013-06-16 21:02:51	7701672	1093637424	7701672	142	542	GCF_000001635.20	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR264/211/ERR264211.sralite.1	ERX238729	6273211	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 2000	ERP001989	PRJEB672	NA	205660	ERS195489	SAMEA1877379	simple	10093	Mus pahari	SAMEA1877379	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	SC	ERA207947	NA	public	EB7299CA3F4A8D457873937CA2DBA92A	6B289842D60C4458DE6A93E51338B38D
ERR264232	2013-05-07 06:53:05	2013-06-16 21:37:19	7645163	1085613146	7645163	142	554	GCF_000001635.20	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR264/232/ERR264232.sralite.1	ERX238750	6273211	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	250	0	ILLUMINA	Illumina HiSeq 2000	ERP001989	PRJEB672	NA	205660	ERS195489	SAMEA1877379	simple	10093	Mus pahari	SAMEA1877379	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	SC	ERA207947	NA	public	83E48C2486BD5674EC6419E35FBE5335	3660729CE01BA15D282EABE9258DECB3
ERR1990039	2018-03-07 07:53:34	2018-03-07 08:11:11	0	0	0	0	5596		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR001/990/ERR1990039.sralite.1	ERX2049936	do2212_p	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	150	35	ILLUMINA	Illumina HiSeq 2000	ERP023198	PRJEB20980	NA	437267	ERS1755475	SAMEA104091582	simple	10093	Mus pahari	SAMEA104091582	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	University of Cambridge, Cancer Research UK Cambridge Institute, Robinson Way, Cambridge CB2 0RE, UK	ERA935643	NA	public	0BC4BB634C4B26301862DA3F3B4D65EB	8958523E1E7CBC11880A0F6CBD49979A
ERR1990040	2018-03-07 07:53:34	2021-10-23 04:11:09	35684300	7136860000	35684300	200	4593		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR001/990/ERR1990040.sralite.1	ERX2049937	do2213_p	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	150	35	ILLUMINA	Illumina HiSeq 2000	ERP023198	PRJEB20980	NA	437267	ERS1755476	SAMEA104091583	simple	10093	Mus pahari	SAMEA104091583	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	University of Cambridge, Cancer Research UK Cambridge Institute, Robinson Way, Cambridge CB2 0RE, UK	ERA935643	NA	public	A80FC98B47DF186979F5DA601B1FDC16	7EB3A85290A6B4679649A7EC07A5D7A3
ERR1990041	2018-03-07 07:53:34	2021-10-23 05:41:22	46802992	9360598400	46802992	200	5917		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR001/990/ERR1990041.sralite.1	ERX2049938	do2214_p	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	150	35	ILLUMINA	Illumina HiSeq 2000	ERP023198	PRJEB20980	NA	437267	ERS1755477	SAMEA104091584	simple	10093	Mus pahari	SAMEA104091584	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	University of Cambridge, Cancer Research UK Cambridge Institute, Robinson Way, Cambridge CB2 0RE, UK	ERA935643	NA	public	8432DC91A788BEFEBB265B56C64EFF16	2F9E2D1229DA3E422984795851A83110
ERR1990042	2018-03-07 07:53:34	2018-03-07 08:18:29	0	0	0	0	4713		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR001/990/ERR1990042.sralite.1	ERX2049939	do2215_p	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	150	35	ILLUMINA	Illumina HiSeq 2000	ERP023198	PRJEB20980	NA	437267	ERS1755478	SAMEA104091585	simple	10093	Mus pahari	SAMEA104091585	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	University of Cambridge, Cancer Research UK Cambridge Institute, Robinson Way, Cambridge CB2 0RE, UK	ERA935643	NA	public	AAD5248B26ADDB937A444A1C6D4D17A1	0092BA9EF20231E5924430592D17F4C3
SRR8833243	2019-12-06 10:44:09	2019-04-01 16:43:14	540433	325340666	540433	602	191		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/833/SRR8833243.sralite.1	SRX5621497	pahari.femaleMiseq_Mup	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP190056	PRJNA530260	NA	530260	SRS4567521	SAMN11309969	simple	10093	Mus pahari	mup_RNAseq45	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	CORNELL UNIVERSITY	SRA868240	NA	public	DCD96A422E49248C455D2CF12112657F	774C9B5127ED338D5AD2C6D4A693382E
SRR8833244	2019-12-06 10:44:09	2019-04-01 16:43:08	475342	286155884	475342	602	166		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/833/SRR8833244.sralite.1	SRX5621496	pahari.f61	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP190056	PRJNA530260	NA	530260	SRS4567520	SAMN11309970	simple	10093	Mus pahari	mup_RNAseq46	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	CORNELL UNIVERSITY	SRA868240	NA	public	9E55F033A9D73DD3C37FBC4E001D4554	A592244F3F40CE9FCB87DDD3E59830CF
