Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR13172202	2020-12-01 10:13:46	2020-12-01 10:10:44	42644862	6396729300	0	150	3671		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13172202/SRR13172202	SRX9610567	10	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0	0	BGISEQ	BGISEQ-500	SRP295283	PRJNA681292		681292	SRS7813643	SAMN16948796	simple	214697	Musa acuminata AAA Group	D01							no					GUANGDONG ACADEMY OF AGRICULTURAL SCIENCES	SRA1165603		public	C1BCBE7236C249D89D04DC4BF8DFF548	720F4FD56851D57D2959B48A5428B8C7
SRR13172212	2020-12-01 10:19:44	2020-12-01 10:16:13	42942250	6441337500	0	150	3742		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13172212/SRR13172212	SRX9610557	16	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0	0	BGISEQ	BGISEQ-500	SRP295283	PRJNA681292		681292	SRS7813632	SAMN16948802	simple	214697	Musa acuminata AAA Group	D141							no					GUANGDONG ACADEMY OF AGRICULTURAL SCIENCES	SRA1165603		public	18321FC95B8648CC07DABFFB8D3D6DC2	5882CEA6E1B0561922DE2546852089D6
SRR13172211	2020-12-01 10:13:46	2020-12-01 10:09:20	42937582	6440637300	0	150	3731		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13172211/SRR13172211	SRX9610558	17	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0	0	BGISEQ	BGISEQ-500	SRP295283	PRJNA681292		681292	SRS7813634	SAMN16948803	simple	214697	Musa acuminata AAA Group	D142							no					GUANGDONG ACADEMY OF AGRICULTURAL SCIENCES	SRA1165603		public	8B8F86F53D7AE4AF1D70C2B047478133	8B1906187D85C9F38156D93E3ED65E56
SRR13172210	2020-12-01 10:19:44	2020-12-01 10:12:39	43091160	6463674000	0	150	3751		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13172210/SRR13172210	SRX9610559	18	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0	0	BGISEQ	BGISEQ-500	SRP295283	PRJNA681292		681292	SRS7813635	SAMN16948804	simple	214697	Musa acuminata AAA Group	D143							no					GUANGDONG ACADEMY OF AGRICULTURAL SCIENCES	SRA1165603		public	FDFDBC92480B9387A2A4E2CFEA18763F	78CE7F61CCCA75ECE66069ACE4835B61
SRR14086627	2021-03-29 12:23:28	2021-03-27 10:44:46	22263066	6723445932	0	302	2133		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14086627/SRR14086627	SRX10460839	NM_1	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP312420	PRJNA717213		717213	SRS8598591	SAMN18498605	simple	214697	Musa acuminata AAA Group	LM_I_3							no					HAINAN UNIVERSITY	SRA1211329		public	707642D6DA7BE90603A0A58E85A248C3	230A8DB217B2A2A9A927CF8694E470DC
SRR14086628	2021-03-29 12:27:18	2021-03-27 10:25:05	26191422	7909809444	0	302	2374		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14086628/SRR14086628	SRX10460838	LM_I_3	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP312420	PRJNA717213		717213	SRS8598591	SAMN18498605	simple	214697	Musa acuminata AAA Group	LM_I_3							no					HAINAN UNIVERSITY	SRA1211329		public	C2846622119EB6362B972386F3D5ED25	EC94E4E409B00CDF3D08CF5FE86F7A92
SRR14086629	2021-03-29 12:27:18	2021-03-27 10:31:06	22497169	6794145038	0	302	2066		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14086629/SRR14086629	SRX10460837	LM_I_2	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP312420	PRJNA717213		717213	SRS8598591	SAMN18498605	simple	214697	Musa acuminata AAA Group	LM_I_3							no					HAINAN UNIVERSITY	SRA1211329		public	D4B53915E9BDB8B44CD5A98D413E7032	E29A47FC7BD81DFD006C0BC92CC4BF32
SRR14086630	2021-03-29 12:27:18	2021-03-27 10:32:40	27171599	8205822898	0	302	2462		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14086630/SRR14086630	SRX10460836	LM_I_1	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP312420	PRJNA717213		717213	SRS8598591	SAMN18498605	simple	214697	Musa acuminata AAA Group	LM_I_3							no					HAINAN UNIVERSITY	SRA1211329		public	9EF43EEBD84C96810578C8EE903BE2C3	2AD119110BAF69408B1BDECE18297759
SRR13172209	2020-12-01 10:20:12	2020-12-01 10:17:19	41867478	6280121700	0	150	3656		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13172209/SRR13172209	SRX9610560	3	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0	0	BGISEQ	BGISEQ-500	SRP295283	PRJNA681292		681292	SRS7813636	SAMN16948789	simple	214697	Musa acuminata AAA Group	c03							no					GUANGDONG ACADEMY OF AGRICULTURAL SCIENCES	SRA1165603		public	C88EA00C05C0475A9036CF2FE5E142EE	80BE13F2BA216B74AE87F903E0650335
SRR13172205	2020-12-01 10:24:54	2020-12-01 10:19:32	42607590	6391138500	0	150	3670		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13172205/SRR13172205	SRX9610564	7	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0	0	BGISEQ	BGISEQ-500	SRP295283	PRJNA681292		681292	SRS7813640	SAMN16948793	simple	214697	Musa acuminata AAA Group	c141							no					GUANGDONG ACADEMY OF AGRICULTURAL SCIENCES	SRA1165603		public	9F4FCF1C1F75506C4C7A52A32268527C	6140ECB7885A296CDAAE6C1A58926CA1
