Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR1206019	2015-07-22 17:10:43	2015-11-30 07:25:34	38032087	5476620528	38032087	144	3053		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/206/SRR1206019.sralite.1	SRX501830	MB	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	72	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP040610	PRJNA242708		242708	SRS582878	SAMN02700186	simple	52838	Musa balbisiana	Musa balbisiana							no					INDIAN INSTITUTE OF HORTICULTURAL RESEARCH	SRA148823		public	6EAFB3248EF93523177D09865BA6B764	B3622C22F5C1B72F79DEC03CCF07D9B2
SRR1388784	2015-06-11 00:00:00	2014-06-13 06:04:56	4598181	519874548	0	113	407		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/1388/SRR1388784/SRR1388784.lite.1	SRX594867	leaf	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ION_TORRENT	Ion Torrent PGM	SRP043176	PRJNA252545		252545	SRS636216	SAMN02851304	simple	52838	Musa balbisiana	NRCB102							no					NRCB	SRA169951		public	ECFFE782A03E06D4E0B43D2B550E5EC2	04FCA6120A5475EF57438ED21F5322BC
SRR1662213	2014-11-30 00:00:00	2014-11-26 05:08:33	4598181	519874548	0	113	403		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/1662/SRR1662213/SRR1662213.lite.1	SRX767394		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ION_TORRENT	Ion Torrent PGM	SRP050239	PRJNA268404		268404	SRS752018	SAMN03219952	simple	52838	Musa balbisiana	NRCB2029							no					NATIONAL RESEARCH CENTER FOR BANANA	SRA204438		public	7D1CDEE98A4CD7E03B4F7162C12A3B0A	04FCA6120A5475EF57438ED21F5322BC
SRR3938649	2016-07-26 09:57:34	2016-07-21 09:55:26	18268879	3653775800	18268879	200	2438		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/938/SRR3938649.sralite.1	SRX1967898	BB1	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP079155	PRJNA326055		326055	SRS1577260	SAMN05277443	simple	52838	Musa balbisiana	BB1							no					INRA	SRA442822		public	6CC9651318AE644507859E67FFCF3CF3	E5ED3BD7C8743CE0CD839D758D800F6B
SRR5997735	2018-09-01 00:05:55	2017-09-01 01:03:56	20788236	4199223672	20788236	202	1718		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/997/SRR5997735.sralite.1	SRX3153220	M12-1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP116676	PRJNA401071		401071	SRS2485069	SAMN07594077	simple	52838	Musa balbisiana	M12-1_Musa balbisiana mock inoculated with water at 12 hpi, rep 1							no					NEW YORK UNIVERSITY	SRA604765		public	85D0D5DC261BDDA75B2F9140A06D6C72	5FCD29B5854970902DEE50FD616E7B67
SRR5997734	2018-09-01 00:05:55	2017-09-01 01:11:39	21890980	4421977960	21890980	202	1747		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/997/SRR5997734.sralite.1	SRX3153221	M12-2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP116676	PRJNA401071		401071	SRS2485071	SAMN07594078	simple	52838	Musa balbisiana	M12-2_Musa balbisiana mock inoculated with water at 12 hpi, rep 2							no					NEW YORK UNIVERSITY	SRA604765		public	D09275D2CA48CFFA4E15E0922B4838DB	7B77266BE9BBF0D63B4D50B6C9483704
SRR5997733	2018-09-01 00:05:55	2017-09-01 01:01:45	18952035	3828311070	18952035	202	1574		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/997/SRR5997733.sralite.1	SRX3153222	M12-3	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP116676	PRJNA401071		401071	SRS2485070	SAMN07594079	simple	52838	Musa balbisiana	M12-3_Musa balbisiana mock inoculated with water at 12 hpi, rep 3							no					NEW YORK UNIVERSITY	SRA604765		public	1A30C92D34A140A1436799AAFDCAEF5F	80C590A934E3D278574A5C74322C058E
SRR5997728	2018-09-01 00:05:55	2017-09-01 01:08:17	15396687	3110130774	15396687	202	1234		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/997/SRR5997728.sralite.1	SRX3153227	M48-1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP116676	PRJNA401071		401071	SRS2485076	SAMN07594089	simple	52838	Musa balbisiana	M48-1_Musa balbisiana mock inoculated with water at 48 hpi, rep 1							no					NEW YORK UNIVERSITY	SRA604765		public	3969AB2F709AFE044801295FE17A3073	280E3F5B3433D7F24C476A8E0FBACDAC
SRR5997727	2018-09-01 00:05:55	2017-09-01 01:03:06	22381281	4521018762	22381281	202	1836		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/997/SRR5997727.sralite.1	SRX3153228	M48-2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP116676	PRJNA401071		401071	SRS2485077	SAMN07594090	simple	52838	Musa balbisiana	M48-2_Musa balbisiana mock inoculated with water at 48 hpi, rep 2							no					NEW YORK UNIVERSITY	SRA604765		public	BF526C80A77F0D1FA31FD6FBF68447F0	89293DAC920A9398EC6F8A96CECAF9E4
SRR5997719	2018-09-01 00:05:56	2017-09-01 00:59:23	11989871	2421953942	11989871	202	1053		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/997/SRR5997719.sralite.1	SRX3153236	M48-3	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP116676	PRJNA401071		401071	SRS2485085	SAMN07594091	simple	52838	Musa balbisiana	M48-3_Musa balbisiana mock inoculated with water at 48 hpi, rep 3							no					NEW YORK UNIVERSITY	SRA604765		public	989F886CCAA22E927FD2180AB9AC0606	D0EC5E9C4604FC54BE8CA933030124F6
