Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR13933603	2021-03-12 17:49:31	2021-03-11 08:54:30	8314379	2510942458	8314379	302	1017		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13933/SRR13933603/SRR13933603.lite.1	SRX10312954		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP310235	PRJNA713559	3	713559	SRS8433469	SAMN18256841	simple	9669	Mustela putorius furo	GSM5159062	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA1205375	NA	public	64019205AE7BC1DAA91461F88DE38CFB	B6436675BDF09D1CFF7DF58D7125040F
SRR13933604	2021-03-12 17:49:31	2021-03-11 08:52:38	5802716	1752420232	5802716	302	706		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR013/13933/SRR13933604/SRR13933604.lite.1	SRX10312955		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP310235	PRJNA713559	3	713559	SRS8433470	SAMN18256842	simple	9669	Mustela putorius furo	GSM5159063	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA1205375	NA	public	7DCED68A4A6891B23D9E6562129F7D2B	D9EC988DCE458114FD5B23704B626F28
SRR14204034	2021-04-11 20:23:32	2021-04-11 00:55:09	40134333	5097060291	0	127	1647		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14204/SRR14204034/SRR14204034.lite.1	SRX10570946		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP314306	PRJNA721085	3	721085	SRS8677040	SAMN18699282	simple	9669	Mustela putorius furo	GSM5235392	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA1217270	NA	public	183B7650CFD815EFF7F9EF3708FE1B4F	679D42DFC96801207DFD93456F0951F2
SRR14204035	2021-04-11 20:23:32	2021-04-11 00:33:43	39588756	5027772012	0	127	1600		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14204/SRR14204035/SRR14204035.lite.1	SRX10570946		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP314306	PRJNA721085	3	721085	SRS8677040	SAMN18699282	simple	9669	Mustela putorius furo	GSM5235392	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA1217270	NA	public	C225E119149CC808B6CEAAE2E18A5E3B	5F548C93458FF39B81F82CB60D0511DB
SRR14204036	2021-04-11 20:23:32	2021-04-11 01:04:40	38846259	4933474893	0	127	1589		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14204/SRR14204036/SRR14204036.lite.1	SRX10570946		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP314306	PRJNA721085	3	721085	SRS8677040	SAMN18699282	simple	9669	Mustela putorius furo	GSM5235392	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA1217270	NA	public	5F4B4E5C5E52ACC246B73999579D72AD	80F5CAA4E8979F7ECC8147EB567262C8
SRR14204037	2021-04-11 20:23:32	2021-04-11 01:02:23	39276730	4988144710	0	127	1592		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14204/SRR14204037/SRR14204037.lite.1	SRX10570946		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP314306	PRJNA721085	3	721085	SRS8677040	SAMN18699282	simple	9669	Mustela putorius furo	GSM5235392	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA1217270	NA	public	5EBCFA5B20F9E66C7D37C562248EEADA	162EEE7ADA4895FC879BF92FE281804F
SRR14204038	2021-04-11 20:23:32	2021-04-11 00:38:51	39541037	5021711699	0	127	1610		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14204/SRR14204038/SRR14204038.lite.1	SRX10570946		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP314306	PRJNA721085	3	721085	SRS8677040	SAMN18699282	simple	9669	Mustela putorius furo	GSM5235392	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA1217270	NA	public	47E85F69842E66D917F3366F4EA41549	4855F1724325ABD6F1FBECC4021D1482
SRR14204039	2021-04-11 20:23:32	2021-04-11 00:22:40	40087498	5091112246	0	127	1621		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14204/SRR14204039/SRR14204039.lite.1	SRX10570946		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP314306	PRJNA721085	3	721085	SRS8677040	SAMN18699282	simple	9669	Mustela putorius furo	GSM5235392	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA1217270	NA	public	082D8AF8D452763DEE6DEA8FF184FDE5	651FED01F052C2A9CA8CE893B59F27E2
SRR14204040	2021-04-11 20:23:32	2021-04-11 00:50:44	39342349	4996478323	0	127	1611		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14204/SRR14204040/SRR14204040.lite.1	SRX10570946		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP314306	PRJNA721085	3	721085	SRS8677040	SAMN18699282	simple	9669	Mustela putorius furo	GSM5235392	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA1217270	NA	public	6C0A1DD393D0553971100FC614E2BD6B	6B11818232C5D13764A2FD7E2720DE8D
SRR14204041	2021-04-11 20:23:32	2021-04-11 01:46:32	39730507	5045774389	0	127	1611		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14204/SRR14204041/SRR14204041.lite.1	SRX10570946		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP314306	PRJNA721085	3	721085	SRS8677040	SAMN18699282	simple	9669	Mustela putorius furo	GSM5235392	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA1217270	NA	public	369D105DA3B852E8031EF738CFE7F784	CFADD744C452A634005A90D70FA6FC64
