Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR1560361	2015-02-02 15:10:55	2014-08-27 18:06:57	25979722	5195944400	25979722	200	3374	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/560/SRR1560361/SRR1560361.sralite.1	SRX687786	Mya_arenaria	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	300	30	ILLUMINA	Illumina HiSeq 2000	SRP045796	PRJNA242872	2	242872	SRS690452	SAMN03009451	simple	6604	Mya arenaria	Mya_arenaria	NA	NA	NA	NA	not determined	NA	no	NA	NA	NA	NA	HARVARD UNIVERSITY	SRA180370	NA	public	830D0C38193A7C144B34F12C0366AA27	D0CE493653D9624ECBBD1646F041B159
SRR3544826	2017-04-28 00:00:57	2016-05-19 11:51:16	10732914	3219874200	10732914	300	1759	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/544/SRR3544826.sralite.1	SRX1818939	fast grow 1	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	200	0	ILLUMINA	Illumina HiSeq 2000	SRP074128	PRJNA221373	NA	221373	SRS1482820	SAMN02361215	simple	6604	Mya arenaria	fast_grow1	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	U. MAINE MACHIAS	SRA421010	NA	public	010124AF831C20D7F8CAFA95FE0CD910	2960BB63D9F4B0B586961091C67B76A4
SRR3544827	2017-04-28 00:00:58	2016-05-19 11:52:06	12932399	3879719700	12932399	300	2087	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/544/SRR3544827.sralite.1	SRX1818940	fast grow 2	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	200	0	ILLUMINA	Illumina HiSeq 2000	SRP074128	PRJNA221373	NA	221373	SRS1482820	SAMN02361215	simple	6604	Mya arenaria	fast_grow1	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	U. MAINE MACHIAS	SRA421010	NA	public	84AF989E386EA82C7C424EE299D084DF	520589EDD01F4F681D4BC673B4DAB5CA
SRR3465649	2017-04-28 00:00:48	2016-06-03 12:05:10	12635244	3790573200	12635244	300	2048	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/465/SRR3465649/SRR3465649.sralite.1	SRX1735521	WT1	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	200	0	ILLUMINA	Illumina HiSeq 2000	SRP074128	PRJNA221373	NA	221373	SRS1416572	SAMN02361211	simple	6604	Mya arenaria	wild_type1	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	U. MAINE MACHIAS	SRA421010	NA	public	1F52A2584B136F9C510597B1273C8A1F	2151F085BD5877C3D30D6355830830EA
SRR3544823	2017-04-28 00:00:57	2016-05-19 12:52:15	11874864	3562459200	11874864	300	1919	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/544/SRR3544823.sralite.1	SRX1818938	WT2	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	200	0	ILLUMINA	Illumina HiSeq 2000	SRP074128	PRJNA221373	NA	221373	SRS1416572	SAMN02361211	simple	6604	Mya arenaria	wild_type1	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	U. MAINE MACHIAS	SRA421010	NA	public	A021741B13A74D36193CF50E13B4CDF4	8365776EC03D39C68B49165FA9EBA077
SRR14135100	2021-06-30 00:29:49	2023-01-07 00:47:54	57917728	6955459960	0	120	2819	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR014/14135/SRR14135100/SRR14135100.lite.2	SRX10504967	G6	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP313238	PRJNA719382	3	719382	SRS8629423	SAMN18604476	simple	6604	Mya arenaria	Mya arenaria	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY OF MASSACHUSETTS BOSTON	SRA1214702	NA	public	36447061F603CDD03F299A98E5559CF6	29A056700DA43823DBBDE93FA2A6F393
SRR14135099	2021-06-30 00:29:49	2023-01-07 00:33:46	24382697	2839208695	0	116	1157	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR014/14135/SRR14135099/SRR14135099.lite.2	SRX10504968	G7	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP313238	PRJNA719382	3	719382	SRS8629421	SAMN18604477	simple	6604	Mya arenaria	Mya arenaria hemocytes	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY OF MASSACHUSETTS BOSTON	SRA1214702	NA	public	A39AA5B1DD90579291EA04A724F514CD	57ECB9DBCE3B884D02236DDA7D967788
SRR22741481	2022-12-15 14:24:58	2022-12-14 19:01:36	78854137	23656241100	78854137	300	7029	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR022/22741/SRR22741481/SRR22741481.lite.1	SRX18702846	MELC-2E11_foot_RNA	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP394741	PRJNA874712	NA	874712	SRS16143921	SAMN32235220	simple	6604	Mya arenaria	MELC-2E11_foot_RNA	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	PACIFIC NORTHWEST RESEARCH INSTITUTE	SRA1559431	NA	public	144F21F8DD0250F1C076C62906FF3C12	76A385B5DEA1FEFF3E7BE10F481D4E55
SRR22741478	2022-12-15 14:24:58	2022-12-14 19:19:30	78746537	23623961100	78746537	300	7027	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR022/22741/SRR22741478/SRR22741478.lite.1	SRX18702849	MELC-2E11_gills_RNA	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP394741	PRJNA874712	NA	874712	SRS16143924	SAMN32235223	simple	6604	Mya arenaria	MELC-2E11_gills_RNA	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	PACIFIC NORTHWEST RESEARCH INSTITUTE	SRA1559431	NA	public	B3F3D85BAF6B71382BED4BF5E9CADE2F	19310A03DF1824980EF228575C0E5568
SRR22741477	2022-12-15 14:24:58	2022-12-14 19:01:15	77621485	23286445500	77621485	300	6925	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR022/22741/SRR22741477/SRR22741477.lite.1	SRX18702850	MELC-2E11_hemocyte_RNA	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP394741	PRJNA874712	NA	874712	SRS16143925	SAMN32235224	simple	6604	Mya arenaria	MELC-2E11_hemocyte_RNA	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	PACIFIC NORTHWEST RESEARCH INSTITUTE	SRA1559431	NA	public	2915E9A53A724665A29CD36B1D15DB23	907F833BD880EC7614900D6C9CBD49D6
