Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR617081	2015-07-22 17:03:01	2015-12-22 19:45:53	37724741	6790453380	37724741	180	4367	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR617/081/SRR617081.sralite.1	SRX204567	NA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP017183	NA	NA	0	SRS375530	SAMN01814385	simple	109478	Myotis brandtii	GSM1037374	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA061600	NA	public	340FE0A5C43AA91FC01D39F7E437C6F9	BC81A0DF242DE3FE6059F2A5BDFBF8FD
SRR617082	2015-07-22 17:03:01	2015-12-22 20:02:00	39074790	7033462200	39074790	180	4531	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/617/SRR617082.sralite.1	SRX204568	NA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP017183	NA	NA	0	SRS375531	SAMN01814386	simple	109478	Myotis brandtii	GSM1037375	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA061600	NA	public	C2D9EEF37FBB5DA0A6135EA543E474BA	2BE1729C9F0A8268546F090CC8D51D87
SRR617083	2015-07-22 17:03:01	2015-12-22 19:52:05	38016067	6842892060	38016067	180	4429	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/617/SRR617083.sralite.1	SRX204569	NA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP017183	NA	NA	0	SRS375532	SAMN01814387	simple	109478	Myotis brandtii	GSM1037376	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA061600	NA	public	14487BC34B6269A7D1167BC76292C918	73BA260937D0C5CEF6714EC7192493EE
SRR617084	2015-07-22 17:03:01	2015-12-22 20:01:29	42139345	7585082100	42139345	180	4867	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR617/084/SRR617084.sralite.1	SRX204570	NA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP017183	NA	NA	0	SRS375533	SAMN01814388	simple	109478	Myotis brandtii	GSM1037377	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA061600	NA	public	49CEBCF33A1B07F472B3C0531BAEDC74	2FF689315A4FAA03426FAA4CD7D64768
SRR617085	2015-07-22 17:03:01	2015-12-22 20:02:06	38994288	7018971840	38994288	180	4500	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/617/SRR617085.sralite.1	SRX204571	NA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP017183	NA	NA	0	SRS375534	SAMN01814389	simple	109478	Myotis brandtii	GSM1037378	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA061600	NA	public	229E5FEAD2BB23037F9C8515D85E7727	9440B272713136D49ECE645D451F0CE0
SRR617086	2015-07-22 17:03:02	2015-12-08 09:25:35	40336152	7260507360	40336152	180	4669	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/617/SRR617086.sralite.1	SRX204572	NA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP017183	NA	NA	0	SRS375535	SAMN01814390	simple	109478	Myotis brandtii	GSM1037379	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA061600	NA	public	5B4A6C9BC22AE1DAC583F14456746162	4245D8BE03EB0C1219D2EBA40EF7AFC0
SRR617087	2015-07-22 17:03:01	2015-12-22 20:02:24	33558129	6040463220	33558129	180	4151	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/617/SRR617087.sralite.1	SRX204573	NA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP017183	NA	NA	0	SRS375536	SAMN01814391	simple	109478	Myotis brandtii	GSM1037380	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA061600	NA	public	DB4CEC854282B5AA5928B8B153DA8DD5	5AFCC78CCAA3DAEEC9D1AE83A3E7B9F8
SRR617088	2015-07-22 17:03:01	2015-12-22 20:11:48	39755710	7156027800	39755710	180	4899	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR000/617/SRR617088.sralite.1	SRX204574	NA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP017183	NA	NA	0	SRS375537	SAMN01814392	simple	109478	Myotis brandtii	GSM1037381	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA061600	NA	public	7C2EF21694637A1BAF3B89FFE6C18548	87242F612CE8B2BA86544CBF9E7C10FF
SRR617089	2015-07-22 17:03:01	2015-12-22 20:13:48	40961075	7372993500	40961075	180	5050	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/617/SRR617089.sralite.1	SRX204575	NA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP017183	NA	NA	0	SRS375538	SAMN01814393	simple	109478	Myotis brandtii	GSM1037382	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA061600	NA	public	8B987BA02212C17475E44D7D14E288BC	1C23CDF81FF408E1783D29C5F1759D85
SRR617090	2015-07-22 17:03:01	2015-12-22 20:35:05	41964433	7553597940	41964433	180	5168	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR000/617/SRR617090.sralite.1	SRX204576	NA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP017183	NA	NA	0	SRS375539	SAMN01814394	simple	109478	Myotis brandtii	GSM1037383	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA061600	NA	public	329CB4FA7767F4EED79F4F51F62762F4	0E34BC2F1DAB3EA862F4958CE6C5CC74
