Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
ERR2012477	2017-11-28 10:37:35	2017-12-12 13:01:19	0	0	0	0	3146	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR002/012/ERR2012477/ERR2012477.lite.1	ERX2072149	unspecified	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	SINGLE	0	0	ION_TORRENT	Ion Torrent Proton	ERP023572	PRJEB21332	NA	420241	ERS1793540	SAMEA104129647	simple	59463	Myotis lucifugus	SAMEA104129647	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	MRC-UNIVERSITY OF GLASGOW CENTRE FOR VIRUS RESEARC	ERA962485	NA	public	2D1D7E49412529F54926E80B5DEF5912	D563E0FBD8E4277B6C0567744042FC29
SRR6793300	2018-12-31 00:25:24	2018-02-28 18:35:48	51633628	13011674256	51633628	252	5804	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/793/SRR6793300.sralite.1	SRX3752320	COINF1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP133692	PRJNA436404	3	436404	SRS3008471	SAMN08624151	simple	59463	Myotis lucifugus	COINF1	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	TRENT UNIVERSITY	SRA662984	NA	public	019D583AD6081FCE84BEDDC34B54A303	B6E8F8B5BB60C9F149537C5A3DBA355A
SRR6793299	2018-12-31 00:25:24	2018-02-28 17:51:18	48023343	12101882436	48023343	252	5454	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/793/SRR6793299.sralite.1	SRX3752321	PD3	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP133692	PRJNA436404	3	436404	SRS3008472	SAMN08624150	simple	59463	Myotis lucifugus	PD3	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	TRENT UNIVERSITY	SRA662984	NA	public	FA556C256E43A04689189AC9EE130E50	1A90A22FE7E80792F972E0FE588E5B27
SRR6793298	2018-12-31 00:25:24	2018-02-28 18:11:30	52562402	13245725304	52562402	252	5836	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/793/SRR6793298.sralite.1	SRX3752322	PD2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP133692	PRJNA436404	3	436404	SRS3008473	SAMN08624149	simple	59463	Myotis lucifugus	PD2	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	TRENT UNIVERSITY	SRA662984	NA	public	40A31643E7187E758FD628CCEAC65E32	A8B48D3F0C1B3C9EB6FBF6512EF405CA
SRR6793297	2018-12-31 00:25:24	2018-02-28 18:04:26	51174744	12896035488	51174744	252	5759	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/793/SRR6793297.sralite.1	SRX3752323	NEG4	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP133692	PRJNA436404	3	436404	SRS3008474	SAMN08624142	simple	59463	Myotis lucifugus	NEG4	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	TRENT UNIVERSITY	SRA662984	NA	public	C314FF29C2DFC017DB054434BAFBB7A6	176A3A1262BBC2FF58C66BA5F5B777A3
SRR6793296	2018-12-31 00:25:24	2018-02-28 18:32:54	50844908	12812916816	50844908	252	5947	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/793/SRR6793296.sralite.1	SRX3752324	NEG3	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP133692	PRJNA436404	3	436404	SRS3008475	SAMN08624141	simple	59463	Myotis lucifugus	NEG3	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	TRENT UNIVERSITY	SRA662984	NA	public	F1E410289481F8D1CF6E196B71666619	611F779BE1D2F50658C24B8BCEBF6DF4
SRR6793295	2018-12-31 00:25:24	2018-02-28 17:56:52	51356705	12941889660	51356705	252	5764	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/793/SRR6793295.sralite.1	SRX3752325	NEG2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP133692	PRJNA436404	3	436404	SRS3008476	SAMN08624140	simple	59463	Myotis lucifugus	NEG2	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	TRENT UNIVERSITY	SRA662984	NA	public	8D67A4712DD909AC366F4727E181DB42	07757D8008B507D90CE7251C9E0F2DAC
SRR6793294	2018-12-31 00:25:24	2018-02-28 18:06:51	53982741	13603650732	53982741	252	6245	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/793/SRR6793294.sralite.1	SRX3752326	NEG1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP133692	PRJNA436404	3	436404	SRS3008477	SAMN08624139	simple	59463	Myotis lucifugus	NEG1	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	TRENT UNIVERSITY	SRA662984	NA	public	98D691D58907B87969B52CFF4FA10C1D	C1B9637FEB0D863E89AEA286D39A55BD
SRR6793293	2018-12-31 00:25:24	2018-02-28 17:59:09	52543565	13240978380	52543565	252	5873	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/793/SRR6793293.sralite.1	SRX3752327	COINF3	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP133692	PRJNA436404	3	436404	SRS3008478	SAMN08624153	simple	59463	Myotis lucifugus	COINF3	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	TRENT UNIVERSITY	SRA662984	NA	public	E1307D4F55ED2EE724569711DD45953C	3C1827E0EA8057A4708E8152E1957D80
SRR6793291	2018-12-31 00:25:24	2018-02-28 18:56:02	50452159	12713944068	50452159	252	5641	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/793/SRR6793291.sralite.1	SRX3752329	PD1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP133692	PRJNA436404	3	436404	SRS3008480	SAMN08624148	simple	59463	Myotis lucifugus	PD1	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	TRENT UNIVERSITY	SRA662984	NA	public	B4206E110B9DF34E9A4CB9DB3CBC357E	AFC280E603D1585B2505E1BD185AD103
