Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR12103590	2020-07-16 10:39:35	2020-06-28 19:25:22	57600266	14400066500	57600266	250	5132		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12103590/SRR12103590	SRX8627814	AJCC-11	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP194222	PRJNA503704	3	503704	SRS6916119	SAMN15395314	simple	51298	Myotis myotis	AJCC-11					female		no					UNIVERSITY COLLEGE DUBLIN	SRA1091987		public	A3DCFD174607292A1EFF114445E10815	76B327C20C5E0C64D8C68D56C5FCD0EA
SRR12103589	2020-07-16 10:39:35	2020-06-28 19:26:05	75867273	18966818250	75867273	250	6743		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12103589/SRR12103589	SRX8627815	AJCC-13	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP194222	PRJNA503704	3	503704	SRS6916120	SAMN15395315	simple	51298	Myotis myotis	AJCC-13					female		no					UNIVERSITY COLLEGE DUBLIN	SRA1091987		public	BECED94E1A617DF61D2278E79A7056DE	5AA8B7CB9C06E6193D0A4C5A70FE1B6F
SRR12103588	2020-07-16 10:39:35	2020-06-28 19:28:50	61537380	15384345000	61537380	250	5845		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12103588/SRR12103588	SRX8627816	AJCC-17	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP194222	PRJNA503704	3	503704	SRS6916121	SAMN15395316	simple	51298	Myotis myotis	AJCC-17					female		no					UNIVERSITY COLLEGE DUBLIN	SRA1091987		public	82A10868F39F71E957E98B69655DD87E	CA3E615EA0919867BDC5088603F30A90
SRR12103587	2020-07-16 10:39:35	2020-06-28 19:47:02	66857830	16714457500	66857830	250	6294		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12103587/SRR12103587	SRX8627817	AJCC-18	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP194222	PRJNA503704	3	503704	SRS6916122	SAMN15395317	simple	51298	Myotis myotis	AJCC-18					female		no					UNIVERSITY COLLEGE DUBLIN	SRA1091987		public	77169B60F565BDC0309016FA130C1821	3475390F665307CACC656E2A15302546
SRR12103586	2020-07-16 10:39:35	2020-06-28 19:29:08	60840476	15210119000	60840476	250	5675		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12103586/SRR12103586	SRX8627818	AJCC-22	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP194222	PRJNA503704	3	503704	SRS6916123	SAMN15395318	simple	51298	Myotis myotis	AJCC-22					female		no					UNIVERSITY COLLEGE DUBLIN	SRA1091987		public	1E3F86E9180D0A514D02A843A96D9357	06196A0200168C6195F56EB3E2ABEE64
SRR12103585	2020-07-16 10:39:35	2020-06-28 19:40:30	69521460	17380365000	69521460	250	6359		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12103585/SRR12103585	SRX8627819	AJCC-27	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP194222	PRJNA503704	3	503704	SRS6916124	SAMN15395319	simple	51298	Myotis myotis	AJCC-27					female		no					UNIVERSITY COLLEGE DUBLIN	SRA1091987		public	EE31184E2F9CC547A51972A40E5A075A	19F9B31DA082982A4E25F27F1921AA8A
SRR12103592	2020-07-16 10:39:35	2020-06-28 19:32:14	69608563	17402140750	69608563	250	6383		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12103592/SRR12103592	SRX8627812	AJCC-7	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP194222	PRJNA503704	3	503704	SRS6916117	SAMN15395312	simple	51298	Myotis myotis	AJCC-7					female		no					UNIVERSITY COLLEGE DUBLIN	SRA1091987		public	BB5B113D6000FF4037DAC74B35447E68	096E2B5316591BF15C68093A1778209D
SRR12103591	2020-07-16 10:39:35	2020-06-28 19:23:41	56347739	14086934750	56347739	250	5132		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12103591/SRR12103591	SRX8627813	AJCC-9	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP194222	PRJNA503704	3	503704	SRS6916118	SAMN15395313	simple	51298	Myotis myotis	AJCC-9					female		no					UNIVERSITY COLLEGE DUBLIN	SRA1091987		public	9361575AB949E10B6BB8D5526818CD73	CA205B6EB8C96ADF3FBB84D10BA34570
SRR10083349	2019-09-08 07:34:12	2019-09-08 07:18:32	28020461	8093328891	28020461	288	3122		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10083349/SRR10083349	SRX6816347	Mymy02_UVpos	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP220898	PRJNA564421		564421	SRS5360089	SAMN12712251	simple	51298	Myotis myotis	Mymy02_UVpos					male		no					BUCKNELL UNIVERSITY	SRA958149		public	0A3406BF5FF9AC644DC8CF39BD7A2A66	F387F330B9D619BE51CDE93DD649913A
SRR10083348	2019-09-08 07:34:12	2019-09-08 07:17:32	28040967	8046544996	28040967	286	3114		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10083348/SRR10083348	SRX6816348	Mymy09_UVneg	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP220898	PRJNA564421		564421	SRS5360090	SAMN12712252	simple	51298	Myotis myotis	Mymy09_UVneg					male		no					BUCKNELL UNIVERSITY	SRA958149		public	590D0A0D66DCBAD57B96B139271FF67A	CB897753FAC489B243B04CC81DE01A9D
