Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR8754982	2019-11-15 17:24:11	2019-03-21 14:54:42	49959787	9924746514	49959787	198	1605	assembly	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8754982/SRR8754982	SRX5545697	LIB1825346	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP188892	PRJNA527614	3	527614	SRS4511342	SAMN11168471	simple	35670	Naja naja	LIB1825346	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	GENENTECH INC.,	SRA862364	NA	public	D09D05FAC83CAA352105421C6918F88D	120937FD78CB46252F9638AE90239BA1
SRR8754983	2019-11-15 17:24:11	2019-03-21 15:21:25	85360462	16662213188	85360462	195	3233	assembly	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8754983/SRR8754983	SRX5545696	LIB1825347	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP188892	PRJNA527614	3	527614	SRS4511341	SAMN11168472	simple	35670	Naja naja	LIB1825347	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	GENENTECH INC.,	SRA862364	NA	public	6E5AE13E31709E5E353B531EC8E43DE3	D85DB109CF2DE6C6D802F3F41CDA23F1
SRR8754985	2019-11-15 17:24:11	2019-03-21 15:13:55	94213483	18507637430	94213483	196	2992	assembly	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8754985/SRR8754985	SRX5545694	LIB1825348	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP188892	PRJNA527614	3	527614	SRS4511339	SAMN11168473	simple	35670	Naja naja	LIB1825348	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	GENENTECH INC.,	SRA862364	NA	public	D2105978BF709CFF9380367FE86008FF	4862AD56AA12DA86DDD505D8553315EA
SRR8754984	2019-11-15 17:24:11	2019-03-21 14:55:21	54924892	10854284494	54924892	197	2034	assembly	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8754984/SRR8754984	SRX5545695	LIB1825349	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP188892	PRJNA527614	3	527614	SRS4511340	SAMN11168474	simple	35670	Naja naja	LIB1825349	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	GENENTECH INC.,	SRA862364	NA	public	904C6D05FE48CD1607F7AFC02079D708	C4EA3C7A083F5A93B35DA54DCEBDDD14
SRR8754987	2019-11-15 17:24:11	2019-03-21 15:12:26	104780339	20504509962	104780339	195	3409	assembly	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8754987/SRR8754987	SRX5545692	LIB1825350	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP188892	PRJNA527614	3	527614	SRS4511337	SAMN11168475	simple	35670	Naja naja	LIB1825350	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	GENENTECH INC.,	SRA862364	NA	public	61FC5F125F713642189C452756B3FA8C	8558253E6C53F0EC6096841479AB4F3D
SRR8754986	2019-11-15 17:24:11	2019-03-21 16:15:51	131692032	25834339500	131692032	196	4624	assembly	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8754986/SRR8754986	SRX5545693	LIB1825351	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP188892	PRJNA527614	3	527614	SRS4511338	SAMN11168476	simple	35670	Naja naja	LIB1825351	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	GENENTECH INC.,	SRA862364	NA	public	4DD06D9475AB9E63626CD0A651A1D04B	708BCCC69A4392DECF418BCDF268BBD0
SRR8754989	2019-11-15 17:24:11	2019-03-21 15:52:28	87523268	17221459936	87523268	196	2994	assembly	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8754989/SRR8754989	SRX5545690	LIB1825354	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP188892	PRJNA527614	3	527614	SRS4511335	SAMN11168477	simple	35670	Naja naja	LIB1825354	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	GENENTECH INC.,	SRA862364	NA	public	4A3122067AA04D4844CD307C0A6FC8A2	94334902CC44F90C56C27922F3F5B232
SRR8754964	2019-11-15 17:24:12	2019-03-21 15:04:52	109625682	5480400914	0	49	1210	assembly	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8754964/SRR8754964	SRX5545715	LIB3120519	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP188892	PRJNA527614	3	527614	SRS4511360	SAMN11168453	simple	35670	Naja naja	LIB3120519	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	GENENTECH INC.,	SRA862364	NA	public	E739B97B3B425BD1E051CCA5E1D7C437	D2F99EEA48BE6F0D634C6E29E9ACD329
SRR8754965	2019-11-15 17:24:12	2019-03-21 14:50:06	80258248	4011946831	0	49	912	assembly	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8754965/SRR8754965	SRX5545714	LIB3120520	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP188892	PRJNA527614	3	527614	SRS4511359	SAMN11168454	simple	35670	Naja naja	LIB3120520	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	GENENTECH INC.,	SRA862364	NA	public	1E659B46A3C58658B402CAD8CE981E55	B722A7427845286355C103CC0A7A8156
SRR8754966	2019-11-15 17:24:12	2019-03-21 14:51:10	75572604	3777813815	0	49	859	assembly	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/754/SRR8754966.sralite.1	SRX5545713	LIB3120521	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP188892	PRJNA527614	3	527614	SRS4511358	SAMN11168455	simple	35670	Naja naja	LIB3120521	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	GENENTECH INC.,	SRA862364	NA	public	B469F0564A6E79AAC4D625EC6035D4E6	73467B32713409C3CD437BB1F6A2C1DF
SRR8754967	2019-11-15 17:24:12	2019-03-21 14:45:42	43516571	2175351555	0	49	669	assembly	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/754/SRR8754967.sralite.1	SRX5545712	LIB3120522	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP188892	PRJNA527614	3	527614	SRS4511357	SAMN11168456	simple	35670	Naja naja	LIB3120522	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	GENENTECH INC.,	SRA862364	NA	public	6F691A69408118477D4CBF7DD671CBF1	D8601E699162C4C60F714DAA60CE3BA4
SRR8754968	2019-11-15 17:24:12	2019-03-21 14:45:57	52471590	2623144509	0	49	741	assembly	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/754/SRR8754968.sralite.1	SRX5545711	LIB3120525	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP188892	PRJNA527614	3	527614	SRS4511356	SAMN11168457	simple	35670	Naja naja	LIB3120525	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	GENENTECH INC.,	SRA862364	NA	public	2F5A20C57102EB70E4C7A12092D8FD3C	19453E4D086B87F09DCCC9E566ECF923
SRR8754969	2019-11-15 17:24:12	2019-03-21 14:47:33	48649054	2431928851	0	49	709	assembly	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8754969/SRR8754969	SRX5545710	LIB3120527	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP188892	PRJNA527614	3	527614	SRS4511355	SAMN11168458	simple	35670	Naja naja	LIB3120527	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	GENENTECH INC.,	SRA862364	NA	public	916351518CC9CD982CBA5DE1C22D4AFF	27E3FB4B714D16C44FC192BFF7B0C655
SRR8754970	2019-11-15 17:24:12	2019-03-21 14:48:22	62190245	3108876365	0	49	779	assembly	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8754970/SRR8754970	SRX5545709	LIB3120528	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP188892	PRJNA527614	3	527614	SRS4511354	SAMN11168459	simple	35670	Naja naja	LIB3120528	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	GENENTECH INC.,	SRA862364	NA	public	4A3340F6960C9A360963765FF518C888	9F80EC4D6802111A8BD43AFB1151D6C2
SRR8754971	2019-11-15 17:24:12	2019-03-21 14:44:47	33869949	1693079201	0	49	627	assembly	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/754/SRR8754971.sralite.1	SRX5545708	LIB3120531	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP188892	PRJNA527614	3	527614	SRS4511353	SAMN11168460	simple	35670	Naja naja	LIB3120531	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	GENENTECH INC.,	SRA862364	NA	public	44A946D25CCD64FCA6096EB8E3681387	6FFFCAAD891A5E255782BD913BE86132
SRR8754972	2019-11-15 17:24:12	2019-03-21 14:49:39	71145577	3556781744	0	49	872	assembly	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8754972/SRR8754972	SRX5545707	LIB3120533	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP188892	PRJNA527614	3	527614	SRS4511352	SAMN11168461	simple	35670	Naja naja	LIB3120533	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	GENENTECH INC.,	SRA862364	NA	public	1CFAB61B72853697CA8B825F731D427C	B0D34882C9D62E1BF2928078F97DC7BE
SRR8754973	2019-11-15 17:24:12	2019-03-21 14:52:19	77116007	3855121204	0	49	914	assembly	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8754973/SRR8754973	SRX5545706	LIB3120534	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP188892	PRJNA527614	3	527614	SRS4511351	SAMN11168462	simple	35670	Naja naja	LIB3120534	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	GENENTECH INC.,	SRA862364	NA	public	B0167D0EDC269E3F5E6C14E16C565C27	29D456D541ABCA4025AA2F0103342F7A
SRR8754978	2019-11-15 17:24:11	2019-03-21 14:50:50	70083994	3503072556	0	49	866	assembly	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/754/SRR8754978.sralite.1	SRX5545701	LIB3120536	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP188892	PRJNA527614	3	527614	SRS4511346	SAMN11168463	simple	35670	Naja naja	LIB3120536	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	GENENTECH INC.,	SRA862364	NA	public	B3EBD86F2AEB8CD795DB31B794E70FEA	96A42973F21360D902526460AA408BD1
SRR8754979	2019-11-15 17:24:11	2019-03-21 14:54:13	109785639	5487953394	0	49	1069	assembly	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8754979/SRR8754979	SRX5545700	LIB3120537	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP188892	PRJNA527614	3	527614	SRS4511345	SAMN11168464	simple	35670	Naja naja	LIB3120537	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	GENENTECH INC.,	SRA862364	NA	public	DFFA09420942B3FADE20BE8D040162E2	D4AC36E90887CDA314DEC220C398CFE2
