Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR6788731	2018-03-09 13:13:12	2018-02-27 18:43:07	27517097	8255129100	27517097	300	3536		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/788/SRR6788731.sralite.1	SRX3748013	3485_SB_11_1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP133616	PRJNA430433		430433	SRS3004411	SAMN08377058	simple	7425	Nasonia vitripennis	3485_SB_1					female		no					VANDERBILT UNIVERSITY	SRA662655		public	CB334195D031EF93762300F6AFF321A6	88B5EDB491A0A8FB2938C2285A71693F
SRR6788742	2018-03-09 13:13:12	2018-02-27 18:53:27	30807689	9242306700	30807689	300	3735		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/788/SRR6788742.sralite.1	SRX3748002	3485_SB_11_14	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP133616	PRJNA430433		430433	SRS3004401	SAMN08377071	simple	7425	Nasonia vitripennis	3485_SB_14					female		no					VANDERBILT UNIVERSITY	SRA662655		public	2305EC7CF863194F9CDE75F7828E44A9	CFD49896339BF78ED903F9E10F2CA71A
SRR6788737	2018-03-09 13:13:12	2018-02-27 18:47:46	29689983	8906994900	29689983	300	3631		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/788/SRR6788737.sralite.1	SRX3748007	3485_SB_11_15	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP133616	PRJNA430433		430433	SRS3004406	SAMN08377072	simple	7425	Nasonia vitripennis	3485_SB_15					female		no					VANDERBILT UNIVERSITY	SRA662655		public	A2CD2348E71305320A93804FD36B4EEE	8671836DA0A8061701A55E0F8BD0E40D
SRR6788736	2018-03-09 13:13:12	2018-02-27 18:47:43	34631056	10389316800	34631056	300	4187		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/788/SRR6788736.sralite.1	SRX3748008	3485_SB_11_16	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP133616	PRJNA430433		430433	SRS3004405	SAMN08377073	simple	7425	Nasonia vitripennis	3485_SB_16					female		no					VANDERBILT UNIVERSITY	SRA662655		public	2C6FC0345CB9232ED818A0F228ECF2BE	53F378E98A8C15B20462C67745DEC9A6
SRR6788739	2018-03-09 13:13:12	2018-02-27 18:49:46	32453788	9736136400	32453788	300	3978		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/788/SRR6788739.sralite.1	SRX3748005	3485_SB_11_17	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP133616	PRJNA430433		430433	SRS3004403	SAMN08377074	simple	7425	Nasonia vitripennis	3485_SB_17					female		no					VANDERBILT UNIVERSITY	SRA662655		public	3C42E75048CBF4F625E0EFF847E56007	85D0D0F30589030B8F2DEF5B75BF79C2
SRR6788730	2018-03-09 13:13:12	2018-02-27 18:46:48	29395954	8818786200	29395954	300	3585		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/788/SRR6788730.sralite.1	SRX3748014	3485_SB_11_2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP133616	PRJNA430433		430433	SRS3004412	SAMN08377059	simple	7425	Nasonia vitripennis	3485_SB_2					female		no					VANDERBILT UNIVERSITY	SRA662655		public	D4788E7F1109B62B69F6526EEA3C8DB0	7A4CD2B06767FB048B3D3FC4AB457E49
SRR6788729	2018-03-09 13:13:12	2018-02-27 18:43:14	26153714	7846114200	26153714	300	3157		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/788/SRR6788729.sralite.1	SRX3748015	3485_SB_11_3	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP133616	PRJNA430433		430433	SRS3004413	SAMN08377060	simple	7425	Nasonia vitripennis	3485_SB_3					female		no					VANDERBILT UNIVERSITY	SRA662655		public	7FDBAAFED4B2518B3F331DCB67E9A91D	BF8518E1992BF92C1A58915F210F31D9
SRR6788728	2018-03-09 13:13:12	2018-02-27 18:48:15	24252182	7275654600	24252182	300	2933		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/788/SRR6788728.sralite.1	SRX3748016	3485_SB_11_4	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP133616	PRJNA430433		430433	SRS3004414	SAMN08377061	simple	7425	Nasonia vitripennis	3485_SB_4					female		no					VANDERBILT UNIVERSITY	SRA662655		public	4C884E0B9D3AFD8EAD2D31B48AB32D65	A7EED8DC63F5B9B69A5458B260326468
SRR2748942	2015-11-12 10:31:10	2015-10-21 13:37:53	3466238	519935700	3466238	150	331		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/748/SRR2748942.sralite.1	SRX1361088		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP065200	PRJNA299590	2	299590	SRS1124700	SAMN04201496	simple	7425	Nasonia vitripennis	GSM1915243							no					GEO	SRA306386		public	350F248A7DE3A37D036CCB8B29A829D2	DA1FF316B4F90D96D7CB86576DE1611B
SRR2748943	2015-11-12 10:31:10	2015-10-21 13:38:02	3462029	519304350	3462029	150	331		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/748/SRR2748943.sralite.1	SRX1361088		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP065200	PRJNA299590	2	299590	SRS1124700	SAMN04201496	simple	7425	Nasonia vitripennis	GSM1915243							no					GEO	SRA306386		public	36286AAB60BA378B31798A994435C140	DD00ADBD6512CEBAAC5F6CABDA7D0950
