Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR10829970	2020-12-31 00:01:39	2020-01-06 10:29:57	27637119	8346409938	27637119	302	2509		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10829970/SRR10829970	SRX7503327	1_1	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP239532	PRJNA599093		599093	SRS5944495	SAMN13738792	simple	4432	Nelumbo nucifera	1_1							no					WUHAN UNIVERSITY	SRA1020258		public	AAB8CC1179FEF96532635F7460B1E412	7772446F2E38FF662793A274DC348D79
SRR10829969	2020-12-31 00:01:39	2020-01-06 10:32:39	31397711	9482108722	31397711	302	2848		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10829969/SRR10829969	SRX7503328	1_2	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP239532	PRJNA599093		599093	SRS5944496	SAMN13738793	simple	4432	Nelumbo nucifera	1_2							no					WUHAN UNIVERSITY	SRA1020258		public	5B2ACC7048B2C940F497650344BE4218	20CB039FFE34536C0D45C97EE7CD1215
SRR10829966	2020-12-31 00:01:39	2020-01-06 10:29:07	24224768	7315879936	24224768	302	2221		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10829966/SRR10829966	SRX7503331	1_3	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP239532	PRJNA599093		599093	SRS5944499	SAMN13738794	simple	4432	Nelumbo nucifera	1_3							no					WUHAN UNIVERSITY	SRA1020258		public	0B140661070EB867303DE0C814862803	88CBD6CEB686898C1050F0CBDF3AF40F
SRR10829965	2020-12-31 00:01:39	2020-01-06 10:29:31	26853414	8109731028	26853414	302	2399		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10829965/SRR10829965	SRX7503332	2_1	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP239532	PRJNA599093		599093	SRS5944500	SAMN13738795	simple	4432	Nelumbo nucifera	2_1							no					WUHAN UNIVERSITY	SRA1020258		public	40FE6FDA668237DFF9BB2B7ACCBC298F	477D788DB0F6842887E04AA3397A07B3
SRR10829964	2020-12-31 00:01:39	2020-01-06 10:30:20	27326728	8252671856	27326728	302	2503		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10829964/SRR10829964	SRX7503333	2_2	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP239532	PRJNA599093		599093	SRS5944501	SAMN13738796	simple	4432	Nelumbo nucifera	2_2							no					WUHAN UNIVERSITY	SRA1020258		public	3184FC263A39141BAC835DCB13F84901	EE209EA28FDB08490565AF731EC3095D
SRR10829963	2020-12-31 00:01:39	2020-01-06 10:29:58	26325472	7950292544	26325472	302	2360		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10829963/SRR10829963	SRX7503334	2_3	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP239532	PRJNA599093		599093	SRS5944502	SAMN13738797	simple	4432	Nelumbo nucifera	2_3							no					WUHAN UNIVERSITY	SRA1020258		public	D3D5516B8B1DA24B2F1909A8FFA1A40A	C10451F5E82883D654708D1CDCAEFD94
SRR10829962	2020-12-31 00:01:39	2020-01-06 10:31:50	30286135	9146412770	30286135	302	2711		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10829962/SRR10829962	SRX7503335	3_1	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP239532	PRJNA599093		599093	SRS5944503	SAMN13738798	simple	4432	Nelumbo nucifera	3_1							no					WUHAN UNIVERSITY	SRA1020258		public	8427A8C7C4A1C91366540618B278E0AD	99D54CB1C94A4B49C28191B40750A602
SRR10829961	2020-12-31 00:01:39	2020-01-06 10:29:21	27444448	8288223296	27444448	302	2463		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10829961/SRR10829961	SRX7503336	3_2	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP239532	PRJNA599093		599093	SRS5944504	SAMN13738799	simple	4432	Nelumbo nucifera	3_2							no					WUHAN UNIVERSITY	SRA1020258		public	343E7482C61EB63147C45A0DBD99314D	EF434569AF43586E63ED22E3B4CB1819
SRR10829960	2020-12-31 00:01:39	2020-01-06 10:27:44	28895673	8726493246	28895673	302	2597		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10829960/SRR10829960	SRX7503337	3_3	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP239532	PRJNA599093		599093	SRS5944505	SAMN13738800	simple	4432	Nelumbo nucifera	3_3							no					WUHAN UNIVERSITY	SRA1020258		public	8B00CA8606ADF179C8205072C158A968	14A2C8FADE7F69E015A0E265C178A1DF
SRR10829959	2020-12-31 00:01:39	2020-01-06 10:26:42	27325127	8252188354	27325127	302	2482		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10829959/SRR10829959	SRX7503338	4_1	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP239532	PRJNA599093		599093	SRS5944506	SAMN13738801	simple	4432	Nelumbo nucifera	4_1							no					WUHAN UNIVERSITY	SRA1020258		public	3546DD039223C0850B294403AC7CBD8D	EB30303D48BDD3EC9C19DC1D43852D38
