Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR6348656	2018-12-31 14:15:36	2017-12-05 16:20:00	46678864	3501445476	0	75	1396		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/348/SRR6348656.sralite.1	SRX3445653	Epi_32_9	RNA-Seq	size fractionation	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP126183	PRJNA375005		375005	SRS2736058	SAMN07426987	simple	110193	Nicrophorus vespilloides	1					male		no					SWANSEA UNIVERSITY	SRA636121		public	0EF85480664B87BFD1736A0796C54375	6FC916A5FA95561BF29ECF21D7DA98A9
SRR6348651	2018-12-31 14:15:36	2017-12-05 16:19:32	42000276	3149498407	0	74	1178		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/348/SRR6348651.sralite.1	SRX3445658	Epi_72_10	RNA-Seq	size fractionation	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP126183	PRJNA375005		375005	SRS2736063	SAMN07426996	simple	110193	Nicrophorus vespilloides	10					male		no					SWANSEA UNIVERSITY	SRA636121		public	472B2F4E8ADE5DA1055668661D21C7D3	FA021571DDE4A5EF21925069C836D870
SRR6348664	2018-12-31 14:15:36	2017-12-05 16:20:50	46416679	3482698386	0	75	1380		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/348/SRR6348664.sralite.1	SRX3445645	Epi_74_7	RNA-Seq	size fractionation	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP126183	PRJNA375005		375005	SRS2736051	SAMN07426997	simple	110193	Nicrophorus vespilloides	11					male		no					SWANSEA UNIVERSITY	SRA636121		public	E8AA50CBB270CB1AA65EB27018F98018	1741C498E4B92312206FFF3CBC22EFC2
SRR6348663	2018-12-31 14:15:36	2017-12-05 16:23:30	44946965	3376412642	0	75	1342		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/348/SRR6348663.sralite.1	SRX3445646	Epi_79_9	RNA-Seq	size fractionation	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP126183	PRJNA375005		375005	SRS2736050	SAMN07426998	simple	110193	Nicrophorus vespilloides	12					male		no					SWANSEA UNIVERSITY	SRA636121		public	C1687FE514D817E6FE3AE023B12479C8	B9BFDCC7B7CBAEBB815545556914EC4E
SRR6348666	2018-12-31 14:15:36	2017-12-05 16:23:33	54315876	4069337317	0	74	1644		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/348/SRR6348666.sralite.1	SRX3445643	Epi_57_2	RNA-Seq	size fractionation	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP126183	PRJNA375005		375005	SRS2736047	SAMN07426999	simple	110193	Nicrophorus vespilloides	13					male		no					SWANSEA UNIVERSITY	SRA636121		public	7F977D40DEA7AFCB0B87D5505B333533	2EF294A56E0B1C9494DF93363D0428AF
SRR6348665	2018-12-31 14:15:36	2017-12-05 16:19:12	41291890	3093165532	0	74	1162		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/348/SRR6348665.sralite.1	SRX3445644	Epi_59_2	RNA-Seq	size fractionation	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP126183	PRJNA375005		375005	SRS2736049	SAMN07427000	simple	110193	Nicrophorus vespilloides	14					male		no					SWANSEA UNIVERSITY	SRA636121		public	38ECC6B74D5CE8256CAB0C952CFE69DE	5F1C89318F19C78D5068DC3A3BA29C61
SRR6348668	2018-12-31 14:15:36	2017-12-05 16:19:23	40143204	3007786737	0	74	1127		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/348/SRR6348668.sralite.1	SRX3445641	Epi_68_9	RNA-Seq	size fractionation	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP126183	PRJNA375005		375005	SRS2736045	SAMN07427001	simple	110193	Nicrophorus vespilloides	15					male		no					SWANSEA UNIVERSITY	SRA636121		public	D446A2AAFF4556AFAEE0B0F705918404	65100616323A8549A122C0178029397B
SRR6348667	2018-12-31 14:15:36	2017-12-05 16:26:43	41814199	3136439799	0	75	1188		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/348/SRR6348667.sralite.1	SRX3445642	Epi_79_10	RNA-Seq	size fractionation	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP126183	PRJNA375005		375005	SRS2736048	SAMN07427002	simple	110193	Nicrophorus vespilloides	16					male		no					SWANSEA UNIVERSITY	SRA636121		public	40028D5141DA29B467314C7BF26C99BB	5AD72CDCD9487262C921032A959228A8
SRR6348670	2018-12-31 14:15:36	2017-12-05 16:20:49	38912490	2919865920	0	75	1164		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/348/SRR6348670.sralite.1	SRX3445639	Epi_79_15	RNA-Seq	size fractionation	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP126183	PRJNA375005		375005	SRS2736044	SAMN07427003	simple	110193	Nicrophorus vespilloides	17					male		no					SWANSEA UNIVERSITY	SRA636121		public	E8E261D5B110B89B00A158B18A3F7824	B878123C75E2402BCF4C4D0F11D0772B
SRR6348669	2018-12-31 14:15:36	2017-12-05 16:22:04	39157516	2943857323	0	75	1168		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/348/SRR6348669.sralite.1	SRX3445640	Epi_96_1	RNA-Seq	size fractionation	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP126183	PRJNA375005		375005	SRS2736046	SAMN07427004	simple	110193	Nicrophorus vespilloides	18					male		no					SWANSEA UNIVERSITY	SRA636121		public	2510D9722E512F82B688D02EC086D754	4FDEDDCC697A07DA72FB03BF2A255B9D
