Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR1795993	2015-05-18 10:25:52	2015-02-18 10:24:43	26103303	5220660600	26103303	200	3375	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/795/SRR1795993.sralite.1	SRX866316	NMEFG1	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	280	0	ILLUMINA	Illumina HiSeq 2000	SRP053228	PRJNA271731	NA	271731	SRS837362	SAMN03322577	simple	8996	Numida meleagris	NMEFG	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY COLLEGE LONDON	SRA226691	NA	public	61DD157C2163151A68650F764D5C7FB5	14AAF6C9006E16DC10FD7A67B9637F18
SRR1795995	2015-05-18 10:25:52	2015-02-18 11:31:25	28681185	5736237000	28681185	200	3702	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/795/SRR1795995.sralite.1	SRX866317	NMEFG2	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	280	0	ILLUMINA	Illumina HiSeq 2000	SRP053228	PRJNA271731	NA	271731	SRS837362	SAMN03322577	simple	8996	Numida meleagris	NMEFG	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY COLLEGE LONDON	SRA226691	NA	public	AFBE2C0A992EDC7AD7518B2C129378C3	AB7D5F3E387869B2E54808BAFC30F9B4
SRR1795996	2015-05-18 10:25:52	2015-02-18 12:37:34	25188389	5037677800	25188389	200	3259	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/795/SRR1795996.sralite.1	SRX866318	NMEFG3	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	280	0	ILLUMINA	Illumina HiSeq 2000	SRP053228	PRJNA271731	NA	271731	SRS837362	SAMN03322577	simple	8996	Numida meleagris	NMEFG	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY COLLEGE LONDON	SRA226691	NA	public	5A386BED219AA948F3E25C0DD0622EE5	E4BAB9117214419B0E0485DAA4BF8677
SRR1795997	2015-05-18 10:25:52	2015-02-18 13:25:21	22914815	4582963000	22914815	200	2961	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/795/SRR1795997.sralite.1	SRX866319	NMEFG4	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	280	0	ILLUMINA	Illumina HiSeq 2000	SRP053228	PRJNA271731	NA	271731	SRS837362	SAMN03322577	simple	8996	Numida meleagris	NMEFG	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY COLLEGE LONDON	SRA226691	NA	public	416A69437BA823CD8AC57D6E2F072AA6	02211B6EE63AB87723C17C671BDA508D
SRR1795998	2015-05-18 10:25:52	2015-02-20 05:12:44	23317937	4663587400	23317937	200	3016	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/795/SRR1795998.sralite.1	SRX866321	NMEFG5	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	280	0	ILLUMINA	Illumina HiSeq 2000	SRP053228	PRJNA271731	NA	271731	SRS837362	SAMN03322577	simple	8996	Numida meleagris	NMEFG	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY COLLEGE LONDON	SRA226691	NA	public	7E8EB845D27FDD52235EFBF67FE8EA6E	82B91B75BCF146106BE9D6560A656D95
SRR1795839	2015-05-18 09:42:46	2015-02-18 06:21:59	26131079	5226215800	26131079	200	3470	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/795/SRR1795839.sralite.1	SRX866310	NMEMS2	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	280	0	ILLUMINA	Illumina HiSeq 2000	SRP053228	PRJNA271731	NA	271731	SRS837353	SAMN03322580	simple	8996	Numida meleagris	NMEMS	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	UNIVERSITY COLLEGE LONDON	SRA226691	NA	public	FB821C38E525830408151C320AAA34CF	1C3BA85C341108BB87752B7BCB5BADB5
SRR1795841	2015-05-18 10:25:52	2015-02-18 06:20:15	24235105	4847021000	24235105	200	3216	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/795/SRR1795841.sralite.1	SRX866311	NMEMS3	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	280	0	ILLUMINA	Illumina HiSeq 2000	SRP053228	PRJNA271731	NA	271731	SRS837353	SAMN03322580	simple	8996	Numida meleagris	NMEMS	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	UNIVERSITY COLLEGE LONDON	SRA226691	NA	public	62D89D41726652F099CD4C1507508CDA	A4109C39FBFE8A4B0064CA234AB73234
SRR1795843	2015-05-18 10:25:52	2015-02-18 07:21:52	24122044	4824408800	24122044	200	3130	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/795/SRR1795843.sralite.1	SRX866314	NMEMS4	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	200	0	ILLUMINA	Illumina HiSeq 2000	SRP053228	PRJNA271731	NA	271731	SRS837353	SAMN03322580	simple	8996	Numida meleagris	NMEMS	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	UNIVERSITY COLLEGE LONDON	SRA226691	NA	public	4350D9DBC72BC55FB0C649758BABAF69	02C2ACE1ECDFB1CA7091DC7849DAD4B3
SRR1795845	2015-05-18 10:25:52	2015-02-18 08:21:51	22810279	4562055800	22810279	200	2974	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/795/SRR1795845.sralite.1	SRX866315	NMEMS5	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	280	0	ILLUMINA	Illumina HiSeq 2000	SRP053228	PRJNA271731	NA	271731	SRS837353	SAMN03322580	simple	8996	Numida meleagris	NMEMS	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	UNIVERSITY COLLEGE LONDON	SRA226691	NA	public	5C6B9A7A5EA2660C8B688E64B151DDE5	89A080FD64E965CC875CFEBCE2582D4E
SRR5482429	2017-04-26 11:55:11	2017-04-26 11:31:54	49551787	14865536100	49551787	300	5263	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/482/SRR5482429.sralite.1	SRX2765843	GF_4_S1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 3000	SRP105262	PRJNA383810	NA	383810	SRS2149933	SAMN06808299	simple	8996	Numida meleagris	Guinea fowl uterus1	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	INSTITUT NATIONAL DE LA RECHERCHE AGRONOMIQUE (INRA)	SRA557128	NA	public	FB0AF156C028DB24FD61904DEBCAA378	931252368A2864BCECA46351C633639E
SRR5482420	2017-04-26 11:29:11	2017-04-26 11:08:37	40216103	12064830900	40216103	300	4310	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/482/SRR5482420.sralite.1	SRX2765834	GF_10_S5	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 3000	SRP105262	PRJNA383810	NA	383810	SRS2149924	SAMN06808308	simple	8996	Numida meleagris	Guinea fowl uterus10	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	INSTITUT NATIONAL DE LA RECHERCHE AGRONOMIQUE (INRA)	SRA557128	NA	public	0ADF7366D33BB65F657710134F598800	7E97E4E9CD80D9924BA816D376AFC6EE
SRR5482419	2017-04-26 11:26:12	2017-04-26 11:08:24	42407740	12722322000	42407740	300	4468	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/482/SRR5482419.sralite.1	SRX2765833	GF_10_S6	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 3000	SRP105262	PRJNA383810	NA	383810	SRS2149922	SAMN06808309	simple	8996	Numida meleagris	Guinea fowl uterus11	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	INSTITUT NATIONAL DE LA RECHERCHE AGRONOMIQUE (INRA)	SRA557128	NA	public	C510E7F85208027620AFACE9103A820A	A179EC50E64B1FBF2725026E65B9BF8F
SRR5482418	2017-04-26 11:38:14	2017-04-26 11:12:21	48592273	14577681900	48592273	300	5243	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/482/SRR5482418.sralite.1	SRX2765832	GF_10_S7	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 3000	SRP105262	PRJNA383810	NA	383810	SRS2149923	SAMN06808310	simple	8996	Numida meleagris	Guinea fowl uterus12	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	INSTITUT NATIONAL DE LA RECHERCHE AGRONOMIQUE (INRA)	SRA557128	NA	public	BE161C124E9D324E012B12A25A833A6E	47A4CE8D5DF1AE56EA6FCE9B642F9A9F
