Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
ERR4922196	2021-02-06 00:28:38	2021-02-11 20:13:01	46288878	13886663400	46288878	300	4146	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR004/4922/ERR4922196/ERR4922196.lite.1	ERX4787105		RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	300	0	ILLUMINA	Illumina NovaSeq 6000	ERP125561	PRJEB41734	NA	699220	ERS5447400	SAMEA7690874	simple	34880	Nyctereutes procyonoides	SAMEA7690874	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	SENCKENBER BIODIVERSITY AND CLIMATE RESEARCH CENTR	ERA3189028	NA	public	302CF1F4D1A7B96693E4C87A6195591B	C750D1AB1DAC2A3CA0A7593D99FED475
SRR4034960	2016-08-21 09:02:09	2016-08-16 08:58:29	24873327	4477198860	24873327	180	2843	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR004/034/SRR4034960.sralite.1	SRX2026257	AHURBGFGF246	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP082200	PRJNA338891	NA	338891	SRS1620675	SAMN05573211	simple	34880	Nyctereutes procyonoides	W1	NA	NA	NA	NA	not collected	NA	no	NA	NA	NA	NA	CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA452915	NA	public	C54224209DBA428982DB7BB9F2D7214C	757CE87744D57C77B9D25C03CDDB2A04
SRR4034953	2016-08-21 08:58:41	2016-08-16 08:56:08	24971130	4494803400	24971130	180	2836	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR403/4953/SRR4034953.sralite.1	SRX2026250	AHURBGFGF223	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP082200	PRJNA338891	NA	338891	SRS1620670	SAMN05573208	simple	34880	Nyctereutes procyonoides	H1	NA	NA	NA	NA	not collected	NA	no	NA	NA	NA	NA	CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA452915	NA	public	0514AD3DA7D32C97C91753DC1F29B5D0	1F04DFEAFADDA6EF9A92FA1D4352E9A5
SRR4034954	2016-08-21 09:00:52	2016-08-16 08:57:50	22686354	4083543720	22686354	180	1619	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR004/034/SRR4034954.sralite.1	SRX2026251	AHURBGFGF324	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP082200	PRJNA338891	NA	338891	SRS1620671	SAMN05573209	simple	34880	Nyctereutes procyonoides	H2	NA	NA	NA	NA	not collected	NA	no	NA	NA	NA	NA	CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA452915	NA	public	92954F70B61557DCD7377B2F07D4E660	49CDD66CFF8B93F8475BBF92676353E1
SRR4034955	2016-08-21 08:58:00	2016-08-16 08:53:58	22559159	4060648620	22559159	180	1594	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR004/034/SRR4034955.sralite.1	SRX2026252	AHURBGFGF275	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP082200	PRJNA338891	NA	338891	SRS1620672	SAMN05573210	simple	34880	Nyctereutes procyonoides	H3	NA	NA	NA	NA	not collected	NA	no	NA	NA	NA	NA	CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA452915	NA	public	A11FCC51A2D9ABC92A291ED710BC3C1E	C3AE505F1B1DEA93CBBCFB1C0BF0B981
SRR4034961	2016-08-21 09:02:02	2016-08-16 08:57:44	24818692	4467364560	24818692	180	2816	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR004/034/SRR4034961.sralite.1	SRX2026258	AHURBGFGF523	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP082200	PRJNA338891	NA	338891	SRS1620678	SAMN05573212	simple	34880	Nyctereutes procyonoides	W2	NA	NA	NA	NA	not collected	NA	no	NA	NA	NA	NA	CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA452915	NA	public	E2848B923F7B7B56E17340A47DEA8C6F	0FC495962F62556A465DCD4690C73C78
SRR4034962	2016-08-21 09:06:05	2016-08-16 09:03:38	22774568	4099422240	22774568	180	1626	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR004/034/SRR4034962.sralite.1	SRX2026259	AHURBGFGF624	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP082200	PRJNA338891	NA	338891	SRS1620679	SAMN05573213	simple	34880	Nyctereutes procyonoides	W3	NA	NA	NA	NA	not collected	NA	no	NA	NA	NA	NA	CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA452915	NA	public	A806D11699D1400F78689F842C9CE288	2BC1A816F2DD9D3B2ABDEB159F97CC9B
SRR4158188	2016-09-09 23:25:22	2016-09-04 23:20:45	22774568	4099422240	22774568	180	1626	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/158/SRR4158188.sralite.1	SRX2134155	AHURBGFGF624	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP085790	PRJNA341783	NA	341783	SRS1620679	SAMN05573213	simple	34880	Nyctereutes procyonoides	W3	NA	NA	NA	NA	not collected	NA	no	NA	NA	NA	NA	CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA461632	NA	public	A806D11699D1400F78689F842C9CE288	2BC1A816F2DD9D3B2ABDEB159F97CC9B
SRR4158183	2016-09-09 23:08:23	2016-09-04 23:03:00	25061045	4510988100	25061045	180	2841	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/158/SRR4158183.sralite.1	SRX2134150	AHURBGFGF283	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP085790	PRJNA341783	NA	341783	SRS1669604	SAMN05728427	simple	34880	Nyctereutes procyonoides	B1	NA	NA	NA	NA	not collected	NA	no	NA	NA	NA	NA	CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA461632	NA	public	887BA3B38485C768360AEC81EC9BEC1F	AC090B7079305C0798373F6C2768E4C4
SRR4158184	2016-09-09 23:07:43	2016-09-04 23:01:01	24875945	4477670100	24875945	180	2826	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/158/SRR4158184.sralite.1	SRX2134151	AHURBGFGF384	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP085790	PRJNA341783	NA	341783	SRS1669605	SAMN05728428	simple	34880	Nyctereutes procyonoides	B2	NA	NA	NA	NA	not collected	NA	no	NA	NA	NA	NA	CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA461632	NA	public	690B6DE9189DA811A130BC19600833BA	FBA863A47FC54BA4A6972F69A48428D0
