Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR786665	2013-04-01 00:00:00	2013-03-19 00:00:18	204041882	10202094100	0	50	8421	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-run-32/SRR000/786/SRR786665/SRR786665.1	SRX252118		RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	ABI_SOLID	AB SOLiD System 3.0	SRP019765	PRJNA193346	2	193346	SRS403652	SAMN01983955	simple	9874	Odocoileus virginianus	Pooled WTD	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY OF ALBERTA	SRA069760	NA	public	0D3FC528AC90F69998C9E2F4AF260BC6	589CD765AA6F4115ECEDA913C66A2873
SRR4256026	2017-04-11 13:21:55	2016-09-19 15:10:06	31560574	6375235948	31560574	202	3801	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/256/SRR4256026.sralite.1	SRX2175789	ICD_IND-DEERBL.Deer-Antler-2-1_1pA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	450	0	ILLUMINA	Illumina HiSeq 2000	SRP083076	PRJNA317745	2	317745	SRS1703086	SAMN05774348	simple	9874	Odocoileus virginianus	Deer-Antler-2	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	BCM	SRA474082	NA	public	BF760466924F7EC618CE75CD38712618	1E52702346D17994B5229FE218EDF4BC
SRR4256027	2016-09-19 15:02:09	2016-09-19 15:13:01	29400345	5938869690	29400345	202	3690	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/256/SRR4256027.sralite.1	SRX2175790	ICD_IND-DEERBL.Deer-Bone-1-1_1pA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	435	0	ILLUMINA	Illumina HiSeq 2000	SRP083076	PRJNA317745	2	317745	SRS1703087	SAMN05774349	simple	9874	Odocoileus virginianus	Deer-Bone-1	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	BCM	SRA474083	NA	public	0A20E999A54E36108B7E3BAF96594347	32D6875D519EA3F650657EB612855CC3
SRR4256030	2016-09-19 15:02:11	2016-09-19 15:17:25	44207264	8929867328	44207264	202	5319	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/256/SRR4256030.sralite.1	SRX2175793	ICD_IND-DEERBL.Deer-Brain-2-1_1pA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	441	0	ILLUMINA	Illumina HiSeq 2000	SRP083076	PRJNA317745	2	317745	SRS1703090	SAMN05774350	simple	9874	Odocoileus virginianus	Deer-Brain-2	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	BCM	SRA474086	NA	public	D7B5EAF91E9F70FFC79B903BFC8322D4	0D9B4379F8F12510BCF6BCE9585D1673
SRR4256025	2016-09-19 15:02:08	2016-09-19 15:14:19	40622598	8205764796	40622598	202	5096	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/256/SRR4256025.sralite.1	SRX2175788	ICD_IND-DEERBL.Deer-Liver-1-1_1pA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	445	0	ILLUMINA	Illumina HiSeq 2000	SRP083076	PRJNA317745	2	317745	SRS1703085	SAMN05774351	simple	9874	Odocoileus virginianus	Deer-Liver-1	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	BCM	SRA474081	NA	public	51C40B497B978C76D465FF7EFFC4F5A8	DF4EE672E2B03DD590AE3C89C9A5C1A7
SRR4256028	2016-09-19 15:02:10	2016-09-19 15:14:37	33920761	6851993722	33920761	202	4262	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/256/SRR4256028.sralite.1	SRX2175791	ICD_IND-DEERBL.Deer-Liver-2-1_1pA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	451	0	ILLUMINA	Illumina HiSeq 2000	SRP083076	PRJNA317745	2	317745	SRS1703088	SAMN05774352	simple	9874	Odocoileus virginianus	Deer-Liver-2	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	BCM	SRA474084	NA	public	2E2FA50AC22B8D64B4181DF03A98F2F1	55771BB48FB7FC839C72FA2EF535C2F9
SRR4256029	2016-09-19 15:02:10	2016-09-19 15:12:21	35086793	7087532186	35086793	202	4410	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/256/SRR4256029.sralite.1	SRX2175792	ICD_IND-DEERBL.Deer-Lung-1-1_1pA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	448	0	ILLUMINA	Illumina HiSeq 2000	SRP083076	PRJNA317745	2	317745	SRS1703089	SAMN05774353	simple	9874	Odocoileus virginianus	Deer-Lung-1	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	BCM	SRA474085	NA	public	14D779CE551A5D7CB2E28ECB2F4C88C2	73A431F4CDFE7CA7B86022AE70B40991
SRR4256031	2016-09-19 15:02:11	2016-09-19 15:12:16	33219196	6710277592	33219196	202	3997	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/256/SRR4256031.sralite.1	SRX2175794	ICD_IND-DEERBL.Deer-Muscle-2-1_1pA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	429	0	ILLUMINA	Illumina HiSeq 2000	SRP083076	PRJNA317745	2	317745	SRS1703091	SAMN05774354	simple	9874	Odocoileus virginianus	Deer-Muscle-2	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	BCM	SRA474087	NA	public	FC571F6BC291133A4546019D66B782FE	8242DAB23ABA15467F625C2A78093235
SRR4256033	2017-04-11 13:21:55	2016-09-19 15:09:44	23393797	4725546994	23393797	202	2809	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/256/SRR4256033.sralite.1	SRX2175796	ICD_IND-DEERBL.Deer-Pedicle-1_1pA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	407	0	ILLUMINA	Illumina HiSeq 2000	SRP083076	PRJNA317745	2	317745	SRS1703093	SAMN05774355	simple	9874	Odocoileus virginianus	Deer-Pedicle	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	BCM	SRA474089	NA	public	DF72D10F771B8EEE4F9A7663E51C3850	E06D99C13287B04C45AD7FC10CBF75C0
SRR4256032	2016-09-19 15:02:12	2016-09-19 15:24:44	72673193	14679984986	72673193	202	9200	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/256/SRR4256032.sralite.1	SRX2175795	ICD_IND-DEERBL.Deer-Testis-1-1_1pA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	452	0	ILLUMINA	Illumina HiSeq 2000	SRP083076	PRJNA317745	2	317745	SRS1703092	SAMN05774356	simple	9874	Odocoileus virginianus	Deer-Testis-1	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	BCM	SRA474088	NA	public	B698011CDEFD0C09D06C5ED9F9942E3F	A326CA3094E5559DBDFE429C0EFDBF19
