Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR332584	2011-08-23 08:59:24	2014-05-31 02:08:08	384444	166239651	0	432	403	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/332/SRR332584/SRR332584.lite.1	SRX092679	2855108585	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	LS454	454 GS FLX Titanium	SRP007892	PRJNA72579	NA	72579	SRS258159	SAMN00710415	simple	61180	Oesophagostomum dentatum	114803	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	WUGSC	SRA045557	NA	public	3EF3F00504004E0135303594716BFA53	E52F7856E961209D39868D470270D975
SRR332587	2011-08-23 08:59:25	2014-05-31 02:10:27	288307	133542858	0	463	320	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/332/SRR332587/SRR332587.lite.1	SRX092679	2855108585	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	LS454	454 GS FLX Titanium	SRP007892	PRJNA72579	NA	72579	SRS258159	SAMN00710415	simple	61180	Oesophagostomum dentatum	114803	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	WUGSC	SRA045560	NA	public	7416C36E93A071BD097C82F670682C8D	B57673316A12A95EF1C69C149431ACE3
SRR332590	2011-08-23 09:00:25	2014-05-31 02:08:25	416206	171694644	0	412	428	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/332/SRR332590/SRR332590.lite.1	SRX092679	2855108585	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	LS454	454 GS FLX Titanium	SRP007892	PRJNA72579	NA	72579	SRS258159	SAMN00710415	simple	61180	Oesophagostomum dentatum	114803	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	WUGSC	SRA045563	NA	public	175885F297B75F30A1DB00535244A0FB	5D417F443A91FB978D449AC0F73554E8
SRR393668	2012-12-28 00:00:00	2012-01-21 17:30:39	21440437	3344708172	21440437	156	2015	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/393/SRR393668/SRR393668.sralite.1	SRX113574	NR7-89-2	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	160	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP010051		NA	0	SRS283045	SAMN00767630	simple	61180	Oesophagostomum dentatum	LEVR_M	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	IOWA STATE UNIVERSITY	SRA048737	NA	public	C35D3F040C1152BA60606736F1CC7F4F	105813663E5D00FE85DF49813801D9B7
SRR873843	2013-06-08 02:56:08	2013-06-08 02:44:38	79101324	15741163476	79101324	199	9965	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/873/SRR873843.sralite.1	SRX290893	NR8-3-1	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	300	0	ILLUMINA	Illumina HiSeq 2000	SRP010051		NA	0	SRS283045	SAMN00767630	simple	61180	Oesophagostomum dentatum	LEVR_M	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	IOWA STATE UNIVERSITY	SRA048737	NA	public	E7B35EF98EA449B7792785AB1F70B347	E781BE50367A7C051AACF3D07A3324BD
SRR873853	2013-06-14 10:46:08	2013-06-13 21:57:58	83468273	16610186327	83468273	199	10496	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/873/SRR873853.sralite.1	SRX290897	NR8-3-2	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	300	0	ILLUMINA	Illumina HiSeq 2000	SRP010051		NA	0	SRS283046	SAMN00767631	simple	61180	Oesophagostomum dentatum	LEVR_F	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	IOWA STATE UNIVERSITY	SRA048737	NA	public	16B60127A25B604EB7CB2458AB0B5198	E4BB8AC4E96885E123533B8FEA3B3265
SRR393669	2012-12-28 00:00:00	2012-01-21 17:30:44	21586063	3367425828	21586063	156	2032	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/393/SRR393669/SRR393669.sralite.1	SRX113575	NR7-83-1	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	160	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP010051		NA	0	SRS283046	SAMN00767631	simple	61180	Oesophagostomum dentatum	LEVR_F	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	IOWA STATE UNIVERSITY	SRA048737	NA	public	8323603C5DEB7951E1941F5C70B6F55D	1764AFC8B8C20B1434E417D7B7765AB3
SRR393670	2012-12-28 00:00:00	2012-01-21 17:30:07	20121506	1569477468	20121506	78	938	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/393/SRR393670/SRR393670.sralite.1	SRX113576	NR7-84-1	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	160	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP010051		NA	0	SRS284308	SAMN00769052	simple	61180	Oesophagostomum dentatum	SENS_M	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	IOWA STATE UNIVERSITY	SRA048737	NA	public	2BFB8C7D8886D96C1A15A76BD0F458A1	19C1BD16F5DD87ABA10B2CA73419B539
SRR873856	2013-06-13 22:31:09	2013-06-13 22:28:46	163695843	32739168600	0	200	22878	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/873/SRR873856.sralite.1	SRX290901	NR8-7-1	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	300	0	ILLUMINA	Illumina HiSeq 2000	SRP010051		NA	0	SRS284308	SAMN00769052	simple	61180	Oesophagostomum dentatum	SENS_M	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	IOWA STATE UNIVERSITY	SRA048737	NA	public	1D12D987B19C9B098D51D831A08F8767	57494BE4B8840B058914DBF21E38C2F3
SRR873857	2013-06-13 21:49:07	2013-06-13 21:45:55	41802076	8360415200	41802076	200	5862	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/873/SRR873857.sralite.1	SRX290923	NR8-7-2	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	300	0	ILLUMINA	Illumina HiSeq 2000	SRP010051		NA	0	SRS284309	SAMN00769053	simple	61180	Oesophagostomum dentatum	SENS_F	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	IOWA STATE UNIVERSITY	SRA048737	NA	public	F523CAE49271A6FB3FA0BDB2A222E95C	62A93F5E5FE1894858FE0BEDE38529C3
