Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
ERR9360826	2022-04-19 22:30:19	2022-05-15 19:38:43	32099243	9629772900	32099243	300	2871		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR9360826/ERR9360826	ERX8902759	D3301002	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	ERP136507	PRJEB51857		819367	ERS11209652	SAMEA9835741	simple	8022	Oncorhynchus mykiss	SAMEA9835741							no					Novogene UK	ERA10791429		public	A60BECA4545F15F08A9209B0948BE0FE	811EBE1AF96901455EE03153B641916D
ERR9360835	2022-04-19 22:30:19	2022-05-15 19:36:34	32000747	9600224100	32000747	300	2865		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR9360835/ERR9360835	ERX8902768	D3301302	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	ERP136507	PRJEB51857		819367	ERS11209658	SAMEA9835747	simple	8022	Oncorhynchus mykiss	SAMEA9835747							no					Novogene UK	ERA10791429		public	B51D4DB8C7976557061717641F0174A1	6A79B5F702A06CE66720FD7A14FEE89F
ERR9360824	2022-04-19 22:30:19	2022-05-15 23:40:51	31526078	9457823400	31526078	300	2828		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR9360824/ERR9360824	ERX8902757	D3300903	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	ERP136507	PRJEB51857		819367	ERS11209680	SAMEA9835767	simple	8022	Oncorhynchus mykiss	SAMEA9835767							no					Novogene UK	ERA10791429		public	524A2E98E6C5F636CB5F1A4F141B9324	4E170BCABD37A4C8CF5BEA5C32B3E529
ERR9360816	2022-03-25 07:53:44	2022-05-08 04:49:58	30175209	9052562700	30175209	300	2705		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR9360816/ERR9360816	ERX8902749	D3300701	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	ERP136507	PRJEB51857		819367	ERS11209672	SAMEA9835709	simple	8022	Oncorhynchus mykiss	SAMEA9835709							no					Novogene UK	ERA10791429		public	60698DFCCE9A6430057AF2926819C9C9	BE2C72611FF5FAE5470FCA0CE84DF8EE
ERR9360819	2022-03-25 07:53:44	2022-05-09 11:06:08	32338635	9701590500	32338635	300	2914		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR9360819/ERR9360819	ERX8902752	D3300801	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	ERP136507	PRJEB51857		819367	ERS11209665	SAMEA9835710	simple	8022	Oncorhynchus mykiss	SAMEA9835710							no					Novogene UK	ERA10791429		public	5740099855DABF128534A9DBFE01BBCD	4609143AC43EA996F85DAACE7C1E1B40
ERR9360822	2022-03-25 07:53:44	2022-05-09 11:12:44	32240879	9672263700	32240879	300	2882		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR9360822/ERR9360822	ERX8902755	D3300901	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	ERP136507	PRJEB51857		819367	ERS11209664	SAMEA9835711	simple	8022	Oncorhynchus mykiss	SAMEA9835711							no					Novogene UK	ERA10791429		public	BE70521E8276F6F11165A3F6B9D8BACC	20ACA9311CA9B30EC6CE2F0AFC2D3ACD
ERR9360825	2022-03-25 07:53:45	2022-05-08 04:49:03	33284317	9985295100	33284317	300	2921		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR9360825/ERR9360825	ERX8902758	D3301001	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	ERP136507	PRJEB51857		819367	ERS11209666	SAMEA9835713	simple	8022	Oncorhynchus mykiss	SAMEA9835713							no					Novogene UK	ERA10791429		public	2C7977C85CB45E1D308C9D1562ACF0D2	7C263F5525BA2D66594B8F6EA89CD948
ERR9360800	2022-03-25 07:53:43	2022-05-09 11:05:00	31152045	9345613500	31152045	300	2777		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR9360800/ERR9360800	ERX8902734	D3300201	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	ERP136507	PRJEB51857		819367	ERS11209669	SAMEA9835714	simple	8022	Oncorhynchus mykiss	SAMEA9835714							no					Novogene UK	ERA10791429		public	35DAB60FCE78B2FFCC9CF97B06289DCE	CC40835954D87B00F34C5AA1050CC01D
ERR9360828	2022-03-25 07:53:45	2022-05-09 11:08:35	31529477	9458843100	31529477	300	2796		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR9360828/ERR9360828	ERX8902761	D3301101	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	ERP136507	PRJEB51857		819367	ERS11209668	SAMEA9835715	simple	8022	Oncorhynchus mykiss	SAMEA9835715							no					Novogene UK	ERA10791429		public	67E13C0ADA30F01B17763FC4B7228DED	F2D4EC67F07E568EB350182D9D90365F
ERR9360804	2022-03-25 07:53:43	2022-05-09 11:04:14	29508796	8852638800	29508796	300	2657		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR9360804/ERR9360804	ERX8902737	D3300301	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	ERP136507	PRJEB51857		819367	ERS11209686	SAMEA9835716	simple	8022	Oncorhynchus mykiss	SAMEA9835716							no					Novogene UK	ERA10791429		public	13413AF850B537EB7D920AF6FFE9B69D	B6EEA05D13EE2090341C299624DCD7F5
