Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR4412510	2017-02-28 15:45:43	2016-10-11 06:56:05	4763190	357239250	0	75	110		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/412/SRR4412510.sralite.1	SRX2236080		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP091361	PRJNA347620	2	347620	SRS1736953	SAMN05893543	simple	166361	Onthophagus taurus	GSM2340341							no					GEO	SRA483347		public	C5637A3633D63C024FF511E0A610E17B	9766627E1EF0AA48551CDFB1DD626DBE
SRR4412511	2017-02-28 15:45:43	2016-10-11 07:00:41	4901076	367580700	0	75	115		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR004/412/SRR4412511.sralite.1	SRX2236080		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP091361	PRJNA347620	2	347620	SRS1736953	SAMN05893543	simple	166361	Onthophagus taurus	GSM2340341							no					GEO	SRA483347		public	B9B252C45AA0866F53EA22F7A36E380C	D5CBD457699CEE1DBDA2D5F4A60E8E0F
SRR4412512	2017-02-28 15:45:43	2016-10-11 06:52:36	2272549	170441175	0	75	51		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR004/412/SRR4412512.sralite.1	SRX2236081		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP091361	PRJNA347620	2	347620	SRS1736956	SAMN05893542	simple	166361	Onthophagus taurus	GSM2340342							no					GEO	SRA483347		public	55BC520CCE1E0BDECCDC7DF3F78C240D	47FB71085AF883ED6CBB97B0457ACE5E
SRR4412513	2017-02-28 15:45:43	2016-10-11 06:54:10	1172896	87967200	0	75	25		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR441/2513/SRR4412513.sralite.1	SRX2236081		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP091361	PRJNA347620	2	347620	SRS1736956	SAMN05893542	simple	166361	Onthophagus taurus	GSM2340342							no					GEO	SRA483347		public	53FB0E13D65F75F446E0785FF77AACF4	AEC25EF26F03B35506A0939326B80026
SRR4412514	2017-02-28 15:45:43	2016-10-11 06:55:41	2791104	209332800	0	75	65		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR004/412/SRR4412514.sralite.1	SRX2236081		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP091361	PRJNA347620	2	347620	SRS1736956	SAMN05893542	simple	166361	Onthophagus taurus	GSM2340342							no					GEO	SRA483347		public	0F113C454E64AF8E48C175329BA71A5A	90414FBD75D1312ACCE80383435E195C
SRR4412515	2017-02-28 15:45:43	2016-10-11 06:58:33	2873044	215478300	0	75	68		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/412/SRR4412515.sralite.1	SRX2236081		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP091361	PRJNA347620	2	347620	SRS1736956	SAMN05893542	simple	166361	Onthophagus taurus	GSM2340342							no					GEO	SRA483347		public	0C9170ADB66A9902C13876BC2AE15215	C06758D588E152407E32C64C54A2500F
SRR4412516	2017-02-28 15:45:43	2016-10-11 06:52:43	3127473	234560475	0	75	70		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/412/SRR4412516.sralite.1	SRX2236082		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP091361	PRJNA347620	2	347620	SRS1736954	SAMN05893541	simple	166361	Onthophagus taurus	GSM2340343							no					GEO	SRA483347		public	5EBECC7B322213BEDFDD6C45DC259EE8	25E8DBC0E2C3C1E491FECCF3E4BC2076
SRR4412517	2017-02-28 15:45:43	2016-10-11 06:54:40	1711409	128355675	0	75	37		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/412/SRR4412517.sralite.1	SRX2236082		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP091361	PRJNA347620	2	347620	SRS1736954	SAMN05893541	simple	166361	Onthophagus taurus	GSM2340343							no					GEO	SRA483347		public	7B5925AC348A7E86DD19BA93EDD1AEFE	6597B3CC5F89E68CBDC4FE7E5A3C6867
SRR4412518	2017-02-28 15:45:43	2016-10-11 06:55:51	3853161	288987075	0	75	89		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR441/2518/SRR4412518.sralite.1	SRX2236082		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP091361	PRJNA347620	2	347620	SRS1736954	SAMN05893541	simple	166361	Onthophagus taurus	GSM2340343							no					GEO	SRA483347		public	C425D07E28E0E7FFB7631551CBAB646F	7F9B2DD5E1380CFE2AE669BB4CA4F092
SRR4412519	2017-02-28 15:45:43	2016-10-11 06:58:50	3965388	297404100	0	75	94		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/412/SRR4412519.sralite.1	SRX2236082		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP091361	PRJNA347620	2	347620	SRS1736954	SAMN05893541	simple	166361	Onthophagus taurus	GSM2340343							no					GEO	SRA483347		public	655982FD74B27D9EE795E063B987DB9E	AB81E0A48C7595948377DEC7045E3DA8
SRR4412520	2017-02-28 15:45:43	2016-10-11 06:52:47	2718884	203916300	0	75	61		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/412/SRR4412520.sralite.1	SRX2236083		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP091361	PRJNA347620	2	347620	SRS1736955	SAMN05893540	simple	166361	Onthophagus taurus	GSM2340344							no					GEO	SRA483347		public	08AFF22F3F26129FC9B7E94215213D2B	6B53D2D6F9A0FC122D72A732037F225C
SRR4412521	2017-02-28 15:45:43	2016-10-11 06:54:30	1595190	119639250	0	75	34		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR004/412/SRR4412521.sralite.1	SRX2236083		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP091361	PRJNA347620	2	347620	SRS1736955	SAMN05893540	simple	166361	Onthophagus taurus	GSM2340344							no					GEO	SRA483347		public	0B79CAC479077EC70DA79E334C5F85CB	92AAEE4F6E91B04E0ABF142FDE1AF4F4
SRR4412522	2017-02-28 15:45:43	2016-10-11 06:55:42	3402552	255191400	0	75	79		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR004/412/SRR4412522.sralite.1	SRX2236083		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP091361	PRJNA347620	2	347620	SRS1736955	SAMN05893540	simple	166361	Onthophagus taurus	GSM2340344							no					GEO	SRA483347		public	560DBCF7BB78FD9B65169979B1C55053	63BAEC7412AEB1BB9EAFDE9CE54F30AC
SRR4412523	2017-02-28 15:45:43	2016-10-11 06:58:35	3486705	261502875	0	75	83		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR004/412/SRR4412523.sralite.1	SRX2236083		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP091361	PRJNA347620	2	347620	SRS1736955	SAMN05893540	simple	166361	Onthophagus taurus	GSM2340344							no					GEO	SRA483347		public	9B94CCF41626A9583B3CE11ED4114E02	CB3274A8322BCD85F515B57093813461
SRR4412524	2017-02-28 15:45:43	2016-10-11 06:53:21	3766718	282503850	0	75	85		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR004/412/SRR4412524.sralite.1	SRX2236084		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP091361	PRJNA347620	2	347620	SRS1736957	SAMN05893539	simple	166361	Onthophagus taurus	GSM2340345							no					GEO	SRA483347		public	B16AEEC39610EB5C93CA10BC3A227AE9	8D270E9CE65FC2B5AEAB948B4AFC202C
SRR4412525	2017-02-28 15:45:43	2016-10-11 06:54:25	2535601	190170075	0	75	55		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR441/2525/SRR4412525.sralite.1	SRX2236084		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP091361	PRJNA347620	2	347620	SRS1736957	SAMN05893539	simple	166361	Onthophagus taurus	GSM2340345							no					GEO	SRA483347		public	B3F3FE9A83A1C348766880074EEDDB0C	91F508874BBBBC4318407C3EC8534EA5
SRR4412526	2017-02-28 15:45:43	2016-10-11 06:55:59	4726895	354517125	0	75	110		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/412/SRR4412526.sralite.1	SRX2236084		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP091361	PRJNA347620	2	347620	SRS1736957	SAMN05893539	simple	166361	Onthophagus taurus	GSM2340345							no					GEO	SRA483347		public	AE8C30BE86EADF5D03E2AE159F05950D	EC425E70E3650E74875DF56960A1C92B
