Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR9648667	2019-07-07 01:15:36	2019-07-06 13:12:31	12690680	647224680	0	51	282		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9648667/SRR9648667	SRX6410223	Ofav_Oct_East03	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP213349	PRJNA552981		552981	SRS5067516	SAMN12226448	simple	48498	Orbicella faveolata	03_S30_R1_001.fastq.gz							no					BOSTON UNIVERSITY	SRA917917		public	8B75C4BD19008BA8783AE4EE90A795E6	6518BC110AF71B32213526B16554C3EA
SRR9648669	2019-07-07 01:15:36	2019-07-06 13:11:39	2687560	137065560	0	51	60		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9648669/SRR9648669	SRX6410221	Ofav_Oct_East05	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP213349	PRJNA552981		552981	SRS5067514	SAMN12226450	simple	48498	Orbicella faveolata	05_S16_R1_001.fastq.gz							no					BOSTON UNIVERSITY	SRA917917		public	4C116B5522292933A07A5CD14202FF3F	C8E2E5595EBA4AA7687B8A78FE7CAADF
SRR9648670	2019-07-07 01:15:36	2019-07-06 13:12:15	7095902	361891002	0	51	152		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9648670/SRR9648670	SRX6410220	Ofav_Oct_East07	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP213349	PRJNA552981		552981	SRS5067513	SAMN12226451	simple	48498	Orbicella faveolata	07_S21_R1_001.fastq.gz							no					BOSTON UNIVERSITY	SRA917917		public	DA285D91A27764C4015EDE8E93F3788B	64787DF441E6AF8F75741AF66E99D6A4
SRR9648672	2019-07-07 01:15:36	2019-07-06 13:12:15	7203005	367353255	0	51	160		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9648672/SRR9648672	SRX6410218	Ofav_Oct_West10	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP213349	PRJNA552981		552981	SRS5067511	SAMN12226453	simple	48498	Orbicella faveolata	10_S14_R1_001.fastq.gz							no					BOSTON UNIVERSITY	SRA917917		public	38AE1C5A91444495F293B8F49B362EBE	DCFEC63CE5C7DA281102E854F7BB9E4F
SRR9648674	2019-07-07 01:15:36	2019-07-06 13:11:54	5049959	257547909	0	51	114		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9648674/SRR9648674	SRX6410216	Ofav_Oct_East13	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP213349	PRJNA552981		552981	SRS5067509	SAMN12226455	simple	48498	Orbicella faveolata	13_S31_R1_001.fastq.gz							no					BOSTON UNIVERSITY	SRA917917		public	D65B52ED14CE1765AD863A21BEB3AAE1	AEDC7A7AA5E5E5A9C50431CC2B228315
SRR9648675	2019-07-07 01:15:36	2019-07-06 13:12:17	8354154	426061854	0	51	186		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9648675/SRR9648675	SRX6410215	Ofav_Oct_East15	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP213349	PRJNA552981		552981	SRS5067508	SAMN12226456	simple	48498	Orbicella faveolata	15_S13_R1_001.fastq.gz							no					BOSTON UNIVERSITY	SRA917917		public	AC11CE4F62E43C1A2F702016FADDCA3A	346D6871E1FCD62C90B8C3BBEE7A7A3D
SRR9648682	2019-07-07 01:15:36	2019-07-06 13:11:02	23051	1175601	0	51	0		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9648682/SRR9648682	SRX6410208	Ofav_Oct_West19	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP213349	PRJNA552981		552981	SRS5067501	SAMN12226459	simple	48498	Orbicella faveolata	19_S17_R1_001.fastq.gz							no					BOSTON UNIVERSITY	SRA917917		public	7D7C9A4011F997FF42C908249B9E4DCB	FA191FADE16B627DC583F7C2E5BD0CE7
SRR9648677	2019-07-07 01:15:36	2019-07-06 13:12:04	6321717	322407567	0	51	140		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/648/SRR9648677.sralite.1	SRX6410213	Ofav_Oct_West26	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP213349	PRJNA552981		552981	SRS5067506	SAMN12226462	simple	48498	Orbicella faveolata	26_S9_R1_001.fastq.gz							no					BOSTON UNIVERSITY	SRA917917		public	A32B1080F49272EA301D6246BD09EC61	F7DA8BE49FD3730EBF42086042B34157
SRR9648679	2019-07-07 01:15:36	2019-07-06 13:12:01	5740149	292747599	0	51	128		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/648/SRR9648679.sralite.1	SRX6410211	Ofav_Oct_West28	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP213349	PRJNA552981		552981	SRS5067504	SAMN12226464	simple	48498	Orbicella faveolata	28_S12_R1_001.fastq.gz							no					BOSTON UNIVERSITY	SRA917917		public	992675C0DB4E7E27222CAB51FA90ECFF	E83B5245AE6B5B8B7E2C7C835DF76AD8
SRR9648651	2019-07-07 01:15:36	2019-07-06 13:11:37	2392021	121993071	0	51	48		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9648651/SRR9648651	SRX6410239	Ofav_Oct_West32	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP213349	PRJNA552981		552981	SRS5067532	SAMN12226468	simple	48498	Orbicella faveolata	32_S27_R1_001.fastq.gz							no					BOSTON UNIVERSITY	SRA917917		public	272D4F50C63FCC6164E87945F6D9C9A2	39271D00DCA4FABC4916539CDA554B1C
