Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
ERR2587655	2019-02-19 07:53:39	2019-02-23 18:01:11	0	0	0	0	3002		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2587655/ERR2587655	ERX2603931	3026sTS.Rabbit.Cerebellum.6mpb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP108867	PRJEB26840		523151	ERS2490959	SAMEA4670346	simple	9986	Oryctolagus cuniculus	SAMEA4670346					male		no					Lausanne Genomics Technology Facility 	ERA1489861		public	F53456FB1EAAD178C19AB3170625FFB1	45D9F1DB86BB0C26A7C288A1639CD8DC
ERR2587656	2019-02-19 07:53:39	2019-02-23 18:00:50	0	0	0	0	2044		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR002/587/ERR2587656.sralite.1	ERX2603932	3014sTS.Rabbit.Kidney.6mpb.Female_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP108867	PRJEB26840		523151	ERS2490960	SAMEA4670347	simple	9986	Oryctolagus cuniculus	SAMEA4670347					female		no					Lausanne Genomics Technology Facility 	ERA1489861		public	0BEB19D5F24B8FBAFD1395BA9EF98D7C	4D5D1AA4E734BA7B8DF4ECA8C2CDAEAB
ERR2587657	2019-02-19 07:53:39	2019-02-23 18:00:22	0	0	0	0	1561		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2587657/ERR2587657	ERX2603933	3023sTSm.Rabbit.Kidney.6mpb.Female_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP108867	PRJEB26840		523151	ERS2490961	SAMEA4670348	simple	9986	Oryctolagus cuniculus	SAMEA4670348					female		no					Lausanne Genomics Technology Facility 	ERA1489861		public	B7DA28624A51732FD02AAA08A70FB559	9326BB83EEB58D903B67B7776FFCF375
ERR2587658	2019-02-19 07:53:39	2019-02-23 17:59:10	0	0	0	0	794		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR002/587/ERR2587658.sralite.1	ERX2603934	3028sTS.Rabbit.Kidney.6mpb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP108867	PRJEB26840		523151	ERS2490962	SAMEA4670349	simple	9986	Oryctolagus cuniculus	SAMEA4670349					male		no					Lausanne Genomics Technology Facility 	ERA1489861		public	FF749E9C0AAA7990AE8C18D5153A100B	4D7F9D615C5DD85F6C84C6CEEA32614D
ERR2587659	2019-02-19 07:53:39	2021-10-25 01:41:57	30756002	3106356202	0	101	1111		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR002/2587/ERR2587659/ERR2587659.lite.2	ERX2603935	3047sTS.Rabbit.Kidney.6mpb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP108867	PRJEB26840		523151	ERS2490963	SAMEA4670350	simple	9986	Oryctolagus cuniculus	SAMEA4670350					male		no					Lausanne Genomics Technology Facility 	ERA1489861		public	08CEB895D27A749797BAB80580857D7D	8D1AAD882B3FD26D3A5A9762BD3095B6
ERR2587660	2019-02-19 07:53:39	2019-02-23 18:02:06	0	0	0	0	1497		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR002/587/ERR2587660.sralite.1	ERX2603936	3015sTS.Rabbit.Liver.6mpb.Female_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP108867	PRJEB26840		523151	ERS2490964	SAMEA4670351	simple	9986	Oryctolagus cuniculus	SAMEA4670351					female		no					Lausanne Genomics Technology Facility 	ERA1489861		public	86203478BC9AB9776776FF6D0611904F	48E8215783E92A24BD89606E6A7E46D6
ERR2587661	2019-02-19 07:53:39	2021-10-25 01:51:29	28637392	2892376592	0	101	1736		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR002/2587/ERR2587661/ERR2587661.lite.2	ERX2603937	3029sTS.Rabbit.Liver.6mpb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP108867	PRJEB26840		523151	ERS2490965	SAMEA4670352	simple	9986	Oryctolagus cuniculus	SAMEA4670352					male		no					Lausanne Genomics Technology Facility 	ERA1489861		public	930D06FCA8A3AA3AF52AE260F8304419	AB91D92908C9D9C03EBFECD2A6CDD91F
ERR2587662	2019-02-19 07:53:39	2019-02-23 18:04:45	0	0	0	0	1907		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2587662/ERR2587662	ERX2603938	3079sTS.Rabbit.Liver.1ypb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP108867	PRJEB26840		523151	ERS2490966	SAMEA4670353	simple	9986	Oryctolagus cuniculus	SAMEA4670353					male		no					Lausanne Genomics Technology Facility 	ERA1489861		public	0E11197A1D6C659110E3964E0D78FB79	375E0AA42466256D4D312F5623B764EC
ERR2587663	2019-02-19 07:53:39	2019-02-23 18:03:33	0	0	0	0	1406		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2587663/ERR2587663	ERX2603939	3081sTS.Rabbit.Liver.6mpb.Female_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP108867	PRJEB26840		523151	ERS2490967	SAMEA4670354	simple	9986	Oryctolagus cuniculus	SAMEA4670354					female		no					Lausanne Genomics Technology Facility 	ERA1489861		public	539F2649140BBCD28B573CE7CC4B7091	E65A1522F7A60ADE339606FC27B4FB9F
ERR2587664	2019-02-19 07:53:39	2019-02-23 18:07:28	0	0	0	0	2713		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2587664/ERR2587664	ERX2603940	3016sTS.Rabbit.Ovary.6mpb.Female_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP108867	PRJEB26840		523151	ERS2490968	SAMEA4670355	simple	9986	Oryctolagus cuniculus	SAMEA4670355					female		no					Lausanne Genomics Technology Facility 	ERA1489861		public	B369B17B1109A21660ADD56BBB85D75C	5397E54B316E49694E74143D07E13F39
ERR2587665	2019-02-19 07:53:39	2021-10-25 02:11:47	39498252	3989323452	0	101	2626		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR002/2587/ERR2587665/ERR2587665.lite.2	ERX2603941	3024sTS.Rabbit.Ovary.6mpb.Female_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP108867	PRJEB26840		523151	ERS2490969	SAMEA4670356	simple	9986	Oryctolagus cuniculus	SAMEA4670356					female		no					Lausanne Genomics Technology Facility 	ERA1489861		public	BC722FC105625A27F02DD1DD43F2AD30	07E8CE34296DE1935B64E03EC1BBC3FA
ERR2587666	2019-02-19 07:53:39	2021-10-25 01:19:40	30380959	3068476859	0	101	1042		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR002/2587/ERR2587666/ERR2587666.lite.2	ERX2603942	3049sTS.Rabbit.Testis.6mpb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP108867	PRJEB26840		523151	ERS2490970	SAMEA4670357	simple	9986	Oryctolagus cuniculus	SAMEA4670357					male		no					Lausanne Genomics Technology Facility 	ERA1489861		public	A834603162EE36F7AA0C3B78C7233AAF	F2A0381AED7C2F8B7173B7EF2E1D94E9
ERR2587667	2019-02-19 07:53:39	2019-02-23 18:05:31	0	0	0	0	1193		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR002/587/ERR2587667.sralite.1	ERX2603943	4830sTS.Rabbit.Brain.12wpb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP108867	PRJEB26840		523151	ERS2490971	SAMEA4670358	simple	9986	Oryctolagus cuniculus	SAMEA4670358					male		no					Lausanne Genomics Technology Facility 	ERA1489861		public	17A46AF817065859A8419CB5C35C51EA	57445CE94865BD15EC8DF400BDFF4A32
ERR2587668	2019-02-19 07:53:39	2019-02-23 18:05:51	0	0	0	0	970		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR002/587/ERR2587668.sralite.1	ERX2603944	4836sTS.Rabbit.Brain.12wpb.Female_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP108867	PRJEB26840		523151	ERS2490972	SAMEA4670359	simple	9986	Oryctolagus cuniculus	SAMEA4670359					female		no					Lausanne Genomics Technology Facility 	ERA1489861		public	DDC4462FA0DFC62F54B1ACE0E203039D	BBF67556451C68F8443D1362BE8D5DFA
ERR2587669	2019-02-19 07:53:39	2019-02-23 18:04:18	0	0	0	0	850		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2587669/ERR2587669	ERX2603945	4917sTS.Rabbit.Brain.12wpb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP108867	PRJEB26840		523151	ERS2490973	SAMEA4670360	simple	9986	Oryctolagus cuniculus	SAMEA4670360					male		no					Lausanne Genomics Technology Facility 	ERA1489861		public	F27A5BB15A90D7CD923356F29793B4E1	80314543892F18C6C881A06A9D38E4CD
