Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR14639052	2021-05-25 12:05:32	2021-05-25 08:47:42	23311283	1165564150	0	50	624		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14639052/SRR14639052	SRX10977602	WW_C_N_2	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	SINGLE	0	0	BGISEQ	BGISEQ-500	SRP321240	PRJNA732534		732534	SRS9054258	SAMN19322117	simple	4530	Oryza sativa	WW_C_N_2							no					FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY	SRA1236553		public	3E9B0D3527A242616622A04FCEF1C7F0	1DB19F8036E9DA7F621D190D400E39FA
SRR14639051	2021-05-25 12:05:32	2021-05-25 08:46:19	23350065	1167503250	0	50	629		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14639051/SRR14639051	SRX10977603	WW_C_N_3	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	SINGLE	0	0	BGISEQ	BGISEQ-500	SRP321240	PRJNA732534		732534	SRS9054259	SAMN19322118	simple	4530	Oryza sativa	WW_C_N_3							no					FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY	SRA1236553		public	FD240804396054CA6CE96583833E59E4	00F0227527276E71DEEF583D5F1BFBA9
SRR14639050	2021-05-25 12:05:32	2021-05-25 08:46:24	23312367	1165618350	0	50	624		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14639050/SRR14639050	SRX10977604	WW_Pi_N_1	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	SINGLE	0	0	BGISEQ	BGISEQ-500	SRP321240	PRJNA732534		732534	SRS9054260	SAMN19322119	simple	4530	Oryza sativa	WW_Pi_N_1							no					FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY	SRA1236553		public	637AA30AA6EF910B0E3DDB1C304580C9	B37E95B89E2F78C3E24D1D02FC11747B
DRR286033	2021-05-22 12:41:00	2021-05-22 12:09:36	19315248	5794574400	19315248	300	1862		https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR286033/DRR286033	DRX275490		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	260	0	ILLUMINA	Illumina NovaSeq 6000	DRP007319	PRJDB11484		732138	DRS185524	SAMD00294547	simple	39947	Oryza sativa Japonica Group	SAMD00294547							no					RIKEN_CSRS	DRA011798		public	BC6AB269271AEE777BC992AD57A41F63	7DE09E7078EC753B30F44FAFFC1284DB
DRR286034	2021-05-22 12:41:00	2021-05-22 12:09:31	18531351	5559405300	18531351	300	1797		https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR286034/DRR286034	DRX275491		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	257	0	ILLUMINA	Illumina NovaSeq 6000	DRP007319	PRJDB11484		732138	DRS185525	SAMD00294548	simple	39947	Oryza sativa Japonica Group	SAMD00294548							no					RIKEN_CSRS	DRA011798		public	D72195A711E0DAED71E5A1C6DBC42B8B	DD001168CA3CFB4B00B10F6825A4827E
DRR286035	2021-05-22 12:41:00	2021-05-22 12:09:44	21581632	6474489600	21581632	300	2106		https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR286035/DRR286035	DRX275492		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	253	0	ILLUMINA	Illumina NovaSeq 6000	DRP007319	PRJDB11484		732138	DRS185526	SAMD00294549	simple	39947	Oryza sativa Japonica Group	SAMD00294549							no					RIKEN_CSRS	DRA011798		public	9D2AAA7E4FE71EA9451B8BFCDE083F21	1CB14E4174E34FD5FA184F93803DA88E
SRR14612112	2021-05-21 21:30:39	2021-05-26 10:39:29	356925290	7138505800	0	20	2522		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14612112/SRR14612112	SRX10954815	HMHTMBGX3	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP320826	PRJNA564338	2	564338	SRS9033091	SAMN19296187	simple	4530	Oryza sativa	HMHTMBGX3							no					NEW YORK UNIVERSITY	SRA1235104		public	FD2F6A9EB7D9B0C530BFED6CF32B3473	262F93F5116F2B9AB9E18C2B2B6A1B18
SRR14636785	2021-05-25 00:01:34	2021-05-24 22:17:26	32350819	9705245700	32350819	300	3428		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14636785/SRR14636785	SRX10976335	ABA_0.5h_1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP321214	PRJNA732471		732471	SRS9053583	SAMN19321382	simple	39947	Oryza sativa Japonica Group	ABA_0.5h_1							no					INSTITUTE OF GENETICS AND DEVELOPMENTAL BIOLOGY,CHINESE ACADEMY OF SCIENCES	SRA1236177		public	0830BD22BDFB3E22656B1006E8C47456	91D8D1CE3CED728D259F3F4734311E3B
SRR14636784	2021-05-25 00:01:34	2021-05-24 22:19:32	30226282	9067884600	30226282	300	3322		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14636784/SRR14636784	SRX10976336	ABA_0.5h_2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP321214	PRJNA732471		732471	SRS9053584	SAMN19321383	simple	39947	Oryza sativa Japonica Group	ABA_0.5h_2							no					INSTITUTE OF GENETICS AND DEVELOPMENTAL BIOLOGY,CHINESE ACADEMY OF SCIENCES	SRA1236177		public	A1FE19930D6E96BA480ACA927FF7D15B	A752525EA945B36BD4B7D7F3E4A39B57
SRR14636783	2021-05-25 00:01:34	2021-05-24 22:22:18	30214559	9064367700	30214559	300	3146		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14636783/SRR14636783	SRX10976337	ABA_0.5h_3	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP321214	PRJNA732471		732471	SRS9053586	SAMN19321384	simple	39947	Oryza sativa Japonica Group	ABA_0.5h_3							no					INSTITUTE OF GENETICS AND DEVELOPMENTAL BIOLOGY,CHINESE ACADEMY OF SCIENCES	SRA1236177		public	E9EFBA2230F843EE7D70BCEBE4450985	DF7A256B34CDB5145982E7FBD58C5EE1
SRR14636782	2021-05-25 00:01:34	2021-05-24 22:26:15	33181977	9954593100	33181977	300	3468		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14636782/SRR14636782	SRX10976338	ABA_1h_1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP321214	PRJNA732471		732471	SRS9053588	SAMN19321385	simple	39947	Oryza sativa Japonica Group	ABA_1h_1							no					INSTITUTE OF GENETICS AND DEVELOPMENTAL BIOLOGY,CHINESE ACADEMY OF SCIENCES	SRA1236177		public	5317439C326F4FFEC9521CC60DBF3235	0E000921C4B1EB4F7A508B6BE0B0ED5F
SRR14636781	2021-05-25 00:01:34	2021-05-24 22:15:36	32889657	9866897100	32889657	300	3475		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14636781/SRR14636781	SRX10976339	ABA_1h_2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP321214	PRJNA732471		732471	SRS9053587	SAMN19321386	simple	39947	Oryza sativa Japonica Group	ABA_1h_2							no					INSTITUTE OF GENETICS AND DEVELOPMENTAL BIOLOGY,CHINESE ACADEMY OF SCIENCES	SRA1236177		public	BA12E48C7C854BC3FF5D177E9772D1E0	70E1B099D96671FFE04082653B22C9E3
SRR14636780	2021-05-25 00:01:34	2021-05-24 22:17:06	29318927	8795678100	29318927	300	3063		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14636780/SRR14636780	SRX10976340	ABA_1h_3	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP321214	PRJNA732471		732471	SRS9053589	SAMN19321387	simple	39947	Oryza sativa Japonica Group	ABA_1h_3							no					INSTITUTE OF GENETICS AND DEVELOPMENTAL BIOLOGY,CHINESE ACADEMY OF SCIENCES	SRA1236177		public	8166AEB2267FB1A0E86EBF9CAA989D7A	1AFB7A308A6623B26B85D0B7745DDA12
SRR14636779	2021-05-25 00:01:34	2021-05-24 22:16:07	29907519	8972255700	29907519	300	3186		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14636779/SRR14636779	SRX10976341	ABA_2h_1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP321214	PRJNA732471		732471	SRS9053590	SAMN19321388	simple	39947	Oryza sativa Japonica Group	ABA_2h_1							no					INSTITUTE OF GENETICS AND DEVELOPMENTAL BIOLOGY,CHINESE ACADEMY OF SCIENCES	SRA1236177		public	29F566432AAFF94812BA0B58E866985C	0FCB919EC9A3484184B45624E751D12E
SRR14636778	2021-05-25 00:01:34	2021-05-24 22:30:08	30301974	9090592200	30301974	300	3215		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14636778/SRR14636778	SRX10976342	ABA_2h_2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP321214	PRJNA732471		732471	SRS9053591	SAMN19321389	simple	39947	Oryza sativa Japonica Group	ABA_2h_2							no					INSTITUTE OF GENETICS AND DEVELOPMENTAL BIOLOGY,CHINESE ACADEMY OF SCIENCES	SRA1236177		public	E2A336E66016E54172C02FABDE7C973B	D11617B652EEDBC55D4854E12E609C59
