Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR7286084	2019-07-01 00:58:06	2018-06-10 11:51:48	5352775	1081260550	5352775	202	671	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7286084/SRR7286084	SRX4189629	LIB18959	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP065762	PRJNA285788	3	285788	SRS3400858	SAMN09388347	simple	1437190	Osmia bicornis	Ctrl_1a	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY OF EXETER	SRA718375	NA	public	4803584FA4EE4900AEE1D729A05EF446	384CE00864D4E376422B3E66497B07F0
SRR7286083	2019-07-01 00:58:06	2018-06-10 11:52:15	6677772	1348909944	6677772	202	836	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR007/286/SRR7286083.sralite.1	SRX4189630	LIB18960	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP065762	PRJNA285788	3	285788	SRS3400857	SAMN09388348	simple	1437190	Osmia bicornis	Ctrl_2b	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY OF EXETER	SRA718375	NA	public	3FDB424169A0A61CE4653FD441E594FA	14778BE068574A69317A5E7F49B75844
SRR7286082	2019-07-01 00:58:06	2018-06-10 11:52:09	6399400	1292678800	6399400	202	797	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7286082/SRR7286082	SRX4189631	LIB18961	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP065762	PRJNA285788	3	285788	SRS3400859	SAMN09388349	simple	1437190	Osmia bicornis	Ctrl_3a	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY OF EXETER	SRA718375	NA	public	15B912852E4380BB4918CDFD91392671	0EE322A6FB0AC7606BF44DF17515D9F5
SRR7286081	2019-07-01 00:58:06	2018-06-10 11:54:30	11649981	2353296162	11649981	202	1454	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7286081/SRR7286081	SRX4189632	LIB18962	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP065762	PRJNA285788	3	285788	SRS3400860	SAMN09388350	simple	1437190	Osmia bicornis	Ctrl_4a	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY OF EXETER	SRA718375	NA	public	C2367000703068DA050771378D9882E8	7C1E8DC227B4469FF74C9CE5BFE5C013
SRR2895245	2016-12-05 10:56:42	2015-11-04 11:20:56	137316150	27737862300	137316150	202	16122	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/895/SRR2895245.sralite.1	SRX1411307	LIB8666	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	250	25	ILLUMINA	Illumina HiSeq 2000	SRP065762	PRJNA285788	3	285788	SRS1145920	SAMN04208325	simple	1437190	Osmia bicornis	F1	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	ROTHAMSTED RESEARCH	SRA309266	NA	public	24BB2B69FBD2ACA832D4EEC15DC188AF	ABE73ADF56ACADCA318265A22FF156A7
SRR2895246	2016-12-05 10:56:53	2015-11-04 10:45:20	24037074	4855488948	24037074	202	2961	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/895/SRR2895246.sralite.1	SRX1411308	LIB8667	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	250	25	ILLUMINA	Illumina HiSeq 2000	SRP065762	PRJNA285788	3	285788	SRS1145921	SAMN04208326	simple	1437190	Osmia bicornis	F2	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	ROTHAMSTED RESEARCH	SRA309266	NA	public	91496673DBEDA49DC7C9486EE4DA6C41	7710C1D7895DD68D63F94E1F83790A41
SRR2895247	2016-12-05 10:57:20	2015-11-04 11:29:02	26112783	5274782166	26112783	202	3217	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/895/SRR2895247.sralite.1	SRX1411309	LIB8668	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	250	25	ILLUMINA	Illumina HiSeq 2000	SRP065762	PRJNA285788	3	285788	SRS1145922	SAMN04208327	simple	1437190	Osmia bicornis	F4	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	ROTHAMSTED RESEARCH	SRA309266	NA	public	74F5BC251929CFF75D7CA69AB3CB6974	2A3D423B37F764E301B7C1913A4162B7
SRR2895248	2016-12-05 10:57:33	2015-11-04 11:46:13	29724389	6004326578	29724389	202	3661	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/895/SRR2895248.sralite.1	SRX1411310	LIB8669	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	250	25	ILLUMINA	Illumina HiSeq 2000	SRP065762	PRJNA285788	3	285788	SRS1145923	SAMN04208328	simple	1437190	Osmia bicornis	F5	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	ROTHAMSTED RESEARCH	SRA309266	NA	public	835D6E6D5C56B16235532E7460FF18D4	5543A1E31EE0DA123CC38B33E14EBAFB
SRR7286088	2019-07-01 00:58:06	2018-06-10 11:51:54	7215158	1457461916	7215158	202	903	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7286088/SRR7286088	SRX4189625	LIB18955	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP065762	PRJNA285788	3	285788	SRS3400853	SAMN09388343	simple	1437190	Osmia bicornis	IMI_G1b	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY OF EXETER	SRA718375	NA	public	0CA4119E011D505697AB3B59B50CBFBB	E2A84A7A19952054E79CBD5C3597048A
SRR7286087	2019-07-01 00:58:06	2018-06-10 11:51:43	5620806	1135402812	5620806	202	699	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7286087/SRR7286087	SRX4189626	LIB18956	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP065762	PRJNA285788	3	285788	SRS3400854	SAMN09388344	simple	1437190	Osmia bicornis	IMI_G2b	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY OF EXETER	SRA718375	NA	public	A3B51ED2D1EC3DFE7F6611845FCBCC52	3462CBCEE0D7BC073B31C81DC7B06301
