Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR9676031	2020-05-04 12:32:29	2019-07-12 16:04:37	31107943	7919854653	31107943	254	3273	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/676/SRR9676031.sralite.1	SRX6436439	Osmia lignaria 01	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP214474	PRJNA553801	NA	553801	SRS5091167	SAMN12250518	simple	473952	Osmia lignaria	Osmia lignaria 01	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNITED STATES DEPARTMENT OF AGRICULTURE, AGRICULTURAL RESEARCH SERVICE	SRA920105	NA	public	6427DAA07FEE5DA2144F1B54B2196C4C	BB1816982F05B084F305978869FBC9B1
SRR9676032	2020-05-04 12:32:29	2019-07-12 16:07:12	34206059	8715454854	34206059	254	3590	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/676/SRR9676032.sralite.1	SRX6436438	Osmia lignaria 02	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP214474	PRJNA553801	NA	553801	SRS5091166	SAMN12250519	simple	473952	Osmia lignaria	Osmia lignaria 02	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNITED STATES DEPARTMENT OF AGRICULTURE, AGRICULTURAL RESEARCH SERVICE	SRA920105	NA	public	C5DC024C97FA4875BD5BC892430BC850	3A0236525B7698AD5505E659EFB78954
SRR9676033	2020-05-04 12:32:29	2019-07-12 15:59:40	30369172	7777711440	30369172	256	3205	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR009/676/SRR9676033.sralite.1	SRX6436437	Osmia lignaria 03	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP214474	PRJNA553801	NA	553801	SRS5091165	SAMN12250520	simple	473952	Osmia lignaria	Osmia lignaria 03	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNITED STATES DEPARTMENT OF AGRICULTURE, AGRICULTURAL RESEARCH SERVICE	SRA920105	NA	public	D8FEEAB090DF546584169F95F4BB8B50	52E36B946882F905D1273D13FD581FA5
SRR9676034	2020-05-04 12:32:29	2019-07-12 16:03:25	42103550	10620056519	42103550	252	4340	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR009/676/SRR9676034.sralite.1	SRX6436436	Osmia lignaria 04	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP214474	PRJNA553801	NA	553801	SRS5091164	SAMN12250521	simple	473952	Osmia lignaria	Osmia lignaria 04	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNITED STATES DEPARTMENT OF AGRICULTURE, AGRICULTURAL RESEARCH SERVICE	SRA920105	NA	public	D17D04BCE0CEFF3909F39C7B22483DB0	7BDA111F1D98980A08768141579C15AB
SRR9676035	2020-05-04 12:32:29	2019-07-12 15:59:03	26091912	6753046947	26091912	258	2791	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9676035/SRR9676035	SRX6436435	Osmia lignaria 05	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP214474	PRJNA553801	NA	553801	SRS5091163	SAMN12250522	simple	473952	Osmia lignaria	Osmia lignaria 05	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNITED STATES DEPARTMENT OF AGRICULTURE, AGRICULTURAL RESEARCH SERVICE	SRA920105	NA	public	B5AE5A3C0BA40FEB7C902F93DFCA9FC7	22CCA3E21AA5817594FF4D8F7BA5618C
SRR9676036	2020-05-04 12:32:29	2019-07-12 15:58:43	28301859	7196992844	28301859	254	2954	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/676/SRR9676036.sralite.1	SRX6436434	Osmia lignaria 06	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP214474	PRJNA553801	NA	553801	SRS5091162	SAMN12250523	simple	473952	Osmia lignaria	Osmia lignaria 06	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNITED STATES DEPARTMENT OF AGRICULTURE, AGRICULTURAL RESEARCH SERVICE	SRA920105	NA	public	3D9DB14496C54F31B1BB824195DA1468	4BF83A4AE09F66495B34551F7725AA2C
SRR9676037	2020-05-04 12:32:29	2019-07-12 15:54:39	21952309	5565086866	21952309	253	2278	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9676037/SRR9676037	SRX6436433	Osmia lignaria 07	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP214474	PRJNA553801	NA	553801	SRS5091161	SAMN12250524	simple	473952	Osmia lignaria	Osmia lignaria 07	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNITED STATES DEPARTMENT OF AGRICULTURE, AGRICULTURAL RESEARCH SERVICE	SRA920105	NA	public	AFDA2A0EAADBAC4C378B154F3A933622	A6437E597D2F1AFF6525F6B8D2FB86D6
SRR9676038	2020-05-04 12:32:28	2019-07-12 15:59:22	25842439	6623750587	25842439	256	2729	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9676038/SRR9676038	SRX6436432	Osmia lignaria 08	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP214474	PRJNA553801	NA	553801	SRS5091160	SAMN12250525	simple	473952	Osmia lignaria	Osmia lignaria 08	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNITED STATES DEPARTMENT OF AGRICULTURE, AGRICULTURAL RESEARCH SERVICE	SRA920105	NA	public	C0AEF14A305F8546F91096AD58794451	4F9793725D688AFB5F49B43BB829F051
SRR9676029	2020-05-04 12:32:29	2019-07-12 15:58:11	29347199	7482264594	29347199	254	3073	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9676029/SRR9676029	SRX6436441	Osmia lignaria 09	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP214474	PRJNA553801	NA	553801	SRS5091169	SAMN12250526	simple	473952	Osmia lignaria	Osmia lignaria 09	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNITED STATES DEPARTMENT OF AGRICULTURE, AGRICULTURAL RESEARCH SERVICE	SRA920105	NA	public	C85B222BEDEF2EF092F4FB1E2A0BB286	E9DA0CCB15B259290A8908A2E1A6B467
SRR9676030	2020-05-04 12:32:29	2019-07-12 16:01:54	34385681	8686572353	34385681	252	3567	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/676/SRR9676030.sralite.1	SRX6436440	Osmia lignaria 10	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP214474	PRJNA553801	NA	553801	SRS5091168	SAMN12250527	simple	473952	Osmia lignaria	Osmia lignaria 10	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNITED STATES DEPARTMENT OF AGRICULTURE, AGRICULTURAL RESEARCH SERVICE	SRA920105	NA	public	E402EF4A6A2AF7B171C8C1F05CA77AA8	7B164DA07B6C69B68BEA15924BB49D09
