Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR13170297	2020-11-30 22:12:50	2020-11-30 22:05:09	36307176	10778562464	36307176	296	3934		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13170297/SRR13170297	SRX9608665	low-2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP295197	PRJNA681364		681364	SRS7811996	SAMN16951302	simple	9940	Ovis aries	L2 biological replicate 2					female		no					NANJING AGRICULTURAL UNIVERSITY	SRA1164800		public	04F554ACBF08CF14B3A2DDD309453710	640E0743D26DC1F050916FCE5A11DBFD
SRR13170296	2020-11-30 22:15:48	2020-11-30 22:09:06	44600672	13235569958	44600672	296	4840		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13170296/SRR13170296	SRX9608666	low-3	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP295197	PRJNA681364		681364	SRS7811997	SAMN16951303	simple	9940	Ovis aries	L3 biological replicate 3					female		no					NANJING AGRICULTURAL UNIVERSITY	SRA1164800		public	E5D5E16D7B660471D1007B946B4276A3	CD89FAB851E4FA9C6328BD51AF0A6DBE
SRR13170295	2020-11-30 22:12:50	2020-11-30 22:08:44	72380266	10830330728	0	149	4151		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13170295/SRR13170295	SRX9608667	T-low-1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP295197	PRJNA681364		681364	SRS7812001	SAMN16951304	simple	9940	Ovis aries	L4 biological replicate 1					female		no					NANJING AGRICULTURAL UNIVERSITY	SRA1164800		public	5B3AD1894A0D46F8C7BF7E7F89E2A9AF	70A7B88186CDA4C0CB1D32B6A726706A
SRR13170294	2020-11-30 22:15:48	2020-11-30 22:09:27	40489380	12121869722	40489380	299	4889		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13170294/SRR13170294	SRX9608668	T-low-2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP295197	PRJNA681364		681364	SRS7811998	SAMN16951305	simple	9940	Ovis aries	L5 biological replicate 2					female		no					NANJING AGRICULTURAL UNIVERSITY	SRA1164800		public	77A07C286F52BFF7E3F79A034A4B24BD	646621233D4DFF37116CFD98C6E219FB
SRR13170293	2020-11-30 22:12:50	2020-11-30 22:05:28	56606243	8474376623	0	149	3178		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13170293/SRR13170293	SRX9608669	T-low-3	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP295197	PRJNA681364		681364	SRS7811999	SAMN16951306	simple	9940	Ovis aries	L6 biological replicate 3					female		no					NANJING AGRICULTURAL UNIVERSITY	SRA1164800		public	D6480CADC31AAD3631EC7A019E9F7045	FC976D33CF4EAF88FB08D0F61DD849CB
SRR13213341	2020-12-08 00:38:47	2020-12-08 00:37:00	534402	12350475	0	23	4		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13213341/SRR13213341	SRX9646379	gan108	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP296918	PRJNA682702		682702	SRS7845549	SAMN17007143	simple	9940	Ovis aries	gan108					female		no					SHIHEZI UNIVERSITY	SRA1168476		public	D6D9BB04424743C4E2677BEFE132EE34	EB93081C068A3A87A6E3D21BBAB92AF2
SRR13213336	2020-12-08 00:38:47	2020-12-08 00:37:00	399377	9072863	0	22	3		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13213336/SRR13213336	SRX9646384	gan109	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP296918	PRJNA682702		682702	SRS7845554	SAMN17007575	simple	9940	Ovis aries	gan109					female		no					SHIHEZI UNIVERSITY	SRA1168476		public	97C35547B67326D7700C47C95794F428	C47A2BE3DB2D79533B9F5A00CC617CC8
SRR13213335	2020-12-08 00:38:47	2020-12-08 00:37:05	539448	12008845	0	22	4		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13213335/SRR13213335	SRX9646385	gan110	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP296918	PRJNA682702		682702	SRS7845555	SAMN17007577	simple	9940	Ovis aries	gan110					female		no					SHIHEZI UNIVERSITY	SRA1168476		public	58116A25A95CA04B7DCCD2EAA7ADB8BD	FDDCCA3F13E2B33F25F0077B63CC785E
SRR13213342	2020-12-08 00:38:47	2020-12-08 00:37:08	421793	9904533	0	23	3		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13213342/SRR13213342	SRX9646378	gan113	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP296918	PRJNA682702		682702	SRS7845548	SAMN17005799	simple	9940	Ovis aries	gan113					female		no					SHIHEZI UNIVERSITY	SRA1168476		public	CA6F46B97911882C8269CC5727F583F3	1054A06975E64F6BE7B53CC109501101
SRR13213340	2020-12-08 00:38:47	2020-12-08 00:37:05	624628	14151602	0	22	4		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13213340/SRR13213340	SRX9646380	gan114	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP296918	PRJNA682702		682702	SRS7845550	SAMN17007144	simple	9940	Ovis aries	gan114					female		no					SHIHEZI UNIVERSITY	SRA1168476		public	9113B7ECF8D7EE742398992DAD48A821	364E447740338F7BFA7603955E2C90FF
SRR13213337	2020-12-08 00:39:24	2020-12-08 00:37:20	711432	16564817	0	23	5		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13213337/SRR13213337	SRX9646383	gan115	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP296918	PRJNA682702		682702	SRS7845553	SAMN17007574	simple	9940	Ovis aries	gan115					female		no					SHIHEZI UNIVERSITY	SRA1168476		public	00F2A413F201B88FA628CA1DB5127600	3945D4C86542C83035529F09E2FE7A16
SRR13213339	2020-12-08 00:38:47	2020-12-08 00:37:00	486473	10953223	0	22	3		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13213339/SRR13213339	SRX9646381	gan116	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP296918	PRJNA682702		682702	SRS7845551	SAMN17007145	simple	9940	Ovis aries	gan116					female		no					SHIHEZI UNIVERSITY	SRA1168476		public	BEF747510A16C85D255589B5AA8701B7	46993D3AC2406F6042AFB018AD515E55
SRR13213338	2020-12-08 00:38:47	2020-12-08 00:37:08	501438	11154657	0	22	3		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13213338/SRR13213338	SRX9646382	gan118	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP296918	PRJNA682702		682702	SRS7845552	SAMN17007573	simple	9940	Ovis aries	gan118					female		no					SHIHEZI UNIVERSITY	SRA1168476		public	D6CE40D7A1F47DB68D515AC0733DA8A0	B5A4ABE2B2D4B7FCD5980C8B072E67A3
