Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR8495625	2019-02-04 16:49:18	2019-01-28 21:22:17	4000000	608000000	4000000	152	328	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8495625/SRR8495625	SRX5299934		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP182673	PRJNA517454	3	517454	SRS4298890	SAMN10833249	simple	8884	Oxyura jamaicensis	GSM3581488	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA840331	NA	public	244269FA6A6E1E8DDB4F92015126D33D	7DF6A83CEF4B1F67D71C1F5CE17B34F0
SRR8495626	2019-02-04 16:49:18	2019-01-28 21:22:01	4000000	608000000	4000000	152	333	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/495/SRR8495626.sralite.1	SRX5299934		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP182673	PRJNA517454	3	517454	SRS4298890	SAMN10833249	simple	8884	Oxyura jamaicensis	GSM3581488	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA840331	NA	public	9C195F62180B9B189069E681C55D992A	3F2CC5392016B87A3AA0A76D92B3E304
SRR8495627	2019-02-04 16:49:18	2019-01-28 21:22:43	4000000	608000000	4000000	152	325	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/495/SRR8495627.sralite.1	SRX5299934		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP182673	PRJNA517454	3	517454	SRS4298890	SAMN10833249	simple	8884	Oxyura jamaicensis	GSM3581488	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA840331	NA	public	32776FB94ED93A464756987C342F8032	5460F054FD9811FAC1ABB5773C736278
SRR8495628	2019-02-04 16:49:18	2019-01-28 21:22:20	4000000	608000000	4000000	152	318	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8495628/SRR8495628	SRX5299934		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP182673	PRJNA517454	3	517454	SRS4298890	SAMN10833249	simple	8884	Oxyura jamaicensis	GSM3581488	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA840331	NA	public	E72C6E1ED586212F5620EDEA2F039108	33EEDA4E5F38604E6FE2711790F95C0A
SRR8495629	2019-02-04 16:49:18	2019-01-28 21:23:10	4000000	608000000	4000000	152	319	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/495/SRR8495629.sralite.1	SRX5299934		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP182673	PRJNA517454	3	517454	SRS4298890	SAMN10833249	simple	8884	Oxyura jamaicensis	GSM3581488	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA840331	NA	public	57422D0D60EB4466D0A8DA1E4795BE78	A245667FD1AF1B84CD3AEC98A4502C70
SRR8495630	2019-02-04 16:49:18	2019-01-28 21:22:17	4000000	608000000	4000000	152	329	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8495630/SRR8495630	SRX5299934		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP182673	PRJNA517454	3	517454	SRS4298890	SAMN10833249	simple	8884	Oxyura jamaicensis	GSM3581488	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA840331	NA	public	6F32AEA071A865822CAD5751DB0228D0	6E38F09D16626644838AC298A1F4647C
SRR8495631	2019-02-04 16:49:18	2019-01-28 21:22:14	4000000	608000000	4000000	152	322	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8495631/SRR8495631	SRX5299934		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP182673	PRJNA517454	3	517454	SRS4298890	SAMN10833249	simple	8884	Oxyura jamaicensis	GSM3581488	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA840331	NA	public	73D28A584291393A01A55B9112C01F37	5791F58353D7FF9D8237FECDF051DB7A
SRR8495632	2019-02-04 16:49:18	2019-01-28 21:21:51	2905857	441690264	2905857	152	233	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/495/SRR8495632.sralite.1	SRX5299934		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP182673	PRJNA517454	3	517454	SRS4298890	SAMN10833249	simple	8884	Oxyura jamaicensis	GSM3581488	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA840331	NA	public	16472759FDD15C7260C66331DA34BC83	02BA74444777FDC625B51DC875B8F6F7
SRR8495633	2019-02-04 16:49:18	2019-01-28 21:23:24	4000000	608000000	4000000	152	351	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/495/SRR8495633.sralite.1	SRX5299934		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP182673	PRJNA517454	3	517454	SRS4298890	SAMN10833249	simple	8884	Oxyura jamaicensis	GSM3581488	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA840331	NA	public	42C619F6F1DE91F6FDEBA864E3A16183	C7ED6E3CFE2725A45C17D46926DC3821
SRR8495634	2019-02-04 16:49:18	2019-01-28 21:22:54	4000000	608000000	4000000	152	348	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8495634/SRR8495634	SRX5299934		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP182673	PRJNA517454	3	517454	SRS4298890	SAMN10833249	simple	8884	Oxyura jamaicensis	GSM3581488	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA840331	NA	public	5C3D1C97BE98703E4C67569DD68E0805	4FDBA9712385ADA3299E6D48A5ADE658
