Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR12415991	2020-08-11 16:26:36	2020-08-08 16:16:35	50814127	5132226827	0	101	3481		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12415991/SRR12415991	SRX8912082		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP276959	PRJNA656189	3	656189	SRS7168945	SAMN15767855	simple	9598	Pan troglodytes	GSM4715718							no					GEO	SRA1110407		public	246FCE42DF98C2C403417B713EEB1BD1	8FC88BF093916D8A2920341C0AB2D3C1
SRR12416010	2020-08-11 16:26:36	2020-08-08 16:12:09	33756558	3409412358	0	101	2345		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12416010/SRR12416010	SRX8912101		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP276959	PRJNA656189	3	656189	SRS7168964	SAMN15767836	simple	9598	Pan troglodytes	GSM4715737							no					GEO	SRA1110407		public	B3A7A2B4CD34ADF42F2F7B352672502A	88BF80C11C8CEE804A24C0DA82CF364D
SRR12416011	2020-08-11 16:26:36	2020-08-08 16:19:26	51347479	5186095379	0	101	3603		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12416011/SRR12416011	SRX8912102		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP276959	PRJNA656189	3	656189	SRS7168965	SAMN15767835	simple	9598	Pan troglodytes	GSM4715738							no					GEO	SRA1110407		public	DCCCF47C3B482E8462BEF64BB8E8FADC	6A385E0C6216DE586FA886C76A1B2052
SRR12416012	2020-08-11 16:26:36	2020-08-08 16:19:29	53255237	5378778937	0	101	3689		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12416012/SRR12416012	SRX8912103		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP276959	PRJNA656189	3	656189	SRS7168966	SAMN15767834	simple	9598	Pan troglodytes	GSM4715739							no					GEO	SRA1110407		public	493492756DC2F2284E9FB6B834C4F814	20DEC10F14E726BCCB5CC15C24F618BE
SRR12416013	2020-08-11 16:26:36	2020-08-08 16:14:16	46476544	4694130944	0	101	3233		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12416013/SRR12416013	SRX8912104		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP276959	PRJNA656189	3	656189	SRS7168967	SAMN15767833	simple	9598	Pan troglodytes	GSM4715740							no					GEO	SRA1110407		public	E91F05F8D74302B3CF6ABFE2AF25AA96	097F0828C75DAFDBD0A7828EEE373783
SRR12416014	2020-08-11 16:26:36	2020-08-08 16:13:41	35760561	3611816661	0	101	2512		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12416014/SRR12416014	SRX8912105		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP276959	PRJNA656189	3	656189	SRS7168968	SAMN15767832	simple	9598	Pan troglodytes	GSM4715741							no					GEO	SRA1110407		public	5EB704AF96DFFDC06630FD5B4767BB06	99FC149384CA8F7D89C662071757FF7F
SRR12416015	2020-08-11 16:26:36	2020-08-08 16:16:43	46829845	4729814345	0	101	3259		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12416015/SRR12416015	SRX8912106		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP276959	PRJNA656189	3	656189	SRS7168969	SAMN15767831	simple	9598	Pan troglodytes	GSM4715742							no					GEO	SRA1110407		public	19026D530F1A02F040A8A1AED607075B	69074A9D796B9214ECD80D2F2E73E9A8
SRR12416016	2020-08-11 16:26:36	2020-08-08 16:17:10	38457663	3884223963	0	101	2703		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12416016/SRR12416016	SRX8912107		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP276959	PRJNA656189	3	656189	SRS7168970	SAMN15767830	simple	9598	Pan troglodytes	GSM4715743							no					GEO	SRA1110407		public	59FC3FBD6620FEE94036B4344DF01DCF	920D01DCD9FF2934F63E62E20A8E18D4
SRR12416017	2020-08-11 16:26:36	2020-08-08 16:14:19	38248157	3863063857	0	101	2640		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12416017/SRR12416017	SRX8912108		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP276959	PRJNA656189	3	656189	SRS7168971	SAMN15767829	simple	9598	Pan troglodytes	GSM4715744							no					GEO	SRA1110407		public	8BB03E3540062B2B58E67E4050F41DFB	B438047B635408B9922C74306547CC8A
SRR12416018	2020-08-11 16:26:36	2020-08-08 16:32:05	46590945	4705685445	0	101	3246		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12416018/SRR12416018	SRX8912109		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP276959	PRJNA656189	3	656189	SRS7168972	SAMN15767865	simple	9598	Pan troglodytes	GSM4715745							no					GEO	SRA1110407		public	4B083E9C148290D65A1187C8256B57C6	FEA7C33B46FFD44AAC04FE43A6A4851A
SRR12416019	2020-08-11 16:26:36	2020-08-08 16:12:39	35729293	3608658593	0	101	2485		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12416019/SRR12416019	SRX8912110		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP276959	PRJNA656189	3	656189	SRS7168973	SAMN15767864	simple	9598	Pan troglodytes	GSM4715746							no					GEO	SRA1110407		public	031B1A288C9A8F9087EC64C6B2972D77	264CD7009D5EA77F9FD318441052FE42
SRR12416020	2020-08-11 16:26:36	2020-08-08 16:18:10	49403328	4989736128	0	101	3411		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12416020/SRR12416020	SRX8912111		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP276959	PRJNA656189	3	656189	SRS7168974	SAMN15767863	simple	9598	Pan troglodytes	GSM4715747							no					GEO	SRA1110407		public	79B20E91C5CF6AAF123A7AFE15D0B1CA	789330D9847BCE83B405B587ED4B15E5
SRR12416049	2020-08-11 16:26:37	2020-08-08 16:14:04	32868929	3319761829	0	101	2361		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12416049/SRR12416049	SRX8912140		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP276959	PRJNA656189	3	656189	SRS7169003	SAMN15767805	simple	9598	Pan troglodytes	GSM4715776							no					GEO	SRA1110407		public	A67521B660BE0E9D448D7F4DDC9F49E1	663BB31C5636BFCD594C876D160716C3
SRR12416050	2020-08-11 16:26:37	2020-08-08 16:11:28	30745749	3105320649	0	101	2222		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12416050/SRR12416050	SRX8912141		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP276959	PRJNA656189	3	656189	SRS7169004	SAMN15767804	simple	9598	Pan troglodytes	GSM4715777							no					GEO	SRA1110407		public	C1992C9349CCFDD86FEA9B2B40F9B740	AE116D1545AA349A8FE7F9C22893B500
SRR12416051	2020-08-11 16:26:37	2020-08-08 16:16:07	42747424	4317489824	0	101	2994		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12416051/SRR12416051	SRX8912142		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP276959	PRJNA656189	3	656189	SRS7169006	SAMN15767803	simple	9598	Pan troglodytes	GSM4715778							no					GEO	SRA1110407		public	46707671FEF2F13DF4968D4F68F018E0	653D2277BBE93481E02898AF733D818D
SRR12416052	2020-08-11 16:26:37	2020-08-08 16:16:46	44348471	4479195571	0	101	3103		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12416052/SRR12416052	SRX8912143		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP276959	PRJNA656189	3	656189	SRS7169005	SAMN15767802	simple	9598	Pan troglodytes	GSM4715779							no					GEO	SRA1110407		public	FDFDE9FA95816246B8DEC2ABAB3722BE	A6A408D8F821E33167F406A353F1AC4B
SRR12416053	2020-08-11 16:26:37	2020-08-08 16:18:57	42676087	4310284787	0	101	2945		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12416053/SRR12416053	SRX8912144		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP276959	PRJNA656189	3	656189	SRS7169007	SAMN15767801	simple	9598	Pan troglodytes	GSM4715780							no					GEO	SRA1110407		public	994227924E672169DF3890C64DFB8BF2	C7B8A30140B427BA83A0FD883514230D
SRR12416054	2020-08-11 16:26:37	2020-08-08 16:11:58	31695549	3201250449	0	101	2208		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12416054/SRR12416054	SRX8912145		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP276959	PRJNA656189	3	656189	SRS7169008	SAMN15767800	simple	9598	Pan troglodytes	GSM4715781							no					GEO	SRA1110407		public	1FBDF1413BE3B4282135D8CFC784C81E	DB168B97741744531A66106A2B59D780
SRR12416055	2020-08-11 16:26:37	2020-08-08 16:14:07	44582808	4502863608	0	101	3133		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12416055/SRR12416055	SRX8912146		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP276959	PRJNA656189	3	656189	SRS7169009	SAMN15767799	simple	9598	Pan troglodytes	GSM4715782							no					GEO	SRA1110407		public	21F893159B43ADA8D8D1359692D4BEFB	E5C0F0763FACE9A63998960473726E2E
SRR12416056	2020-08-11 16:26:37	2020-08-08 16:16:31	31421382	3173559582	0	101	2270		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12416056/SRR12416056	SRX8912147		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP276959	PRJNA656189	3	656189	SRS7169010	SAMN15767798	simple	9598	Pan troglodytes	GSM4715783							no					GEO	SRA1110407		public	E93985A7EEC68C71E7EAC4E6EE25D080	2B03D053BE29D00FB74769B5FEDA0D1A
SRR12638406	2020-09-14 20:10:23	2020-09-14 20:08:51	36788	90522996	0	2460	76		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12638406/SRR12638406	SRX9120463	Chimpanzee lymphoblast	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	PACBIO_SMRT	Sequel II	SRP282354	PRJNA657884		657884	SRS7362995	SAMN16130077	simple	9598	Pan troglodytes	Chimpanzee lymphoblast					female		no					UNIVERSITY OF WASHINGTON	SRA1125305		public	703EB2009EE65F92C26DC133DC1448FC	03F5E39F7CED0744F34C5053CA7A2EB1
SRR12764816	2020-10-06 16:22:56	2020-10-02 11:38:14	41999973	4199997300	41999973	100	2229		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12764816/SRR12764816	SRX9235506		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP286184	PRJNA667056	3	667056	SRS7468856	SAMN16351625	simple	9598	Pan troglodytes	GSM4816016							no					GEO	SRA1137064		public	9BC297009308CACEA51FB13573BD4B8B	ED793456405947CA048D47F5DFA95DFD
SRR12764817	2020-10-06 16:22:56	2020-10-02 11:41:10	40814483	4081448300	40814483	100	2352		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12764817/SRR12764817	SRX9235507		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP286184	PRJNA667056	3	667056	SRS7468857	SAMN16351624	simple	9598	Pan troglodytes	GSM4816017							no					GEO	SRA1137064		public	B4DC45FF9053FB5C1C90A36169F74057	E110A4EEB2C685E0BD4C0976FA4ACC15
SRR12764818	2020-10-07 21:28:33	2020-10-07 21:24:00	50881706	5088170600	50881706	100	2821		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12764818/SRR12764818	SRX9235508		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP286184	PRJNA667056	3	667056	SRS7468858	SAMN16351622	simple	9598	Pan troglodytes	GSM4816018							no					GEO	SRA1137064		public	13F9D461F58BE58B7A7A77F0D148344F	1E63EBD81ABB3305C8D97E0F948BCB06
SRR12764819	2020-10-06 16:22:56	2020-10-02 11:38:06	41706488	4170648800	41706488	100	2232		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12764819/SRR12764819	SRX9235509		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP286184	PRJNA667056	3	667056	SRS7468859	SAMN16351621	simple	9598	Pan troglodytes	GSM4816019							no					GEO	SRA1137064		public	C57E7957DD3CCF13F1C8DA4226E62FDF	4722195B7D8D588EDE8D3F0E1A3AEEDB
SRR12764820	2020-10-06 16:22:56	2020-10-02 11:41:23	43467066	4346706600	43467066	100	2486		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR012/12764/SRR12764820/SRR12764820.lite.1	SRX9235510		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP286184	PRJNA667056	3	667056	SRS7468860	SAMN16351619	simple	9598	Pan troglodytes	GSM4816020							no					GEO	SRA1137064		public	4813D513547ADF47A14BF755992CABBF	E6CDAB6995A3B975C1A818EFD51CCA53
SRR12764821	2020-10-06 16:22:56	2020-10-02 11:43:16	63469699	6346969900	63469699	100	3507		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12764821/SRR12764821	SRX9235511		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP286184	PRJNA667056	3	667056	SRS7468861	SAMN16351637	simple	9598	Pan troglodytes	GSM4816021							no					GEO	SRA1137064		public	C864E92A5B7B3A514EC6F5AD6041D920	75F3FBE99F3B3D81FD6E670B1C33A4ED
SRR11247642	2020-10-09 17:10:20	2020-03-05 19:24:30	73795649	22286285998	73795649	302	9019		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11247642/SRR11247642	SRX7858153		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP251762	PRJNA610639	3	610639	SRS6267237	SAMN14308112	simple	9598	Pan troglodytes	GSM4386939							no					GEO	SRA1051532		public	3FB4298054AA320DF8223C99364392C7	84EA37EC20EB5FDB384B17FF28D23551
SRR11247643	2020-10-09 17:10:20	2020-03-05 19:22:53	74921953	22626429806	74921953	302	9093		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11247643/SRR11247643	SRX7858153		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP251762	PRJNA610639	3	610639	SRS6267237	SAMN14308112	simple	9598	Pan troglodytes	GSM4386939							no					GEO	SRA1051532		public	3E4ACA8302480E5B33FDB44B20DF5BCF	9DA160AE21D667509C53225957F357F8
