Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR12759550	2020-10-01 11:55:13	2020-10-01 11:54:23	6511979	983308829	0	151	333		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12759550/SRR12759550	SRX9230316	IXRM_tagseq_L-2_Dev-1_I978_L2_R1.fastq	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP286024	PRJNA666892		666892	SRS7463741	SAMN16330843	simple	206008	Panicum hallii	FIL05001							no					THE UNIVERSITY OF TEXAS AT AUSTIN	SRA1136636		public	1677FD4AA87F3C6FB751CA701010BA8E	C88A0CE1B3ECEF463BB9F4B0DC39F020
SRR12759549	2020-10-01 12:35:14	2020-10-01 12:33:24	53532399	8083392249	0	151	2803		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12759549/SRR12759549	SRX9230317	IXRM_tagseq_L-2_Dev-2_I978_L2_R1.fastq	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP286024	PRJNA666892		666892	SRS7463745	SAMN16330844	simple	206008	Panicum hallii	FIL05002							no					THE UNIVERSITY OF TEXAS AT AUSTIN	SRA1136636		public	672F287EF3057CFA62AF9B7D3C08BA2F	DCFDFB9026D76D446142506FF6E293EA
SRR12759538	2020-10-01 12:20:00	2020-10-01 12:15:11	33001313	4983198263	0	151	1706		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12759538/SRR12759538	SRX9230328	IXRM_tagseq_L-2_Dev-3_I978_L2_R1.fastq	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP286024	PRJNA666892		666892	SRS7463753	SAMN16330845	simple	206008	Panicum hallii	FIL05003							no					THE UNIVERSITY OF TEXAS AT AUSTIN	SRA1136636		public	4B51BEF3A641D66AEA44E58D9203A239	F6EFC953383F1CB628F28589BC2B0816
SRR12759533	2020-10-01 11:55:13	2020-10-01 11:53:50	7495542	1131826842	0	151	401		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12759533/SRR12759533	SRX9230333	IXRM_tagseq_L-2_Dev-4_I978_L2_R1.fastq	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP286024	PRJNA666892		666892	SRS7463758	SAMN16330846	simple	206008	Panicum hallii	FIL10001							no					THE UNIVERSITY OF TEXAS AT AUSTIN	SRA1136636		public	DB2A72CD5F81ADA8C8061E1D01E3BFD3	07D217F85B6860B84CCC0DCCC1FBC889
SRR12759532	2020-10-01 11:54:54	2020-10-01 11:51:07	3709760	560173760	0	151	194		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12759532/SRR12759532	SRX9230334	IXRM_tagseq_L-2_Dev-5_I978_L2_R1.fastq	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP286024	PRJNA666892		666892	SRS7463759	SAMN16330847	simple	206008	Panicum hallii	FIL10002							no					THE UNIVERSITY OF TEXAS AT AUSTIN	SRA1136636		public	ADAECF754BB7D9A4DB3645E9C10C5BB4	20B0CCC92DAA1CED226861667EEF8E33
SRR12759531	2020-10-01 11:55:13	2020-10-01 11:54:18	9330705	1408936455	0	151	492		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12759531/SRR12759531	SRX9230335	IXRM_tagseq_L-2_Dev-6_I978_L2_R1.fastq	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP286024	PRJNA666892		666892	SRS7463760	SAMN16330848	simple	206008	Panicum hallii	FIL10003							no					THE UNIVERSITY OF TEXAS AT AUSTIN	SRA1136636		public	906E06C19EB8158A3357CF3E7FB3E35D	EA8DC602EFA68D8B7EB0BD090B4ECCD7
SRR12759530	2020-10-01 11:55:13	2020-10-01 11:53:53	7589048	1145946248	0	151	403		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12759530/SRR12759530	SRX9230336	IXRM_tagseq_L-2_Dev-7_I978_L2_R1.fastq	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP286024	PRJNA666892		666892	SRS7463762	SAMN16330849	simple	206008	Panicum hallii	FIL15001							no					THE UNIVERSITY OF TEXAS AT AUSTIN	SRA1136636		public	CB6A78B2E3B6EF30C2B8C0E91D3CD3A5	BB64F82D93CB55B9151340740FCBDBFC
SRR12759529	2020-10-01 12:02:08	2020-10-01 11:58:50	14541626	2195785526	0	151	775		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12759529/SRR12759529	SRX9230337	IXRM_tagseq_L-2_Dev-8_I978_L2_R1.fastq	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP286024	PRJNA666892		666892	SRS7463761	SAMN16330850	simple	206008	Panicum hallii	FIL15002							no					THE UNIVERSITY OF TEXAS AT AUSTIN	SRA1136636		public	2853AC7BC1D56D0D6BE614445F67C2E4	25A2F4F65379867C710B13A1555AC333
SRR12759528	2020-10-01 11:54:54	2020-10-01 11:51:52	4352365	657207115	0	151	229		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12759528/SRR12759528	SRX9230338	IXRM_tagseq_L-2_Dev-9_I978_L2_R1.fastq	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP286024	PRJNA666892		666892	SRS7463763	SAMN16330851	simple	206008	Panicum hallii	FIL15003							no					THE UNIVERSITY OF TEXAS AT AUSTIN	SRA1136636		public	9511ACAE20C08C95D2C27D0D2EE17FEF	250087FE4FB986D1F1773F17C5EAE45F
SRR12759527	2020-10-01 11:59:14	2020-10-01 11:57:31	11951804	1804722404	0	151	652		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12759527/SRR12759527	SRX9230339	IXRM_tagseq_L-2_Dev-10_I978_L2_R1.fastq	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP286024	PRJNA666892		666892	SRS7463764	SAMN16330852	simple	206008	Panicum hallii	FILMS001							no					THE UNIVERSITY OF TEXAS AT AUSTIN	SRA1136636		public	529882606AB44CCEBAE21303A031BC7B	D2EEF1B4F5DAE7EEE98DED308F0C3386
SRR12759548	2020-10-01 11:54:53	2020-10-01 11:51:46	4012559	605896409	0	151	205		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12759548/SRR12759548	SRX9230318	IXRM_tagseq_L-2_Dev-11_I978_L2_R1.fastq	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP286024	PRJNA666892		666892	SRS7463742	SAMN16330853	simple	206008	Panicum hallii	FILMS002							no					THE UNIVERSITY OF TEXAS AT AUSTIN	SRA1136636		public	B0D17FA80CB8E22BF5B9107826BA8FC8	C5F8D91BA2A78F85FE9A1B92091897CB
SRR12759547	2020-10-01 11:55:13	2020-10-01 11:54:46	7628378	1151885078	0	151	400		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12759547/SRR12759547	SRX9230319	IXRM_tagseq_L-2_Dev-12_I978_L2_R1.fastq	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP286024	PRJNA666892		666892	SRS7463743	SAMN16330854	simple	206008	Panicum hallii	FILMS003							no					THE UNIVERSITY OF TEXAS AT AUSTIN	SRA1136636		public	982BBD60FC2B8151328E0EC213FF3D0A	750966628221C079C92E57E7F93D86B3
SRR12759546	2020-10-01 11:54:53	2020-10-01 11:49:59	295278	44586978	0	151	16		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12759546/SRR12759546	SRX9230320	IXRM_tagseq_L-2_Dev-13_I978_L2_R1.fastq	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP286024	PRJNA666892		666892	SRS7463744	SAMN16330855	simple	206008	Panicum hallii	HAL05001							no					THE UNIVERSITY OF TEXAS AT AUSTIN	SRA1136636		public	CD46CEF595E58E6FA78434725D8748AC	80A14B9923F4C59F4B43D45996A9752B
SRR12759545	2020-10-01 11:54:54	2020-10-01 11:51:02	1899809	286871159	0	151	103		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12759545/SRR12759545	SRX9230321	IXRM_tagseq_L-2_Dev-14_I978_L2_R1.fastq	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP286024	PRJNA666892		666892	SRS7463746	SAMN16330856	simple	206008	Panicum hallii	HAL05002							no					THE UNIVERSITY OF TEXAS AT AUSTIN	SRA1136636		public	D88F59E4E31D8AF634E0323BE605F4B8	A9B019197ED9C4E562FBC4986ED11226
SRR12759544	2020-10-01 11:54:54	2020-10-01 11:50:19	796392	120255192	0	151	44		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12759544/SRR12759544	SRX9230322	IXRM_tagseq_L-2_Dev-15_I978_L2_R1.fastq	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP286024	PRJNA666892		666892	SRS7463747	SAMN16330857	simple	206008	Panicum hallii	HAL05003							no					THE UNIVERSITY OF TEXAS AT AUSTIN	SRA1136636		public	25F54E851B78AC67C34E102F0B53DE9E	584E8D9F529D4D5593F255E993E4E308
SRR12759543	2020-10-01 11:55:13	2020-10-01 11:53:13	6557396	990166796	0	151	356		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12759543/SRR12759543	SRX9230323	IXRM_tagseq_L-2_Dev-16_I978_L2_R1.fastq	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP286024	PRJNA666892		666892	SRS7463748	SAMN16330858	simple	206008	Panicum hallii	HAL10001							no					THE UNIVERSITY OF TEXAS AT AUSTIN	SRA1136636		public	35317652FE17C9B4B5BB46463B66946A	240040C0F73E52188EF43F6F5CDBD5E8
SRR12759542	2020-10-01 11:58:33	2020-10-01 11:55:15	7528227	1136762277	0	151	412		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12759542/SRR12759542	SRX9230324	IXRM_tagseq_L-2_Dev-17_I978_L2_R1.fastq	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP286024	PRJNA666892		666892	SRS7463749	SAMN16330859	simple	206008	Panicum hallii	HAL10002							no					THE UNIVERSITY OF TEXAS AT AUSTIN	SRA1136636		public	E5577E519259A90E7E5291167C09E959	239CF430BA032A66EA4944DBD5AE1245
SRR12759541	2020-10-01 11:54:54	2020-10-01 11:52:56	6380836	963506236	0	151	346		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12759541/SRR12759541	SRX9230325	IXRM_tagseq_L-2_Dev-18_I978_L2_R1.fastq	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP286024	PRJNA666892		666892	SRS7463750	SAMN16330860	simple	206008	Panicum hallii	HAL10003							no					THE UNIVERSITY OF TEXAS AT AUSTIN	SRA1136636		public	D406ADBA0F726C563240C247F00CFCA5	E56AE3693FBD715314C03D5332D0B2D5
SRR12759540	2020-10-01 11:54:54	2020-10-01 11:49:58	340639	51436489	0	151	18		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12759540/SRR12759540	SRX9230326	IXRM_tagseq_L-2_Dev-19_I978_L2_R1.fastq	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP286024	PRJNA666892		666892	SRS7463751	SAMN16330861	simple	206008	Panicum hallii	HAL15001							no					THE UNIVERSITY OF TEXAS AT AUSTIN	SRA1136636		public	76ADCE71D1176F5A76BCBFD3EC31D7AB	DD35825C0011F046AF9142275DCC604F
SRR12759539	2020-10-01 11:54:54	2020-10-01 11:50:04	431939	65222789	0	151	23		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12759539/SRR12759539	SRX9230327	IXRM_tagseq_L-2_Dev-20_I978_L2_R1.fastq	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP286024	PRJNA666892		666892	SRS7463752	SAMN16330862	simple	206008	Panicum hallii	HAL15002							no					THE UNIVERSITY OF TEXAS AT AUSTIN	SRA1136636		public	86972B40E1D9388618384386DA2D2765	0CA4C1761E8026EABECAD81EAAFD0CD1
SRR12759537	2020-10-01 11:54:54	2020-10-01 11:49:59	351709	53108059	0	151	19		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12759537/SRR12759537	SRX9230329	IXRM_tagseq_L-2_Dev-21_I978_L2_R1.fastq	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP286024	PRJNA666892		666892	SRS7463754	SAMN16330863	simple	206008	Panicum hallii	HAL15003							no					THE UNIVERSITY OF TEXAS AT AUSTIN	SRA1136636		public	757A5095F2BC126767F5F4CC6269709B	028D8D66ED486A9569B8D1E7F2812C3C
SRR12759536	2020-10-01 11:54:54	2020-10-01 11:49:39	371542	56102842	0	151	21		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12759536/SRR12759536	SRX9230330	IXRM_tagseq_L-2_Dev-22_I978_L2_R1.fastq	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP286024	PRJNA666892		666892	SRS7463755	SAMN16330864	simple	206008	Panicum hallii	HALMS001							no					THE UNIVERSITY OF TEXAS AT AUSTIN	SRA1136636		public	CE09E5F38B1707AD653449F6E786463D	0179B78FDFFABD84A20F54B1DA5C63AF
SRR12759535	2020-10-01 11:54:54	2020-10-01 11:50:04	1102449	166469799	0	151	58		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12759535/SRR12759535	SRX9230331	IXRM_tagseq_L-2_Dev-23_I978_L2_R1.fastq	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP286024	PRJNA666892		666892	SRS7463756	SAMN16330865	simple	206008	Panicum hallii	HALMS002							no					THE UNIVERSITY OF TEXAS AT AUSTIN	SRA1136636		public	5E8F83F7CE292FE4CC3665BF5F641E4F	48302806CE60F41625FF6057FF96665E
SRR12759534	2020-10-01 11:54:54	2020-10-01 11:49:42	704208	106335408	0	151	38		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12759534/SRR12759534	SRX9230332	IXRM_tagseq_L-2_Dev-24_I978_L2_R1.fastq	RNA-Seq	PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP286024	PRJNA666892		666892	SRS7463757	SAMN16330866	simple	206008	Panicum hallii	HALMS003							no					THE UNIVERSITY OF TEXAS AT AUSTIN	SRA1136636		public	C34ECD1FC419EA7BB4280F525C90F71E	3395FC993CAC74A5EE3ECAC848EFA47E
