Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR1760425	2015-07-25 00:00:00	2015-01-15 14:38:15	27241729	4903511220	27241729	180	3447	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/760/SRR1760425.sralite.1	SRX843982	PAPyxzDAARAAPEI-44	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	200	20	ILLUMINA	Illumina HiSeq 2000	SRP052000	PRJNA270386	2	270386	SRS820041	SAMN03284884	simple	76193	Papilio machaon	BGI-Pm_L1	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	BGI	SRA230970	NA	public	BD538FD81E20D593FA4A69E827861EA9	0F4E753B050B158F205123A3C2A6CCDB
SRR1760424	2015-07-25 00:00:00	2015-01-15 14:37:05	34712046	6248168280	34712046	180	4271	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/760/SRR1760424.sralite.1	SRX843981	PAPyxzDCARAAPEI-75	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	200	20	ILLUMINA	Illumina HiSeq 2000	SRP052000	PRJNA270386	2	270386	SRS820040	SAMN03284883	simple	76193	Papilio machaon	BGI-Pm_L2	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	BGI	SRA230970	NA	public	A6B0703DEDDBED30079E9CA7A8A54C21	AE12B0A8F1EB45D6E38EE727284342BD
SRR1760423	2015-07-25 00:00:00	2015-01-15 14:30:49	27315963	4916873340	27315963	180	3352	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/760/SRR1760423.sralite.1	SRX843980	PAPyxzDCFRAAPEI-15	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	200	20	ILLUMINA	Illumina HiSeq 2000	SRP052000	PRJNA270386	2	270386	SRS820039	SAMN03284882	simple	76193	Papilio machaon	BGI-Pm_L3	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	BGI	SRA230970	NA	public	809596C9A16A2B16B2B28B131FCFD1DE	007CC5DDAB8A1FDEBAD7310273EFB8E5
SRR1760422	2015-07-25 00:00:00	2015-01-15 13:37:21	31538576	5676943680	31538576	180	3838	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/760/SRR1760422.sralite.1	SRX843979	PAPyxzDCKRAAPEI-20	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	200	20	ILLUMINA	Illumina HiSeq 2000	SRP052000	PRJNA270386	2	270386	SRS820038	SAMN03284881	simple	76193	Papilio machaon	BGI-Pm_L4	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	BGI	SRA230970	NA	public	74E2673006F8A85C58071A3F53CAB7C9	7B545F88DA521B6EE23486F04C2E9742
SRR1760421	2015-07-25 00:00:00	2015-01-15 13:36:21	36049770	6488958600	36049770	180	4383	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/760/SRR1760421.sralite.1	SRX843978	PAPyxzDCBRAAPEI-79	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	200	20	ILLUMINA	Illumina HiSeq 2000	SRP052000	PRJNA270386	2	270386	SRS820037	SAMN03284880	simple	76193	Papilio machaon	BGI-Pm_L5	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	BGI	SRA230970	NA	public	F09C07360ADDFC9AEAFA0B5248A766F2	FA70AC7D19058AAB829B092AF588F584
SRR1760418	2015-07-25 00:00:00	2015-01-15 13:28:35	28996954	5219451720	28996954	180	3535	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/760/SRR1760418.sralite.1	SRX843975	PAPyxzDCMRAAPEI-22	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	200	20	ILLUMINA	Illumina HiSeq 2000	SRP052000	PRJNA270386	2	270386	SRS820034	SAMN03284877	simple	76193	Papilio machaon	BGI-Pm_adulte_female	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	BGI	SRA230970	NA	public	E6A7E5DF86623DA803577EB8A224084C	00A770D3AE201B8AFF577C2FD952D11C
SRR1760417	2015-07-25 00:00:00	2015-01-15 12:47:47	33888732	6099971760	33888732	180	4163	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/760/SRR1760417.sralite.1	SRX843974	PAPyxzDCDRAAPEI-87	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	200	20	ILLUMINA	Illumina HiSeq 2000	SRP052000	PRJNA270386	2	270386	SRS820033	SAMN03284876	simple	76193	Papilio machaon	BGI-Pm_adulte_male	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	BGI	SRA230970	NA	public	F5475F941D27B48D8E2BED713D0940EA	6FEE369D9C0148D99752CC78491D5C8F
SRR1760426	2015-07-25 00:00:00	2015-01-15 14:45:36	25351104	4563198720	25351104	180	3103	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/760/SRR1760426.sralite.1	SRX843983	PAPyxzDCJRAAPEI-19	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	200	20	ILLUMINA	Illumina HiSeq 2000	SRP052000	PRJNA270386	2	270386	SRS820042	SAMN03284885	simple	76193	Papilio machaon	BGI-Pm_egg	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	BGI	SRA230970	NA	public	5B230A64DD523ED397F94A94EC95334C	32449EC91AAE4EC8F41CB823FD06280D
SRR1760419	2015-07-25 00:00:00	2015-01-15 13:32:20	28257838	5086410840	28257838	180	3429	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/760/SRR1760419.sralite.1	SRX843976	PAPyxzDCLRAAPEI-21	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	200	20	ILLUMINA	Illumina HiSeq 2000	SRP052000	PRJNA270386	2	270386	SRS820035	SAMN03284878	simple	76193	Papilio machaon	BGI-Pm_pupa_female	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	BGI	SRA230970	NA	public	DC4C31FA69684A9736733B38597BCAAC	5C2A437B72649BF3C1A3F4C543277FF5
SRR1760420	2015-07-25 00:00:00	2015-01-15 13:34:12	34008920	6121605600	34008920	180	4183	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/760/SRR1760420.sralite.1	SRX843977	PAPyxzDCCRAAPEI-84	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	200	20	ILLUMINA	Illumina HiSeq 2000	SRP052000	PRJNA270386	2	270386	SRS820036	SAMN03284879	simple	76193	Papilio machaon	BGI-Pm_pupa_male	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	BGI	SRA230970	NA	public	CC00428A8328C4170D10B3E657E12907	E389D4A5DA34D0A48C17BC63B28B925F
