Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR6269955	2018-01-25 00:01:15	2017-11-08 16:50:55	15246792	4574037600	15246792	300	2081	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/269/SRR6269955.sralite.1	SRX3376035	PKING1_EO	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP124665	PRJNA417677	2	417677	SRS2672290	SAMN08000801	simple	1676925	Paramormyrops kingsleyae	PKING1_EO	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	MICHIGAN STATE UNIVERSITY	SRA629634	NA	public	6ABEBED2722D20FB9BF2B4E594FFD20E	0FF09385BA1DD0DB229722FEAEBF58B6
SRR6269956	2018-01-25 00:01:15	2017-11-08 16:57:51	17174799	5152439700	17174799	300	2385	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/269/SRR6269956.sralite.1	SRX3376034	PKING1_FS	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP124665	PRJNA417677	2	417677	SRS2672289	SAMN08000802	simple	1676925	Paramormyrops kingsleyae	PKING1_FS	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	MICHIGAN STATE UNIVERSITY	SRA629634	NA	public	0C9BE5B9D5AD89438B3712F7C0CA7471	809DF6762B84EDC522E94E786152D994
SRR6269953	2018-01-25 00:01:15	2017-11-08 16:49:14	14007964	4202389200	14007964	300	1822	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/269/SRR6269953.sralite.1	SRX3376037	PKING1_GONAD	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP124665	PRJNA417677	2	417677	SRS2672291	SAMN08000803	simple	1676925	Paramormyrops kingsleyae	PKING1_GONAD	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	MICHIGAN STATE UNIVERSITY	SRA629634	NA	public	4839625168164271D8CBA41FAF770498	A0824755ACC543BAD9CAC4464C5D0AFA
SRR6269954	2018-01-25 00:01:15	2017-11-08 16:58:25	14238693	4271607900	14238693	300	1851	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/269/SRR6269954.sralite.1	SRX3376036	PKING1_HS	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP124665	PRJNA417677	2	417677	SRS2672292	SAMN08000804	simple	1676925	Paramormyrops kingsleyae	PKING1_HS	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	MICHIGAN STATE UNIVERSITY	SRA629634	NA	public	64B9216F39406089C7DD294A3F209834	A2A4B59E9D45D98FB3EA7DD88B965FA7
SRR6269961	2018-01-25 00:01:15	2017-11-08 16:57:43	16334757	4900427100	16334757	300	2189	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/269/SRR6269961.sralite.1	SRX3376031	PKING1_SM	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP124665	PRJNA417677	2	417677	SRS2672286	SAMN08000805	simple	1676925	Paramormyrops kingsleyae	PKING1_SM	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	MICHIGAN STATE UNIVERSITY	SRA629634	NA	public	D65B3DEA3F630F63F6DBAD0FD170895E	C58D0808348E533A6F2D6D4333C6FD39
SRR6269959	2018-01-25 00:01:15	2017-11-08 16:54:11	15411295	4623388500	15411295	300	2025	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/269/SRR6269959.sralite.1	SRX3376030	PKING1_SPL	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP124665	PRJNA417677	2	417677	SRS2672285	SAMN08000806	simple	1676925	Paramormyrops kingsleyae	PKING1_SPL	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	MICHIGAN STATE UNIVERSITY	SRA629634	NA	public	BA30B947C34308A2AB30142B86947A0F	8CF655449B7295733DBAB041E4DC1133
SRR6269957	2018-01-25 00:01:15	2017-11-08 16:49:10	18612991	3722598200	18612991	200	2315	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/269/SRR6269957.sralite.1	SRX3376033	PKING2_BRAIN	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP124665	PRJNA417677	2	417677	SRS2672288	SAMN08000807	simple	1676925	Paramormyrops kingsleyae	PKING2_BRAIN	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	MICHIGAN STATE UNIVERSITY	SRA629634	NA	public	A772560361F51584C35DD5014BCDA13F	0394839B40774A0205A7417F8883FD5A
SRR6269958	2018-01-25 00:01:15	2017-11-08 16:55:35	22867697	4573539400	22867697	200	2805	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/269/SRR6269958.sralite.1	SRX3376032	PKING2_EO	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP124665	PRJNA417677	2	417677	SRS2672287	SAMN08000808	simple	1676925	Paramormyrops kingsleyae	PKING2_EO	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	MICHIGAN STATE UNIVERSITY	SRA629634	NA	public	3185DB158FA02337198DB8A798AB9B9B	55D9240AA3B35619B1090784FE59A8D2
SRR6269960	2018-01-25 00:01:15	2017-11-08 16:49:02	17736065	3547213000	17736065	200	2295	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/269/SRR6269960.sralite.1	SRX3376029	PKING2_FIN	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP124665	PRJNA417677	2	417677	SRS2672284	SAMN08000809	simple	1676925	Paramormyrops kingsleyae	PKING2_FIN	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	MICHIGAN STATE UNIVERSITY	SRA629634	NA	public	85F14B2786C8FED914982E3061AB470C	0CE56D515FF566F13C4F04E70F4FA03A
SRR6269962	2018-01-25 00:01:15	2017-11-08 16:55:36	25117699	5023539800	25117699	200	3081	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/269/SRR6269962.sralite.1	SRX3376028	PKING2_FS	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP124665	PRJNA417677	2	417677	SRS2672283	SAMN08000810	simple	1676925	Paramormyrops kingsleyae	PKING2_FS	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	MICHIGAN STATE UNIVERSITY	SRA629634	NA	public	6EABF3F1D8DCEDFCC31871ADD4A09D8C	EAC5E0250DF8214285FBDA6BDDA7C157
