Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR3146192	2017-03-10 00:00:07	2016-02-05 01:12:55	15452138	4635641400	15452138	300	1988	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/146/SRR3146192.sralite.1	SRX1561941	brain	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP069321	PRJNA308039	NA	308039	SRS1276579	SAMN04457248	simple	372321	Patagioenas fasciata	Band-tailed pigeon brain	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF CALIFORNIA, SANTA CRUZ	SRA347543	NA	public	C383E8C369B4D1A04178F1EEAF90B59D	7AB49484CC7EE7D38B846D16E4E3257D
SRR3146199	2017-03-10 00:00:07	2016-02-05 01:19:18	1233083	187428616	1233083	152	77	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/146/SRR3146199.sralite.1	SRX1561948	BN101a	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP069321	PRJNA308039	NA	308039	SRS1276579	SAMN04457248	simple	372321	Patagioenas fasciata	Band-tailed pigeon brain	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF CALIFORNIA, SANTA CRUZ	SRA347543	NA	public	24514412C91DF2639B7A6E1DD82C95ED	AE700C854B635DF58C4724C98027ED3D
SRR3146200	2017-03-10 00:00:07	2016-02-05 01:18:27	25	3800	25	152	0	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/146/SRR3146200.sralite.1	SRX1561949	BN101b	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP069321	PRJNA308039	NA	308039	SRS1276579	SAMN04457248	simple	372321	Patagioenas fasciata	Band-tailed pigeon brain	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF CALIFORNIA, SANTA CRUZ	SRA347543	NA	public	0870D86824A5792D68C8132049C1BFB6	94A6078713027D36017A00F533484A54
SRR3146201	2017-03-10 00:00:07	2016-02-05 01:19:36	1636509	248749368	1636509	152	99	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/146/SRR3146201.sralite.1	SRX1561950	BN102	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP069321	PRJNA308039	NA	308039	SRS1276573	SAMN04457253	simple	372321	Patagioenas fasciata	Band-tailed pigeon heart	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF CALIFORNIA, SANTA CRUZ	SRA347543	NA	public	3008EF05E9B2D676CF1A1D318D5C243F	331CAB9B991CF903619D938BC91EBADA
SRR3146193	2017-03-10 00:00:07	2016-02-05 01:13:46	20047612	6014283600	20047612	300	2566	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/146/SRR3146193.sralite.1	SRX1561942	heart	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP069321	PRJNA308039	NA	308039	SRS1276573	SAMN04457253	simple	372321	Patagioenas fasciata	Band-tailed pigeon heart	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF CALIFORNIA, SANTA CRUZ	SRA347543	NA	public	0A3AF2EA2E3616F8DCE287C874398701	145CF9759E2A6BE80B45E0371EA2A069
SRR3146194	2017-03-10 00:00:07	2016-02-05 01:07:58	10263596	3079078800	10263596	300	1363	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/146/SRR3146194.sralite.1	SRX1561943	kidney	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP069321	PRJNA308039	NA	308039	SRS1276584	SAMN04457254	simple	372321	Patagioenas fasciata	Band-tailed pigeon kidney	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF CALIFORNIA, SANTA CRUZ	SRA347543	NA	public	2FED21C3196E382F9A5B8473B6286BB0	EB0576F90976466BBE0CAC5713ED20C0
SRR3146195	2017-03-10 00:00:07	2016-02-05 01:04:27	9204956	2761486800	9204956	300	1215	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/146/SRR3146195.sralite.1	SRX1561944	liver	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP069321	PRJNA308039	NA	308039	SRS1276583	SAMN04457255	simple	372321	Patagioenas fasciata	Band-tailed pigeon liver	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF CALIFORNIA, SANTA CRUZ	SRA347543	NA	public	2EC67E8D74FC0B9EA97A0E657B0A37D5	09DDDB0D6A955DF482774457C40AE626
SRR3146196	2017-03-10 00:00:07	2016-02-05 01:13:09	14079911	4223973300	14079911	300	1876	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/146/SRR3146196.sralite.1	SRX1561945	lung	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP069321	PRJNA308039	NA	308039	SRS1276582	SAMN04457256	simple	372321	Patagioenas fasciata	Band-tailed pigeon lung	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF CALIFORNIA, SANTA CRUZ	SRA347543	NA	public	95D1C13A34E1A613DFF3A0987CBEFBA8	A7A0A3B5ED1B5407ADE052E6D477936A
SRR3146197	2017-03-10 00:00:07	2016-02-05 01:02:16	10270219	3081065700	10270219	300	1385	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR314/6197/SRR3146197.sralite.1	SRX1561946	muscle	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP069321	PRJNA308039	NA	308039	SRS1276581	SAMN04457257	simple	372321	Patagioenas fasciata	Band-tailed pigeon muscle	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF CALIFORNIA, SANTA CRUZ	SRA347543	NA	public	B7D7C2769ED2432B261E458E5FF889C6	2703E36E1A795C82BBC86C7C414798C3
SRR3146198	2017-03-10 00:00:07	2016-02-05 01:05:56	9350026	2805007800	9350026	300	1336	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/146/SRR3146198.sralite.1	SRX1561947	ovary	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP069321	PRJNA308039	NA	308039	SRS1276580	SAMN04457258	simple	372321	Patagioenas fasciata	Band-tailed pigeon ovary	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF CALIFORNIA, SANTA CRUZ	SRA347543	NA	public	DA06BAD4592211CF158C93E153359CC0	C14D274043E23E8315A20A1E3B37C9B2
