Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR2601054	2015-10-13 15:17:47	2015-10-10 15:01:40	35376216	8914806432	35376216	252	4396		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR260/1054/SRR2601054.sralite.1	SRX1331750	D5194_Vg1_acidA	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP064659	PRJNA298284		298284	SRS3959421	SAMN10261180	simple	6579	Pecten maximus	P.maximus_earlyVeliger_acidified							no					UNIVERSITY OF BREST	SRA304105		public	50C77C41F93006496D97EEA4BF3910D9	5A29BF54276AE89785BA3F43B09F7278
SRR2601063	2015-10-13 15:17:47	2015-10-10 10:54:16	30929988	7794356976	30929988	252	3857		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR260/1063/SRR2601063.sralite.1	SRX1331758	D5202_Vg1_acidB	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP064659	PRJNA298284		298284	SRS3959421	SAMN10261180	simple	6579	Pecten maximus	P.maximus_earlyVeliger_acidified							no					UNIVERSITY OF BREST	SRA304105		public	D7D95F192C34F7B9145A9BBD9BD90BAA	126F827C9A7F871DF944F0225970C3D3
SRR2601057	2015-10-13 15:17:47	2015-10-10 12:57:53	31669224	7980644448	31669224	252	3998		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/601/SRR2601057.sralite.1	SRX1331753	D5197_Vg1_ambiA	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP064659	PRJNA298284		298284	SRS3959424	SAMN10261179	simple	6579	Pecten maximus	P.maximus_earlyVeliger_control							no					UNIVERSITY OF BREST	SRA304105		public	1B28DDCBC18757D3EE0D61E3A05FBD88	556DECF48C885F566291676228542C25
SRR2601067	2015-10-13 15:17:47	2015-10-10 08:52:14	23848256	6009760512	23848256	252	3022		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR260/1067/SRR2601067.sralite.1	SRX1331761	D5205_Vg1_ambiB	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP064659	PRJNA298284		298284	SRS3959424	SAMN10261179	simple	6579	Pecten maximus	P.maximus_earlyVeliger_control							no					UNIVERSITY OF BREST	SRA304105		public	02BFD822FAF89777C708463754C56FEB	10FA7CF6BDB5D7B9082019DE6BE45400
SRR2601075	2015-10-13 15:17:47	2015-10-10 06:58:04	36001540	9072388080	36001540	252	4510		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/601/SRR2601075.sralite.1	SRX1331764	D5208_Vg1_intrB	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP064659	PRJNA298284		298284	SRS3959419	SAMN10261182	simple	6579	Pecten maximus	P.maximus_earlyVeliger_interaction							no					UNIVERSITY OF BREST	SRA304105		public	0F3EE29F66F13BC5AEC6EE6943B8A49F	223B78CB4C157504A74EB25B30A00796
SRR2601078	2015-10-13 15:17:47	2015-10-10 05:49:09	33659788	8482266576	33659788	252	4240		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/601/SRR2601078.sralite.1	SRX1331767	D5211_Vg1_warmB	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP064659	PRJNA298284		298284	SRS3959427	SAMN10261181	simple	6579	Pecten maximus	P.maximus_earlyVeliger_warmed							no					UNIVERSITY OF BREST	SRA304105		public	96AC04FAEA1A885BCB488BA3EA7BBCEC	B8E01DEF61CF860D815A95B7ADC29896
SRR2601058	2015-10-13 15:17:47	2015-10-10 12:59:58	37500733	9450184716	37500733	252	4712		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/601/SRR2601058.sralite.1	SRX1331754	D5198_Vg2_acidA	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP064659	PRJNA298284		298284	SRS3959425	SAMN10261184	simple	6579	Pecten maximus	P.maximus_lateVeliger_acidified							no					UNIVERSITY OF BREST	SRA304105		public	C55FE3AA7949AD93F5B4FDB15851D138	5220CFE74D4823FFB2234E2F9E8405C6
SRR2601074	2015-10-13 15:17:47	2015-10-10 07:57:28	35354325	8909289900	35354325	252	4521		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/601/SRR2601074.sralite.1	SRX1331763	D5207_Vg2_acidB	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP064659	PRJNA298284		298284	SRS3959425	SAMN10261184	simple	6579	Pecten maximus	P.maximus_lateVeliger_acidified							no					UNIVERSITY OF BREST	SRA304105		public	6DCA711BF1FD62CED2A97C70AF4ECA3E	224C15B1F820E64BF5731AFA7E3DF3FB
SRR2601077	2015-10-13 15:17:47	2015-10-10 05:55:23	39384622	9924924744	39384622	252	4870		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/601/SRR2601077.sralite.1	SRX1331766	D5210_Vg2_ambiB	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP064659	PRJNA298284		298284	SRS3959417	SAMN10261183	simple	6579	Pecten maximus	P.maximus_lateVeliger_control							no					UNIVERSITY OF BREST	SRA304105		public	377BCF5BA75C413260AA617048EBE1B1	EE4FF93CC58A36827AB0DAB34454A500
SRR2601055	2015-10-13 15:17:47	2015-10-10 14:01:47	31610702	7965896904	31610702	252	3939		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/601/SRR2601055.sralite.1	SRX1331751	D5195_GATCAGA_L005_R1_001.fastq.gz	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP064659	PRJNA298284		298284	SRS3959422	SAMN10261186	simple	6579	Pecten maximus	P.maximus_lateVeliger_interaction							no					UNIVERSITY OF BREST	SRA304105		public	466885B58D40224CF1187F5FD4E4696A	3FBE2096EE205E5070049A4CD50C1CCF
