Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR13052508	2021-12-01 05:52:11	2020-11-13 02:25:30	21059630	6317889000	21059630	300	1925	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13052/SRR13052508/SRR13052508.lite.1	SRX9501905	19072203	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP292453	PRJNA678132	NA	678132	SRS7710718	SAMN16789034	simple	139456	Penaeus chinensis	19072203	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	YANCHENG TEACHERS UNIVERSITY	SRA1158234	NA	public	4A1D82E664848EADF0D3BF337E40CCD7	AB5B928177BBCBA9130BA02C438B3C8D
SRR13052507	2021-12-01 05:52:11	2020-11-13 02:24:00	19903978	5971193400	19903978	300	1799	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13052/SRR13052507/SRR13052507.lite.1	SRX9501906	19072204	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP292453	PRJNA678132	NA	678132	SRS7710719	SAMN16789035	simple	139456	Penaeus chinensis	19072204	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	YANCHENG TEACHERS UNIVERSITY	SRA1158234	NA	public	CF92C80F1478A5B11F233887D6B71BA4	F9D36C93BCDEB74CB7490ADE69DBA72C
SRR14718715	2021-06-03 20:03:42	2021-06-03 19:27:12	21540168	6462050400	21540168	300	2004	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR014/14718/SRR14718715/SRR14718715.lite.1	SRX11055748	FCM10_1	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP322492	PRJNA734726	NA	734726	SRS9122945	SAMN19522618	simple	139456	Penaeus chinensis	FCM10_1	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	LIANYUNGANG NORMAL COLLEGE	SRA1240055	NA	public	A4532E1952F5C63BAD024035BAA0FA33	E4A4E3CB2A3B2684CB276850C5D00358
SRR14718714	2021-06-03 20:03:42	2021-06-03 19:25:46	21365693	6409707900	21365693	300	1972	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR014/14718/SRR14718714/SRR14718714.lite.1	SRX11055749	FCM10_2	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP322492	PRJNA734726	NA	734726	SRS9122946	SAMN19522619	simple	139456	Penaeus chinensis	FCM10_2	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	LIANYUNGANG NORMAL COLLEGE	SRA1240055	NA	public	31AD1EA7C19CBA0A8DBB21B1595D9F40	4C05EFE5640A350284E6141D154AB8B3
SRR14718713	2021-06-03 20:03:42	2021-06-03 19:22:24	22235986	6670795800	22235986	300	2065	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR014/14718/SRR14718713/SRR14718713.lite.1	SRX11055750	FCM10_3	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP322492	PRJNA734726	NA	734726	SRS9122947	SAMN19522620	simple	139456	Penaeus chinensis	FCM10_3	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	LIANYUNGANG NORMAL COLLEGE	SRA1240055	NA	public	048CE72D1975E5EB951C0A13E43F540B	C97605E506FE2BB3653F160607FCFB18
SRR17931575	2022-02-08 05:58:01	2022-02-08 05:37:23	16413075	4923922500	16413075	300	1514	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR017/17931/SRR17931575/SRR17931575.lite.1	SRX14090004	FCM10_4	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP322492	PRJNA734726	NA	734726	SRS11915537	SAMN25734236	simple	139456	Penaeus chinensis	FCM10_4	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	LIANYUNGANG NORMAL COLLEGE	SRA1368546	NA	public	6AC077F9BE98957B009D54882D7AC115	DE3B8F347DA08B472981C985B2E1D990
SRR17931574	2022-02-08 05:58:01	2022-02-08 05:47:28	29225892	8767767600	29225892	300	2727	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR017/17931/SRR17931574/SRR17931574.lite.1	SRX14090005	FCM10_5	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP322492	PRJNA734726	NA	734726	SRS11915538	SAMN25734237	simple	139456	Penaeus chinensis	FCM10_5	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	LIANYUNGANG NORMAL COLLEGE	SRA1368546	NA	public	A2DCF7BF752CBC7DE493CB100DE9D84F	78AB17FB2F651838004834F64869F2B2
SRR17931573	2022-02-08 05:58:01	2022-02-08 05:39:45	21926760	6578028000	21926760	300	2115	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17931/SRR17931573/SRR17931573.lite.1	SRX14090006	FCM10_6	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP322492	PRJNA734726	NA	734726	SRS11915539	SAMN25734238	simple	139456	Penaeus chinensis	FCM10_6	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	LIANYUNGANG NORMAL COLLEGE	SRA1368546	NA	public	2E3A2B4AC7ED8A721F7BA15EDD22EFB2	0DD2CC7842AA37ACF75A0EB81BFE1035
SRR14718709	2021-06-03 20:03:42	2021-06-03 19:24:59	22045880	6613764000	22045880	300	2029	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR014/14718/SRR14718709/SRR14718709.lite.1	SRX11055754	FCM25_1	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP322492	PRJNA734726	NA	734726	SRS9122952	SAMN19522624	simple	139456	Penaeus chinensis	FCM25_1	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	LIANYUNGANG NORMAL COLLEGE	SRA1240055	NA	public	F0BE6469F304EDD4EB2077D12417B33E	B75E19BB0C9008914591543FD07643CF
SRR14718718	2021-06-03 20:03:42	2021-06-03 19:27:24	20195740	6058722000	20195740	300	1867	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR014/14718/SRR14718718/SRR14718718.lite.1	SRX11055745	FCM25_2	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP322492	PRJNA734726	NA	734726	SRS9122943	SAMN19522625	simple	139456	Penaeus chinensis	FCM25_2	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	LIANYUNGANG NORMAL COLLEGE	SRA1240055	NA	public	63729ED39BAB6907613219232106C26F	1F5983FAE0ECEC622A3D6757A5E51150
