Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR4787434	2017-06-08 16:08:15	2016-11-04 20:31:18	102196570	30658971000	102196570	300	11700	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/787/SRR4787434.sralite.1	SRX2317605		RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP092417	PRJNA351886	NA	351886	SRS1774218	SAMN05957801	simple	8168	Perca fluviatilis	Eurasian perch	NA	NA	NA	NA	pooled male and female	NA	no	NA	NA	NA	NA	SHANGHAI OCEAN UNIVERSITY	SRA488520	NA	public	03EAF84A3B6BD9CD06BFA8E834AD2EAC	30FA7DFCE05F780BA2484D7E2AE80585
SRR10441596	2020-02-01 00:02:37	2019-11-14 04:32:57	55214216	8318724270	55214216	150	3386	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10441596/SRR10441596	SRX7136342	Heisri_Mustjarv_5_297	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 3000	SRP229767	PRJNA589499	NA	589499	SRS5645195	SAMN13282763	simple	8168	Perca fluviatilis	Heisri_Mustjarv_297	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF TURKU	SRA995643	NA	public	5C2C484D0709B11BEB922803B30E9E1D	9B5E4DEF49CD0A30F7B0EAC11EAD49FC
SRR10441591	2020-02-01 00:02:37	2019-11-14 04:59:09	117762417	17744966424	117762417	150	7064	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/441/SRR10441591.sralite.1	SRX7136347	Hino_10_11_529	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 3000	SRP229767	PRJNA589499	NA	589499	SRS5645200	SAMN13282768	simple	8168	Perca fluviatilis	Hino_529	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF TURKU	SRA995643	NA	public	762C7120B638455D1E11DB7BB36E510A	D42E8A8FDBDA26004DD65C1681E51D1C
SRR10441600	2020-02-01 00:02:37	2019-11-14 04:35:26	61672056	9298472611	61672056	150	3723	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/441/SRR10441600.sralite.1	SRX7136338	Holvandi_Kivijarv_13_432	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 3000	SRP229767	PRJNA589499	NA	589499	SRS5645191	SAMN13282770	simple	8168	Perca fluviatilis	Holvandi_Kivijarv_432	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF TURKU	SRA995643	NA	public	830C0093B3EEF304D04B4C74C77CB81E	9B7677B8BA96B1977F749B282CCD5489
SRR10441599	2020-02-01 00:02:37	2019-11-14 04:32:41	59764174	9011159312	59764174	150	3589	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/441/SRR10441599.sralite.1	SRX7136339	Kuulma_14 593	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 3000	SRP229767	PRJNA589499	NA	589499	SRS5645192	SAMN13282771	simple	8168	Perca fluviatilis	Kuulma_593	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF TURKU	SRA995643	NA	public	CCEE3D3E757223B88C3AB3A567450CD7	7D9B839C232B602A0E158DECE8BD736D
SRR8798620	2019-05-22 07:56:52	2019-03-28 10:52:51	12335830	2770186595	12335830	224	783	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/798/SRR8798620.sralite.1	SRX5587469	Kv2010_901	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP189727	PRJNA529638	NA	529638	SRS4548776	SAMN11280411	simple	8168	Perca fluviatilis	Kv2010_901	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	CHALMERS UNIVERSITY OF TECHNOLOGY	SRA867156	NA	public	BFBB61E1458C7A70C386C8811BF36E56	4CC8EDDD6C23A22D3A2E15370FE0E692
SRR8798619	2019-05-22 07:56:52	2019-03-28 10:53:25	12209342	2714990783	12209342	222	763	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8798619/SRR8798619	SRX5587470	Kv2010_904	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP189727	PRJNA529638	NA	529638	SRS4548777	SAMN11280412	simple	8168	Perca fluviatilis	Kv2010_904	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	CHALMERS UNIVERSITY OF TECHNOLOGY	SRA867156	NA	public	A1BA2328413EFC1C13AF7FC181AC4F38	838E60C5DE48ED447E4F13BE831847DB
SRR8798622	2019-05-22 07:56:52	2019-03-28 10:52:28	11217468	2498103368	11217468	222	710	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/798/SRR8798622.sralite.1	SRX5587467	Kv2010_910	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP189727	PRJNA529638	NA	529638	SRS4548774	SAMN11280413	simple	8168	Perca fluviatilis	Kv2010_910	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	CHALMERS UNIVERSITY OF TECHNOLOGY	SRA867156	NA	public	91A695490EFE81D675178876193E7196	E6989467D71376850223EEA03E533B49
SRR8798621	2019-05-22 07:56:52	2019-03-28 10:52:52	11036845	2458145597	11036845	222	691	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8798621/SRR8798621	SRX5587468	Kv2010_913	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP189727	PRJNA529638	NA	529638	SRS4548775	SAMN11280414	simple	8168	Perca fluviatilis	Kv2010_913	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	CHALMERS UNIVERSITY OF TECHNOLOGY	SRA867156	NA	public	AA0D9CEEFB8A44CA6E0BDDAEC414E53A	7589174B8D470876F1D96B9F30EB016A
SRR8798624	2019-05-22 07:56:52	2019-03-28 10:54:09	12351818	2751950255	12351818	222	776	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8798624/SRR8798624	SRX5587465	Kv2010_918	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP189727	PRJNA529638	NA	529638	SRS4548772	SAMN11280415	simple	8168	Perca fluviatilis	Kv2010_918	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	CHALMERS UNIVERSITY OF TECHNOLOGY	SRA867156	NA	public	F0A86554B8359018AF4E393EB0E52FFB	E128EDF44A0AC802A419BC856E2A9AC9
