Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR10337969	2020-01-01 01:34:51	2019-10-24 05:25:19	25166983	3825381416	25166983	152	1288		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10337969/SRR10337969	SRX7048073	AP8_Unvaccinated_PBMC_Week_8	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 550	SRP212508	PRJNA540172		540172	SRS5566101	SAMN13088843	simple	38626	Phascolarctos cinereus	AP8_Unvaccinated_PBMC_Week_8					female		no					UNIVERSITY OF THE SUNSHINE COAST	SRA984048		public	522C266E0E8CAA4CF72FB09BA05EDBCA	6B256BC5154E80C2286F7C56F5719ABD
SRR10337975	2020-01-01 01:34:51	2019-10-24 05:33:18	41395588	6292129376	41395588	152	2146		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/337/SRR10337975.sralite.1	SRX7048067	BvP8_vaccinated_PBMC_Week_8	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 550	SRP212508	PRJNA540172		540172	SRS5566095	SAMN13088872	simple	38626	Phascolarctos cinereus	BvP8_vaccinated_PBMC_Week_8					male		no					UNIVERSITY OF THE SUNSHINE COAST	SRA984048		public	59DC0F754878C46DB2B2FDAD477C742C	314751DD8BA01F0D0AC23D484B304A6A
SRR10337974	2020-01-01 01:34:51	2019-10-24 05:16:38	7980899	1213096648	7980899	152	438		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10337974/SRR10337974	SRX7048068	CvP1_vaccinated_PBMC_Week_0	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 550	SRP212508	PRJNA540172		540172	SRS5566096	SAMN13088873	simple	38626	Phascolarctos cinereus	CvP1_vaccinated_PBMC_Week_0					female		no					UNIVERSITY OF THE SUNSHINE COAST	SRA984048		public	61A1042B2969A0F0BE000C143D027674	DDC2A814D046E735646FD82B2ABAE2D0
SRR10337973	2020-01-01 01:34:51	2019-10-24 05:18:44	10802870	1642036240	10802870	152	595		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/337/SRR10337973.sralite.1	SRX7048069	CvP2_vaccinated_PBMC_Week_2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 550	SRP212508	PRJNA540172		540172	SRS5566097	SAMN13088874	simple	38626	Phascolarctos cinereus	CvP2_vaccinated_PBMC_Week_2					female		no					UNIVERSITY OF THE SUNSHINE COAST	SRA984048		public	F43B48BBDBA5A8618F7E25F0D06DE00B	4C0C69B016474BC8C0E69F0A58D03EC5
SRR10337972	2020-01-01 01:34:51	2019-10-24 05:16:50	8199396	1246308192	8199396	152	452		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/337/SRR10337972.sralite.1	SRX7048070	CvP4_vaccinated_PBMC_Week_4	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 550	SRP212508	PRJNA540172		540172	SRS5566098	SAMN13088875	simple	38626	Phascolarctos cinereus	CvP4_vaccinated_PBMC_Week_4					female		no					UNIVERSITY OF THE SUNSHINE COAST	SRA984048		public	4C205E0F056D438E5352BE9F49ACD335	886D257D9D73C15135B9B93C896928BA
SRR10337968	2020-01-01 01:34:51	2019-10-24 05:26:19	40980257	6228999064	40980257	152	2212		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/337/SRR10337968.sralite.1	SRX7048074	EP1_Unvaccinated_PBMC_Week_0	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 550	SRP212508	PRJNA540172		540172	SRS5566102	SAMN13088844	simple	38626	Phascolarctos cinereus	EP1_Unvaccinated_PBMC_Week_0					male		no					UNIVERSITY OF THE SUNSHINE COAST	SRA984048		public	1FE01A26ED16AAD78EF496E87A511654	413733089920D46AFCA0AAB641BB1BAC
SRR10337967	2020-01-01 01:34:51	2019-10-24 05:24:54	37328440	5673922880	37328440	152	2133		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/337/SRR10337967.sralite.1	SRX7048075	EP2_Unvaccinated_PBMC_Week_2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 550	SRP212508	PRJNA540172		540172	SRS5566103	SAMN13088845	simple	38626	Phascolarctos cinereus	EP2_Unvaccinated_PBMC_Week_2					male		no					UNIVERSITY OF THE SUNSHINE COAST	SRA984048		public	0F62B7D2AD17C9325D4421017B4E3A42	A68C36B87DB7DBF0E6477CBB9FB077C2
SRR10337966	2020-01-01 01:34:51	2019-10-24 05:33:05	42148549	6406579448	42148549	152	2316		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10337966/SRR10337966	SRX7048076	EP4_Unvaccinated_PBMC_Week_4	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 550	SRP212508	PRJNA540172		540172	SRS5566104	SAMN13088846	simple	38626	Phascolarctos cinereus	EP4_Unvaccinated_PBMC_Week_4					male		no					UNIVERSITY OF THE SUNSHINE COAST	SRA984048		public	1AED6B585D9D87DE1D52573093EB5338	00896681152D7A0B44613FC35AB18A9F
SRR10337965	2020-01-01 01:34:51	2019-10-24 05:24:43	36422392	5536203584	36422392	152	1963		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10337965/SRR10337965	SRX7048077	EP6_Unvaccinated_PBMC_Week_6	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 550	SRP212508	PRJNA540172		540172	SRS5566105	SAMN13088847	simple	38626	Phascolarctos cinereus	EP6_Unvaccinated_PBMC_Week_6					male		no					UNIVERSITY OF THE SUNSHINE COAST	SRA984048		public	96F6204A40A95D289B93A47DF59B75CE	8B9404E1076686B476A34BF3354E1D48
SRR10337964	2020-01-01 01:34:51	2019-10-24 05:49:58	80570566	12170553132	80570566	151	4661		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10337964/SRR10337964	SRX7048078	EP8_Unvaccinated_PBMC_Week_8	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 550	SRP212508	PRJNA540172		540172	SRS5566106	SAMN13088848	simple	38626	Phascolarctos cinereus	EP8_Unvaccinated_PBMC_Week_8					male		no					UNIVERSITY OF THE SUNSHINE COAST	SRA984048		public	8BE6D2E01EC66137B811A930887E50BC	9E244170683660F1A2CD4146F237B6C9
