Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR12883232	2020-12-15 09:53:01	2020-10-23 10:40:53	32287015	1614350750	0	50	563		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12883232/SRR12883232	SRX9349186	COM_CS	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP252490	PRJNA607288		607288	SRS7572121	SAMN16519662	simple	3885	Phaseolus vulgaris	Amadeus77-C-L-B1							no					MICHIGAN STATE UNIVERSITY	SRA1146901		public	06717F15F4808BFD723BBE94619E2E6D	1D8D4E49F84636F114D2FCEFA110C432
SRR12883231	2020-12-15 09:53:01	2020-10-23 10:42:48	36192827	1809641350	0	50	631		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12883231/SRR12883231	SRX9349187	COM_CT	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP252490	PRJNA607288		607288	SRS7572122	SAMN16519663	simple	3885	Phaseolus vulgaris	Amadeus77-C-L-B2							no					MICHIGAN STATE UNIVERSITY	SRA1146901		public	B9325C797A831E75F71D50C99B1DC70C	5FDA2CF3D7E6E3FD3F0F885976C10B71
SRR12883240	2020-12-15 09:53:01	2020-10-23 10:42:18	33625226	1681261300	0	50	586		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12883240/SRR12883240	SRX9349178	COM_CU	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP252490	PRJNA607288		607288	SRS7572113	SAMN16519664	simple	3885	Phaseolus vulgaris	Amadeus77-C-L-B3							no					MICHIGAN STATE UNIVERSITY	SRA1146901		public	DE2BCCF49CE7D46487D0322D27C202D0	447430EE37E5C160090BAEAA66BAF97A
SRR12883239	2020-12-15 09:53:01	2020-10-23 10:40:03	32073462	1603673100	0	50	550		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12883239/SRR12883239	SRX9349179	COM_CV	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP252490	PRJNA607288		607288	SRS7572114	SAMN16519665	simple	3885	Phaseolus vulgaris	Amadeus77-S-L-B1							no					MICHIGAN STATE UNIVERSITY	SRA1146901		public	8F1861C1504B8CCEE00649404D120B85	36556B33BF5C8F9739CB93171B834587
SRR12883238	2020-12-15 09:53:01	2020-10-23 10:43:11	35970218	1798510900	0	50	617		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12883238/SRR12883238	SRX9349180	COM_CW	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP252490	PRJNA607288		607288	SRS7572115	SAMN16519666	simple	3885	Phaseolus vulgaris	Amadeus77-S-L-B2							no					MICHIGAN STATE UNIVERSITY	SRA1146901		public	76A716FCAF5D24DF4100673B99A87023	F6FEE2F57EC8925E975BF955A55A34B6
SRR12883237	2020-12-15 09:53:01	2020-10-23 10:38:08	27951209	1397560450	0	50	481		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12883237/SRR12883237	SRX9349181	COM_CX	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP252490	PRJNA607288		607288	SRS7572116	SAMN16519667	simple	3885	Phaseolus vulgaris	Amadeus77-S-L-B3							no					MICHIGAN STATE UNIVERSITY	SRA1146901		public	A9E2A285A6CF350E8EE29CD6993D5EEE	9765E50424CDF63244E802D5D9CD39BD
SRR12808332	2020-10-13 17:29:07	2020-10-11 22:20:51	20898841	6255138909	20898841	299	1901		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12808332/SRR12808332	SRX9277090		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP287044	PRJNA668634		668634	SRS7505397	SAMN16416291	simple	3885	Phaseolus vulgaris	GSM4827414							no					GEO	SRA1141551		public	A02CC500A3C32A905E0B99CDA78BEFB8	A93898150D337486D27B854D908640DA
SRR12808333	2020-10-13 17:29:07	2020-10-11 22:22:53	25063762	7502491686	25063762	299	2274		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12808333/SRR12808333	SRX9277091		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP287044	PRJNA668634		668634	SRS7505398	SAMN16416290	simple	3885	Phaseolus vulgaris	GSM4827415							no					GEO	SRA1141551		public	AC401A2EC1FF724D7CE12DDDB288AD2F	1084BD567A7DF4EDF9890ADC0FEF81E9
SRR12808334	2020-10-13 17:29:07	2020-10-11 22:26:51	18870173	5649067789	18870173	299	1712		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12808334/SRR12808334	SRX9277092		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP287044	PRJNA668634		668634	SRS7505399	SAMN16416289	simple	3885	Phaseolus vulgaris	GSM4827416							no					GEO	SRA1141551		public	2C5A9FC10A3E9962A744F5CAD4A330FE	029309A39E7B13DD8A5034DC5E8A7986
SRR12808335	2020-10-13 17:29:07	2020-10-11 22:26:45	23655013	7079955940	23655013	299	2151		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12808335/SRR12808335	SRX9277093		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP287044	PRJNA668634		668634	SRS7505400	SAMN16416288	simple	3885	Phaseolus vulgaris	GSM4827417							no					GEO	SRA1141551		public	0E3C500953712D4F4AF5929C78289BDF	9FE73143264146AFADADB59534FF3B2A
SRR12808336	2020-10-13 17:29:07	2020-10-11 22:25:16	20448649	6123957647	20448649	299	1849		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12808336/SRR12808336	SRX9277094		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP287044	PRJNA668634		668634	SRS7505401	SAMN16416287	simple	3885	Phaseolus vulgaris	GSM4827418							no					GEO	SRA1141551		public	478AEF6C73C954E41A289EDD418A688A	EE6724F330B445FAEEB0F72899CC984F
SRR12808337	2020-10-13 17:29:07	2020-10-11 22:22:20	23792503	7109474211	23792503	298	2144		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12808337/SRR12808337	SRX9277095		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP287044	PRJNA668634		668634	SRS7505402	SAMN16416286	simple	3885	Phaseolus vulgaris	GSM4827419							no					GEO	SRA1141551		public	1699CD1433F062BCA7353248BB0248FC	56B02FC1819F639CB25AA55D1CFEA0DB
SRR12808338	2020-10-13 17:29:07	2020-10-11 22:30:35	21787980	6524781729	21787980	299	1983		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12808338/SRR12808338	SRX9277096		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP287044	PRJNA668634		668634	SRS7505403	SAMN16416285	simple	3885	Phaseolus vulgaris	GSM4827420							no					GEO	SRA1141551		public	4CCA771599FE83DE2B53E9F6B17DB719	8E9A6C406CC1952CFD05098D835CCD9D
SRR12808339	2020-10-13 17:29:07	2020-10-11 22:25:30	18883893	5655533394	18883893	299	1707		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12808339/SRR12808339	SRX9277097		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP287044	PRJNA668634		668634	SRS7505404	SAMN16416284	simple	3885	Phaseolus vulgaris	GSM4827421							no					GEO	SRA1141551		public	8C665DBE7C4AFE2B42AD4C284D8CF5F8	37D5AF891A5B2B53BDA3EE937E21ECCB
