Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR6182881	2017-10-17 16:06:12	2017-10-17 16:03:15	4450954	1319222304	4450954	296	625		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/182/SRR6182881.sralite.1	SRX3293150	L7_RC100	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP120181	PRJNA413051		413051	SRS2602149	SAMN07757848	simple	591936	Piliocolobus tephrosceles	RC100					male		no					UNIVERSITY OF OREGON	SRA617788		public	6A897253F4EB376141BC8B6EB69117C8	1165B42E71A9ABC60C616188A04C2486
SRR6182879	2017-10-17 16:07:12	2017-10-17 16:04:39	3896962	1153624802	3896962	296	544		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/182/SRR6182879.sralite.1	SRX3293152	L5_RC100	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP120181	PRJNA413051		413051	SRS2602149	SAMN07757848	simple	591936	Piliocolobus tephrosceles	RC100					male		no					UNIVERSITY OF OREGON	SRA617788		public	FB97F92F3E048CA84D16237A5DC9E8C6	BE6617E46F239C33A43E3F44A51C3CF6
SRR6182897	2017-10-17 16:08:12	2017-10-17 16:05:35	4966939	1474868001	4966939	296	688		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/182/SRR6182897.sralite.1	SRX3293134	L6_RC100	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP120181	PRJNA413051		413051	SRS2602149	SAMN07757848	simple	591936	Piliocolobus tephrosceles	RC100					male		no					UNIVERSITY OF OREGON	SRA617788		public	5883F5EB8839D2B7F5B64FD22ECC6A0C	FC478FC074E218EC3897857C08281B79
SRR6182880	2017-10-17 16:05:11	2017-10-17 16:03:02	4025529	1194335428	4025529	296	537		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/182/SRR6182880.sralite.1	SRX3293151	L5_RC101	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP120181	PRJNA413051		413051	SRS2602152	SAMN07757849	simple	591936	Piliocolobus tephrosceles	RC101					male		no					UNIVERSITY OF OREGON	SRA617788		public	25F05AF09B9B70DA4FFBB6CDDC59D650	1A86FD1C409FBC360982BCA05F71C426
SRR6182882	2017-10-17 16:06:12	2017-10-17 16:03:13	4594697	1364484430	4594697	296	617		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/182/SRR6182882.sralite.1	SRX3293149	L7_RC101	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP120181	PRJNA413051		413051	SRS2602152	SAMN07757849	simple	591936	Piliocolobus tephrosceles	RC101					male		no					UNIVERSITY OF OREGON	SRA617788		public	9960A7B47E2D681CC48F822753F8D984	19BF53242AB6D5C2A87B9EDAE43FB356
SRR6182919	2017-10-17 16:10:11	2017-10-17 16:06:19	5087216	1512966426	5087216	297	681		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/182/SRR6182919.sralite.1	SRX3293112	L6_RC101	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP120181	PRJNA413051		413051	SRS2602152	SAMN07757849	simple	591936	Piliocolobus tephrosceles	RC101					male		no					UNIVERSITY OF OREGON	SRA617788		public	B94F08A656381223AF91D1E20B62017E	1D2BF20342BBB64B20918BA00C5CABBA
SRR6182928	2017-10-17 16:13:12	2017-10-17 16:07:23	5764552	1714079501	5764552	297	776		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/182/SRR6182928.sralite.1	SRX3293103	L8_RC101	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP120181	PRJNA413051		413051	SRS2602152	SAMN07757849	simple	591936	Piliocolobus tephrosceles	RC101					male		no					UNIVERSITY OF OREGON	SRA617788		public	D2A380E026B5319E79AAD1D568650131	9BCE599BF4C33025D6B21B8E812AA7D4
SRR6182927	2017-10-17 16:11:12	2017-10-17 16:07:07	5277752	1564445574	5277752	296	704		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/182/SRR6182927.sralite.1	SRX3293104	L8_RC102	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP120181	PRJNA413051		413051	SRS2602140	SAMN07757850	simple	591936	Piliocolobus tephrosceles	RC102					male		no					UNIVERSITY OF OREGON	SRA617788		public	D96DBD13CC5DA48C7608BDB3800A92CC	B815289E167F4086D4C48EC94B47671C
SRR6182920	2017-10-17 16:10:11	2017-10-17 16:06:11	4659883	1381707736	4659883	296	618		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/182/SRR6182920.sralite.1	SRX3293111	L6_RC102	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP120181	PRJNA413051		413051	SRS2602140	SAMN07757850	simple	591936	Piliocolobus tephrosceles	RC102					male		no					UNIVERSITY OF OREGON	SRA617788		public	CA13138A0D644AB8055433EB6A3976B9	FFB8983D40887436CD8810BC39283A19
SRR6182877	2017-10-17 16:06:12	2017-10-17 16:03:13	3781598	1118034249	3781598	295	500		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/182/SRR6182877.sralite.1	SRX3293154	L5_RC102	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP120181	PRJNA413051		413051	SRS2602140	SAMN07757850	simple	591936	Piliocolobus tephrosceles	RC102					male		no					UNIVERSITY OF OREGON	SRA617788		public	413893C51A1C661B83AA3FC43208172D	7BB964D7D52DBABF4E5420DBBC04FA82
