Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR12660186	2020-09-17 12:18:06	2020-09-17 12:14:30	17924748	1782277152	0	99	610		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12660186/SRR12660186	SRX9141233	TF1_GCT	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP134047	PRJNA437157		437157	SRS7382602	SAMN15939793	simple	649802	Pipra filicauda	TF1_GCT					male		no					EAST CAROLINA UNIVERSITY	SRA1126983		public	9746B2BE8C68F278049A85FF0FF9C697	3EBFB97F8171D26E7E70BF5C444E6072
SRR12660175	2020-09-17 12:23:16	2020-09-17 12:20:35	16905547	1681205993	0	99	571		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12660175/SRR12660175	SRX9141244	TF1_GON	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP134047	PRJNA437157		437157	SRS7382613	SAMN15939794	simple	649802	Pipra filicauda	TF1_GON					male		no					EAST CAROLINA UNIVERSITY	SRA1126983		public	DC0814C0718355BB98718951E74E6C29	F0A8E22FC508CACEA44D3FC1EBF3DF1C
SRR12660174	2020-09-17 12:22:38	2020-09-17 12:19:30	28879526	2871765473	0	99	988		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12660174/SRR12660174	SRX9141245	TF1_ICO	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP134047	PRJNA437157		437157	SRS7382614	SAMN15939795	simple	649802	Pipra filicauda	TF1_ICO					male		no					EAST CAROLINA UNIVERSITY	SRA1126983		public	AC20B5F433BCD8D84EAB9611689F34BC	C6096E570EA790992D8E98D27270718E
SRR12660173	2020-09-17 12:19:17	2020-09-17 12:16:59	25197181	2505245227	0	99	862		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12660173/SRR12660173	SRX9141246	TF1_LS	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP134047	PRJNA437157		437157	SRS7382615	SAMN15939796	simple	649802	Pipra filicauda	TF1_LS					male		no					EAST CAROLINA UNIVERSITY	SRA1126983		public	69E26DCEFF4B56891B7E313E06DD39A2	A18A316EA89A83DF0B63D567509BFBCB
SRR12660172	2020-09-17 12:20:30	2020-09-17 12:17:45	25661470	2551927488	0	99	869		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12660172/SRR12660172	SRX9141247	TF1_POM	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP134047	PRJNA437157		437157	SRS7382616	SAMN15939797	simple	649802	Pipra filicauda	TF1_POM					male		no					EAST CAROLINA UNIVERSITY	SRA1126983		public	25391470A12072A974EE767923F0D93E	48FE8936EA492D71B5AB7FE5C9183D03
SRR12660171	2020-09-17 12:19:17	2020-09-17 12:15:48	21585936	2146764739	0	99	739		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12660171/SRR12660171	SRX9141248	TF1_TNA	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP134047	PRJNA437157		437157	SRS7382617	SAMN15939798	simple	649802	Pipra filicauda	TF1_TNA					male		no					EAST CAROLINA UNIVERSITY	SRA1126983		public	06C1791455E218C643D194B672C8F01F	F785C4054040AC95B72B1305A0BDD219
SRR12660170	2020-09-17 12:25:14	2020-09-17 12:23:44	32806460	3262164192	0	99	1114		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12660170/SRR12660170	SRX9141249	TF1_VMH	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP134047	PRJNA437157		437157	SRS7382619	SAMN15939799	simple	649802	Pipra filicauda	TF1_VMH					male		no					EAST CAROLINA UNIVERSITY	SRA1126983		public	2049165DFBBC9F34F83175E68E051FBC	215A4387A51BDC5F6336ECC53D0C07F4
SRR12660169	2020-09-17 12:20:30	2020-09-17 12:18:24	19471827	1936518980	0	99	658		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12660169/SRR12660169	SRX9141250	TF2_AI	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP134047	PRJNA437157		437157	SRS7382618	SAMN15939800	simple	649802	Pipra filicauda	TF2_AI					male		no					EAST CAROLINA UNIVERSITY	SRA1126983		public	AEDADD198CA839B2531AC724F6DD34D7	84457F4A9EF86D92E7D5ED123A5ED1B2
SRR12660192	2020-09-17 12:22:38	2020-09-17 12:17:47	24496927	2435994540	0	99	829		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12660192/SRR12660192	SRX9141227	TF2_VMH	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP134047	PRJNA437157		437157	SRS7382596	SAMN15939805	simple	649802	Pipra filicauda	TF2_VMH					male		no					EAST CAROLINA UNIVERSITY	SRA1126983		public	2C0D2DB498A6EE13B26EFC8030632EFA	108A0EFA0065810090C9F0628444AA4E
SRR12660191	2020-09-17 12:26:33	2020-09-17 12:24:16	20218814	2010767280	0	99	688		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12660191/SRR12660191	SRX9141228	TT1_AI	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP134047	PRJNA437157		437157	SRS7382598	SAMN15939806	simple	649802	Pipra filicauda	TT1_AI					male		no					EAST CAROLINA UNIVERSITY	SRA1126983		public	E42E3635C1613BD2F0E25C497C230B3F	ECCF342940DCA2E17825B340768F2AAC
SRR12660190	2020-09-17 12:20:30	2020-09-17 12:16:57	23459337	2332997764	0	99	799		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12660190/SRR12660190	SRX9141229	TT1_BSTM	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP134047	PRJNA437157		437157	SRS7382597	SAMN15939807	simple	649802	Pipra filicauda	TT1_BSTM					male		no					EAST CAROLINA UNIVERSITY	SRA1126983		public	17F172738D0EC1FAD933882E14C320FC	DCAA06C4E04B23137406F9536C363FFB
